variable ordering: Fc, Fg, w, m1, d1, m2, d2, p

component_1:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
Fc-w^2*m2*d2
-.98*m1*d1*d2^2+1.01*m1*m2*p^2-.99*d1^2*m2*d2-2.1*d1*m2*d2^2
points:
-.694423-1.38537*ii, .0785018+.344584*ii, 1.51723-.248851*ii, -.061664+.193299*ii, .687662+.693461*ii, -.540409+1.46553*ii, -.369754+.198549*ii, -.084934+1.50739*ii
-.427104-.41505*ii, .0094475+.493093*ii, -.484874-.67594*ii, -.456118+.0000648*ii, -.054168-.075987*ii, .587911+.642707*ii, .37114+.915693*ii, -.120604+.568915*ii
.00647288-.00717773*ii, -.203271-.146511*ii, -.0671154+.456489*ii, .015164+.696414*ii, -.509057+.325099*ii, .17075+.0985215*ii, .0187448+.229542*ii, -.426485+.38977*ii
-3.59511-1.06279*ii, -1.32357+.426255*ii, 1.5038-.36721*ii, -.302442+1.70986*ii, 2.2871-.763981*ii, .114842+1.01804*ii, -1.17578+.974428*ii, .469899+2.63671*ii
2.53662-2.09917*ii, -.213681+.168486*ii, -.274904-1.51946*ii, -.240913-2.16723*ii, -.465456+2.00628*ii, .354752+1.18554*ii, .047512+1.1149*ii, -1.56694-.26588*ii
-6.08596+2.05481*ii, -1.28566-3.18612*ii, -5.6184+1.64472*ii, -3.47643+5.50305*ii, .720937-3.2483*ii, 5.10385-2.96529*ii, -.0227898-.0221106*ii, .206465-.104089*ii
.180192-.11333*ii, .775894-.795552*ii, -.286178-1.11688*ii, -.374686-.0993421*ii, -.572969+.362656*ii, 1.09138+1.2885*ii, -.0568615+.075895*ii, .138915-.346179*ii
-1.36947+3.2298*ii, .011971-.799456*ii, -.922994+1.91886*ii, .547243+3.1153*ii, -1.7098-1.54456*ii, .729492-1.3185*ii, .277005-.432362*ii, .744929-.278269*ii
.011546-3.05369*ii, .417378-4.167*ii, -.702855-.073140*ii, -2.28341+.68389*ii, .648166+2.63336*ii, 2.24424+1.22115*ii, -1.54545-1.82769*ii, -1.6889-.466034*ii
-1.46911-.97807*ii, 1.06989-.438072*ii, .212613+1.63198*ii, -1.18523+1.67882*ii, .104504+.419868*ii, -.210701+.472555*ii, .521626-1.14628*ii, -.113374+1.37223*ii
-6.36761+2.33136*ii, -1.937-3.24084*ii, -6.05336+2.67468*ii, -3.49731+6.27915*ii, .670446-3.4116*ii, 5.04674-3.97191*ii, -.00989347-.0219843*ii, -.192765+.053862*ii
-1.05093+1.34747*ii, .429137-.848363*ii, -.733414+1.51894*ii, -.272668+2.22038*ii, -1.05197-.542473*ii, .611346-.541537*ii, .34458-.649712*ii, .2093+.109739*ii
-.570033+1.06397*ii, 1.54024+.718285*ii, 1.01433+.210357*ii, .46629+.77727*ii, -.978858-.51218*ii, -.616587+1.21263*ii, .765517-.312462*ii, 1.17709+.675622*ii
-.500626+1.83018*ii, -.537841-.259769*ii, 1.49652+1.27947*ii, 1.56297+1.99752*ii, -.90465-.341957*ii, -.663697-.115015*ii, -.703779-.180807*ii, .429704+.546735*ii
-.797921-.260501*ii, 1.28415+.046148*ii, 1.30697-1.31515*ii, .000746905-.00011317*ii, .0706106+.0167529*ii, .12551+2.27952*ii, -.0994453-.0393518*ii, 1.03111+.708238*ii
-.012115-.0286331*ii, -.278527+.0241939*ii, -.275063+.63162*ii, -.071918+.73197*ii, -.529443+.271497*ii, .136259-.114223*ii, .184366+.31899*ii, -.530498+.45823*ii
-.02958+2.80321*ii, .113039+4.6031*ii, .257908-.677708*ii, 1.90734-.481753*ii, -1.56252-2.37026*ii, -1.47917+.087839*ii, 2.19867+2.84818*ii, 1.51287+1.10708*ii
-.0667961+.481984*ii, -.306307+1.27962*ii, -.124428+.812655*ii, .348179+.626454*ii, -.72699-.273679*ii, -.524402-.337335*ii, .776642+.854349*ii, -.241114+.86418*ii
-1.07424+.339404*ii, 1.99442-.155994*ii, -.381419-.72268*ii, -.881101+.50604*ii, -.591145-.529254*ii, .855014+1.54365*ii, .880713-.372089*ii, 1.10045+.194969*ii
5.81501+.904123*ii, 6.82554+1.20802*ii, .447634-.379016*ii, .411755-3.25994*ii, -5.26753+2.03801*ii, -1.84476+3.20981*ii, 3.97951-2.34782*ii, 1.13114-2.23423*ii
-1.99648-.789658*ii, 1.35426-1.60067*ii, -.614646+.883573*ii, -1.81213+1.89518*ii, .19792+.166652*ii, 1.10382+.727207*ii, .208564-1.38643*ii, .155503+.69611*ii
-7.7219+12.575*ii, -.0531722+.00183846*ii, 3.94033+1.39294*ii, 5.69753+8.49657*ii, -2.04961-8.1419*ii, -.135709-.430938*ii, -1.84102-.327768*ii, 7.55056+.608835*ii
-.249547+2.33712*ii, .782699+.0498*ii, -1.25207-.601294*ii, .245649+.751888*ii, -1.6686-1.27891*ii, 1.22246+.17551*ii, .791764+.588449*ii, .959908-.77682*ii
1.72358-1.95172*ii, -.122133+.0131345*ii, .249743+1.92603*ii, -.34361+.0156797*ii, -.679453+2.19865*ii, -1.08238-.251181*ii, .424966-.453186*ii, -1.97925+.784177*ii
2.0616+3.49479*ii, 2.5167+3.37703*ii, -.345798+.75876*ii, 1.62902-.463204*ii, -3.80619-1.35183*ii, -1.71835+.028223*ii, 3.32866+.671359*ii, 1.43341-.418865*ii
-4.59077+1.12261*ii, -1.65814+.877151*ii, -.915921-.732342*ii, -.577301+2.40449*ii, 1.60276-2.79226*ii, 1.61254-.279127*ii, -.320882+2.07524*ii, 1.12621+1.842*ii
-.464649+.0285591*ii, -.780566-.594169*ii, -.638444-.313815*ii, -.216657+.713056*ii, -.104247+.0179983*ii, 1.09439+.055284*ii, -.435352+.717728*ii, -.441399+.135299*ii
-2.29007+1.9702*ii, -.382463+1.58683*ii, -.349164+1.48454*ii, .337121+2.336*ii, -.467848-1.96258*ii, -.327355-.943542*ii, .967171+.869523*ii, .820743+1.45343*ii
-2.26538-1.48719*ii, 2.4136-1.42327*ii, .367517-.736406*ii, -1.95973+.921199*ii, .756196+.259656*ii, 1.11026+2.53035*ii, .099238-1.44444*ii, .990817+.911314*ii
-2.07035+.148729*ii, -1.04298-.951327*ii, 1.28124+1.78188*ii, .278656+2.75872*ii, .579727-.026637*ii, -.243324-.229935*ii, -1.17642-.522466*ii, -.133529+1.5186*ii
-.347815+2.81014*ii, .025489+1.08253*ii, 1.09912-1.1396*ii, 1.94694+.540185*ii, -1.2035-1.49833*ii, -.091627+.902728*ii, -.072349+1.24279*ii, 1.59603+.030856*ii
-.00249425-.0148549*ii, .0769563-.234135*ii, .068182+.912825*ii, -.037402+.928562*ii, -.633675+.434882*ii, -.062102+.0571422*ii, .141512-.159221*ii, -.414241+.469554*ii
-.599068+.360655*ii, -.724409-.155926*ii, .834993-.470042*ii, .659499+.725798*ii, .03332-.0874669*ii, .265664+.669379*ii, -.802347+.688886*ii, .131015+.575821*ii
-2.87787+1.12266*ii, -4.13541+1.36446*ii, .320064+.685148*ii, 1.23253+2.43686*ii, 1.40506-1.76138*ii, .0903-1.73275*ii, -1.35423+2.80325*ii, -.402129+2.16315*ii
14.6204+1.37005*ii, -.0597949-.0008398*ii, -.90911-3.02157*ii, 4.5078-7.65017*ii, -7.48088+5.40559*ii, -.570357+.390207*ii, .616091+2.04337*ii, -3.78299-6.57429*ii
-2.54555-5.94323*ii, -7.17614-2.41809*ii, -1.90436-.138588*ii, 3.04384-2.47543*ii, 1.54533-.122006*ii, .781471+.631906*ii, -1.66308-.589907*ii, 2.18327+.295231*ii
.677878-1.12094*ii, 3.01106+.198012*ii, -.716417+.680746*ii, -.569305-.307549*ii, -2.34724-.063306*ii, .443418+.29364*ii, 2.5113-.231869*ii, -.0190626+.298317*ii
.150389-.541752*ii, .038917-1.0156*ii, .719479+.192998*ii, -.092743-.866619*ii, 1.57001+.891862*ii, .924173+.454579*ii, -.641643-.745748*ii, .282614+.355307*ii
-3.0319+10.6941*ii, 3.48247-1.92252*ii, -.652493-.118284*ii, 4.70389+9.33527*ii, .856572-3.12676*ii, 4.27182+.609318*ii, 1.30173+5.71155*ii, 5.52648+2.34503*ii
.616521-4.30622*ii, -.222042-.537431*ii, -1.29798-.245451*ii, -.558953+1.33684*ii, -1.08757+1.7598*ii, 1.21616+2.25323*ii, -.940039-.253442*ii, 2.13488+.219829*ii
1.02453-.626814*ii, -1.41522-.912571*ii, 1.44097+1.51636*ii, -1.45587+1.73405*ii, -.524728-1.01364*ii, -.277922+.273733*ii, -.12443+.692551*ii, -1.17913+.465908*ii
-.752777-1.20593*ii, -2.51581+2.14351*ii, 2.62492+.951842*ii, .095624-2.22685*ii, -.732003+.953816*ii, -.00982-.158907*ii, .423467-1.06415*ii, -2.41259-2.13087*ii
-1.15314+11.2354*ii, .246171-.319914*ii, -.186788+.432538*ii, 5.65145-3.41266*ii, -2.18285+2.16671*ii, 5.65098+1.36587*ii, -7.11983-5.08951*ii, 3.31244-10.0278*ii
-3.06649-3.1911*ii, -.14034+.127337*ii, -.624299-.127983*ii, -.724192-4.19923*ii, -.384538+.611646*ii, -.182873+1.87018*ii, -1.73279+5.53423*ii, -.331172-1.84923*ii
-1.45192+5.51163*ii, -.00121614+.00189986*ii, 3.31606-.379878*ii, .170749-.22872*ii, .258692-1.06365*ii, -.0863511+.110474*ii, 3.59123-.645157*ii, 2.87905-2.8124*ii
-1.11562+2.95993*ii, -1.85839-.916914*ii, -1.52068-.890146*ii, .00557335-.0264991*ii, -.355608+.164792*ii, -.156136+2.1375*ii, .340723-.331477*ii, .829506+1.91536*ii
-.358361+.131488*ii, 1.04238+1.52576*ii, .879781-.206432*ii, .496325-1.80282*ii, .874119-.589892*ii, .212773+.201689*ii, -1.26987+.964129*ii, -1.00287+2.67493*ii
-.643068+.633598*ii, -.427689-.688241*ii, 1.48013+1.0501*ii, -.000079802-.000994583*ii, .109553-.0048916*ii, -.389203-1.77467*ii, -.147053+.033718*ii, 1.60455+.943224*ii
-.134771-.215413*ii, .723193-.047709*ii, .12288-.696816*ii, .0784863+.0212956*ii, .160343+.71169*ii, -1.42959+.773123*ii, -.125167-.286098*ii, .507083+.435181*ii
.0908465+.267253*ii, -.442904+.341011*ii, .435123+.641509*ii, .030421+2.31393*ii, 2.36937+2.13904*ii, -1.79143+1.35402*ii, -.208833+.0123878*ii, .014047-.915224*ii
.251461+1.37378*ii, .497312-1.85256*ii, -1.6579-1.72072*ii, -1.94714-1.85176*ii, -.719204+.636323*ii, .0889832+.329004*ii, .032946-.716946*ii, -.616785+.868875*ii
-1.4809+.120699*ii, 2.25091-2.67949*ii, -.206679+.459184*ii, -4.08957-2.44873*ii, -.302581+.453079*ii, 2.46586-.063065*ii, 1.47362-1.86323*ii, -.549214-.598365*ii
-3.25922-2.15979*ii, -1.26199+1.21665*ii, 2.05794-3.36307*ii, -.733975-2.97108*ii, .751076+.060782*ii, .110555-.635875*ii, .246608+.30174*ii, -.034156+.554617*ii
2.94309+.679277*ii, 2.77835-.671699*ii, 1.01804+1.45894*ii, 1.18443-.057448*ii, -.117119-1.38777*ii, -.513902+.03926*ii, .091123+1.84944*ii, 1.27458-1.39962*ii
.552484-1.12581*ii, -.849796-.849997*ii, .379156-.374339*ii, .888995+.030839*ii, -.52089+.377341*ii, 2.84908-.614425*ii, 1.20121+.924269*ii, .811351-1.77686*ii
2.33485+3.37334*ii, .012637+.535683*ii, -1.67338+.051274*ii, 1.7893+4.15921*ii, 2.72402+6.2472*ii, -4.5201+2.28913*ii, -.0217596-.288069*ii, 1.5699-.389187*ii
3.34565+.845188*ii, -.946524+1.91024*ii, 3.27828+.334155*ii, -1.2506-3.20269*ii, 1.14948-.502221*ii, -.177746-.408636*ii, -.313122+.64071*ii, -1.14175+.483953*ii
-9.19336-7.60832*ii, .958215+2.04576*ii, 3.83461+5.13125*ii, -5.63438-3.08828*ii, 2.81528+8.3423*ii, 27.2993-.48963*ii, -.0043628+.00971665*ii, -.324213-.145166*ii
.181725+.148514*ii, 1.03562-3.42238*ii, .339463+.396937*ii, -1.74976-1.08813*ii, -1.04762+1.12027*ii, 2.25296-1.13345*ii, .286219-.185599*ii, .465087+.11106*ii
.637088-1.65491*ii, -4.12453+3.18848*ii, -3.07145+1.2307*ii, -4.83969-1.72435*ii, .454361-1.0516*ii, -1.11829+.479013*ii, -.133049+.0048468*ii, .0149441+.203178*ii
.921465-.472529*ii, -.467608-.36994*ii, .083789-2.95169*ii, 2.05501-.35583*ii, .023540-1.18247*ii, -.0444457+.211691*ii, .369224+.406367*ii, -.953392+.946177*ii
-.994453-1.60249*ii, .094609+1.22356*ii, -1.60028-.232921*ii, 1.35201-.835676*ii, -.968394+.143862*ii, .246934+1.50669*ii, -.366678+.297751*ii, -.308033-.615127*ii
-.478989-1.8113*ii, -.268041-.14913*ii, -.231472+2.31086*ii, .500497+1.89165*ii, .236047+.813314*ii, .293937-.286544*ii, -.261741+.804708*ii, -.880286+.564974*ii
-.559998-2.74614*ii, -1.78934-1.61191*ii, 1.19232+3.99328*ii, -.737649+1.91388*ii, .199073+1.00906*ii, .277946-1.12141*ii, -.13838-.0189633*ii, .129045-.234271*ii
1.78866-1.13678*ii, 2.66583-1.32757*ii, 1.71523+.70917*ii, -2.12679-1.68706*ii, -.368944+.680014*ii, .424154-.108853*ii, .638459-1.25144*ii, 1.68976+.30644*ii
-5.058+5.65731*ii, -4.99765+1.63635*ii, .332634+.404205*ii, -5.0752-1.96238*ii, -5.43146-2.23016*ii, 10.6028+2.71336*ii, 2.42804+.71224*ii, 1.08117-1.95815*ii
-2.47862+1.19779*ii, .582569+1.62545*ii, -.050214+.649457*ii, 1.75984-.666598*ii, -.92622-.56852*ii, -.410859-2.57226*ii, 1.07458+2.24689*ii, -2.64948-.646709*ii
.123897-.176967*ii, 2.90404-.111867*ii, -1.19717+1.29372*ii, -.259206+.87286*ii, .4075-.289228*ii, -.791476+.260908*ii, -.0446064-.070508*ii, -.143182-.0417129*ii
2.10463+.304659*ii, -2.06443+2.83203*ii, 1.39655+.268246*ii, 1.31475-.400467*ii, .301042+1.52069*ii, -.190637+.641237*ii, -.787515-1.3604*ii, 1.03837+2.10447*ii
-1.02026+.578167*ii, -.468176+.673499*ii, -.176819-.789148*ii, .0118846+.00658278*ii, -.288261-.844466*ii, .935206-2.32029*ii, .316818+.642921*ii, 5.36923-.956426*ii
-3.22195-.635382*ii, .960508-.421488*ii, -1.50351-1.43476*ii, 3.78281-3.17078*ii, 1.83432-1.23525*ii, .652689+.119189*ii, -.069717+1.14388*ii, .76479+2.16647*ii
.312251-.324467*ii, .049593+.108409*ii, -.939244+.136752*ii, .0992997-.208204*ii, .298627+.0140774*ii, -.162485-.523789*ii, .194119+.890548*ii, -.581196+1.52101*ii
-.269086-.839779*ii, .0399957+.062255*ii, -3.03255-3.22373*ii, .336244+1.26164*ii, 1.63772+.226219*ii, .10959+.0433813*ii, -.279954+.259818*ii, .690688-.989738*ii
.350146-.356612*ii, -.084733-.0063895*ii, .056964-1.93583*ii, .0755993-.210471*ii, -.782558-.681621*ii, -.0699239+.108602*ii, 1.02073+.149441*ii, -.374525-1.3851*ii
1.70994+.557207*ii, .01993+1.36889*ii, -.760012+.632488*ii, -1.50153+.356454*ii, 1.34979+.310731*ii, 2.44064+.083968*ii, -.073683+.749652*ii, -1.09611+.056126*ii
1.11556-.680931*ii, -.792539-.110762*ii, .169497-1.19116*ii, -.606797+.308528*ii, .537892-.438052*ii, -.575507-1.24792*ii, -.255006-.605485*ii, -.948615+.398566*ii
3.29013+2.03847*ii, .0365509-.0348963*ii, 1.26804+1.18915*ii, -2.38594-.318155*ii, 1.67879-2.97185*ii, .621203+.075667*ii, .977004-1.79835*ii, -.0941353+.363995*ii
4.63178+.991023*ii, -4.39424-6.20283*ii, -2.49751+1.64853*ii, -.0005984-.438801*ii, .956852-.755701*ii, .25641-.422126*ii, -.791537+.721333*ii, 2.15865-1.00932*ii
.467134-.377342*ii, -.834144-.703358*ii, .181841+.933816*ii, .269897+1.02978*ii, -.192674+.440415*ii, -.665332+.045694*ii, .969515-.223175*ii, .898007-.196922*ii
-.582077-.079025*ii, -.313709+.338437*ii, -.769726+.52208*ii, -.335563+1.79201*ii, .966199+.070929*ii, .536751-.378101*ii, .373833-.964354*ii, -.297911+1.22335*ii
-1.5266-.92532*ii, -.977917+.330519*ii, .712397+1.16135*ii, -1.38356-.910085*ii, -.542751+1.79593*ii, -.706564+1.16374*ii, .629438-.320588*ii, -1.04548+.800555*ii
-2.47297-.584807*ii, -.192518+1.22509*ii, -.199998-1.98859*ii, -.621928-.13126*ii, .606715-.199766*ii, -.918191+.716848*ii, -.24988-.485605*ii, -.817432+.382468*ii
.701878-2.73649*ii, .147189-.17318*ii, 1.33762+1.70569*ii, .718239-.549472*ii, .771923+1.64751*ii, -.593575+1.16341*ii, .204957+.412207*ii, .605817-1.38344*ii
1.47177-.258677*ii, -.205425+.37937*ii, -.699484-.161433*ii, .688545+.908551*ii, -.109635-.33977*ii, -.872811+1.34029*ii, -1.69291-.64875*ii, .670752-1.45197*ii
-.320063+1.41179*ii, -.143686+1.02419*ii, .559834+1.20785*ii, .562441-.70733*ii, 1.56705+.071960*ii, -.656616+1.10318*ii, -.54104-.334769*ii, -.482892+.822836*ii
1.43911-.094056*ii, -.140126-.328299*ii, -.524011+.326927*ii, 2.1049+4.64252*ii, .604011+2.67184*ii, 1.60011-.609216*ii, .344521+2.18105*ii, -.960305+3.28153*ii
-.001777+1.17537*ii, -.613808-.752713*ii, -.121809-1.42297*ii, .223672+.351565*ii, .98913-.371612*ii, .085010+1.17138*ii, -.47603-.11889*ii, .860969+.060268*ii

