variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj
4.31374+2.57299*ii, -.77517-1.80651*ii, -2.91325-.88685*ii, -4.19623-5.6533*ii, -5.14053-3.54047*ii, -2.06511e-107-6.26985e-107*ii, -.802991+.052519*ii, 1.15896e-107-3.93861e-108*ii, .698108-1.43063*ii, .328083+2.97513*ii, -1.33142-3.64859*ii
15.1458+13.4514*ii, 2.15716-16.8533*ii, .30914-.131959*ii, 18.5629+49.0314*ii, -17.5251+3.78177*ii, -5.199e-274-2.68613e-272*ii, -.667521-.911598*ii, -2.09027e-198-5.90502e-198*ii, -62.0067-9.1621*ii, -.778545-2.74735*ii, 23.7325-33.9515*ii
.340235+.279842*ii, -.971428-1.29429*ii, -.797391+1.09982*ii, .229186+.0944941*ii, -.558056-1.2755*ii, 2.24729e-31+1.38058e-32*ii, -.282104+.143321*ii, 8.59313e-31-2.9406e-31*ii, -.137962-.523541*ii, 1.09905-.018172*ii, -.338038+.703888*ii
.016672+.981078*ii, 1.53116+1.35608*ii, -.396634+2.15598*ii, -1.6021+2.49526*ii, .309403+.0767164*ii, 1.13805e-159-3.81248e-158*ii, .791443+2.97463*ii, -4.11805e-84-8.23609e-84*ii, 1.13007+1.11652*ii, -1.7655+1.38164*ii, 1.05018+.482225*ii
2.65533+3.20249*ii, 1.42279+4.11762*ii, -.103653+.36819*ii, 1.37209+4.4552*ii, 2.43158+2.75258*ii, 0, 1.13214+.035445*ii, 0, -1.85831+5.71296*ii, -.831774+.048526*ii, 2.0423-4.0558*ii
-1.20554-1.13854*ii, 1.46401-1.05859*ii, -.390807-1.98175*ii, -1.19307-.812423*ii, -.763633+.136676*ii, 4.74221e-234-6.29018e-234*ii, 1.27112+1.71846*ii, -1.63133e-55-5.28907e-56*ii, -.0787688+.0240008*ii, -1.33501-1.2438*ii, -1.86585-2.34075*ii
-.310518-1.88631*ii, 2.00278-.948683*ii, 1.1906-1.94629*ii, -.965145+1.45626*ii, -.247734-1.47166*ii, -3.06705e-31+1.46794e-31*ii, 1.28097+.004637*ii, 1.67022e-31+9.99164e-32*ii, -.977836+1.68739*ii, .26904-2.51374*ii, -.0831376+.196172*ii
-1.30736-.209729*ii, .719566-.038803*ii, 1.4371-1.24779*ii, -2.23491-1.77075*ii, 1.39025+1.10751*ii, 6.3817e-32-1.19625e-31*ii, -.648809+.366002*ii, -3.56325e-32+3.39108e-32*ii, .538705+1.79062*ii, .492836-.476816*ii, .923126+.355829*ii
-2.72936-.590382*ii, -3.2046+.528276*ii, -1.27794+1.41583*ii, 2.70381-1.10926*ii, -.374741+.665492*ii, 0, 1.07989+3.49318*ii, 1.2758e-203+1.2758e-203*ii, -.529503-.026408*ii, 1.67367-2.60613*ii, -.534755-.965497*ii
3.34301-.131414*ii, -.8194+.078446*ii, 8.08646-.62517*ii, 8.08458-5.12043*ii, -1.75429-2.36736*ii, -2.35976e-109-4.19143e-109*ii, -.639664+.938114*ii, 1.5801e-110-7.4847e-110*ii, -6.04407+3.44625*ii, -3.2885+.573306*ii, -5.00379-4.4739*ii
.845518-1.39372*ii, -2.21002+1.94558*ii, 2.22938-.529339*ii, .290191+.210898*ii, -.566359-.973488*ii, 1.07238e-29-5.37484e-30*ii, .692114+1.27121*ii, 3.49886e-29-8.59817e-30*ii, -5.30183+1.29911*ii, -1.94854+2.75364*ii, .265049-.0464381*ii
-1.56933+1.63724*ii, 2.74994+.265979*ii, .608824+.703129*ii, -.014498-2.19119*ii, .865144-.941282*ii, 9.15746e-132-7.0442e-132*ii, -1.77352-.037161*ii, 2.11326e-132+6.33978e-132*ii, 2.77293-2.63207*ii, .743605+1.04775*ii, -1.22105+.76126*ii
.076084-1.40341*ii, -2.57337-.250536*ii, -1.76861-2.55293*ii, -1.91446+.167669*ii, -2.57442-2.94858*ii, -1.53021e-226*ii, .257293+.250447*ii, -1.6459e-98-1.09727e-98*ii, -.770875+3.92276*ii, 1.95584+3.50637*ii, -4.86001-5.17319*ii
-6.70369+7.33818*ii, -.986423+.380986*ii, -1.85336+7.74426*ii, 6.52427+2.25533*ii, -.31721-1.28448*ii, -2.59469e-109-6.65306e-109*ii, -4.16979-6.24873*ii, -1.30805e-105-1.4988e-106*ii, 9.55119+4.42079*ii, -.561127-4.17261*ii, -1.33282-5.77474*ii
-.979708-.248495*ii, .44499-1.77445*ii, -1.00485-.080557*ii, -1.67282+1.63901*ii, -.228846-.248759*ii, -5.15521e-242+1.40597e-242*ii, 2.50341-1.63537*ii, 8.51592e-108-2.70114e-108*ii, -.396271+1.75385*ii, -.295047+.873607*ii, 1.67472-.996021*ii
-3.53792-2.61451*ii, 6.35826+.16185*ii, -3.70849-1.82925*ii, -5.04422+15.6724*ii, -.96793-.383862*ii, -2.22098e-176-1.4313e-176*ii, 4.08404+1.08149*ii, -8.32868e-178+1.69658e-177*ii, -4.80991-5.43095*ii, -11.6418-6.11553*ii, -2.61163+3.20358*ii
1.20465+3.33083*ii, -1.70903-.625829*ii, -.734894-.749364*ii, 7.22189+1.97523*ii, .403123+.549223*ii, -7.12837e-283+6.32138e-283*ii, 4.98755+1.46742*ii, -9.07858e-284+1.40172e-283*ii, 4.27741-2.68602*ii, .393491+.870303*ii, 2.52954+1.37747*ii
-.485564-.846098*ii, 1.15987+2.03518*ii, -1.12628+.028024*ii, .566144-1.58655*ii, .396954+.922267*ii, -9.63393e-46-8.10126e-46*ii, -.96521+.111053*ii, 4.81696e-46-2.62743e-46*ii, -.304699-.171652*ii, -.681689-1.12984*ii, -.417541+.853734*ii
-15.6167+2.95377*ii, 5.62612+.645124*ii, -1.40068-1.75678*ii, 1.87175+3.17648*ii, -6.19814-3.42188*ii, -1.2732e-313+8.91238e-313*ii, 1.72938-1.43132*ii, 5.30499e-313+2.62597e-313*ii, 7.30762-15.4034*ii, -3.37352-5.39374*ii, -8.09858+12.1182*ii
6.71336-4.61074*ii, -14.3628+4.54948*ii, .716382-.514232*ii, 6.54501+5.89149*ii, -.684833-1.08381*ii, 3.25195e-259+1.5772e-258*ii, .243145+6.34786*ii, -1.65348e-214+1.16033e-215*ii, 3.55347+2.78384*ii, -3.97489+5.32249*ii, 7.16067-5.15307*ii
.156568+.19889*ii, -1.78361+1.4972*ii, -.636483+.087092*ii, 1.68956+.335707*ii, -.0600822+.0531593*ii, -2.4571e-237-1.35141e-236*ii, .181166-3.15001*ii, -3.24857e-113+6.49713e-113*ii, -1.19139-.974691*ii, .502423-.554141*ii, .98342+.165698*ii
.467063-2.30303*ii, -.283308+4.43026*ii, -2.79396-1.80509*ii, 1.18565-2.31952*ii, 2.18085+.857181*ii, 5.48878e-110+1.16429e-109*ii, -.174019-.987624*ii, -7.31837e-110+5.98776e-110*ii, -1.04899+2.30478*ii, 4.39428-5.93329*ii, -.796089-1.97917*ii
.506685-.687599*ii, .164764+1.19307*ii, 1.62065-2.33456*ii, -.681274-.763094*ii, -1.59785+.452653*ii, 2.13184e-30+1.25618e-29*ii, -.406396+.3152*ii, -6.01413e-31-1.02033e-30*ii, -3.18447-.59829*ii, 1.52616+.774447*ii, .329473+.629904*ii
-1.44159-1.58178*ii, -.283613+.376879*ii, 2.18057-2.29879*ii, .232157+.801431*ii, -.132068+.666748*ii, 2.01076e-87, -1.87071+2.53266*ii, -2.26392e-71-9.05568e-72*ii, 1.25384-.675029*ii, .123964+.736887*ii, .409891+.959663*ii
-.023939+2.8893*ii, .833092+.032072*ii, -.180627+.871925*ii, .624017+.800418*ii, -.020991-1.79585*ii, -9.41137e-252+2.7279e-253*ii, -1.6085-.032132*ii, 2.01076e-87-1.40754e-86*ii, -1.17922+.701311*ii, -.0892218+.3603*ii, -3.92251-.132017*ii
.796282-.148727*ii, .292238+.0344791*ii, -.252978-.462912*ii, -2.00365+.381736*ii, -.217774-.702138*ii, -3.222e-118, -.127646+1.09449*ii, 1.23923e-118, -.411736-.111448*ii, -.0289845-.0720014*ii, .171684-1.3171*ii
-.147305+4.6725*ii, -.605333-.195274*ii, .922681-5.75269*ii, 6.07654-2.28891*ii, -3.47356-1.88177*ii, -6.97624e-105-4.3602e-106*ii, -.530601-1.05771*ii, -1.25354e-105-5.99521e-106*ii, 2.8948+2.03185*ii, -.840939+1.65106*ii, 3.42632+.631473*ii
-.539588-2.37937*ii, -.761613-.08167*ii, 6.5408-3.66766*ii, 3.53615-1.11265*ii, .91374+1.37698*ii, -2.04153e-52+3.84993e-53*ii, -1.38022-.524027*ii, -7.59688e-53+1.43557e-53*ii, .823087-5.31182*ii, -2.64055+1.12958*ii, 2.7735+.084033*ii
1.35462+.551858*ii, -1.43129-1.00836*ii, -.691548-.528151*ii, -2.37741-1.74561*ii, -.136734-1.92503*ii, -3.89828e-112-2.20902e-112*ii, -.334968+.679898*ii, 1.94914e-112-3.89828e-113*ii, 3.92033-1.17694*ii, .228619+.726635*ii, -2.18269+.320314*ii
9.44379-3.43736*ii, -3.79412+14.5298*ii, 1.70704-1.01777*ii, 10.2695+1.52482*ii, -6.28898+4.29034*ii, 4.62478e-203+1.01466e-202*ii, -1.27918-.326089*ii, 9.96719e-204+1.17364e-203*ii, -1.36627+10.9877*ii, 4.15565+14.3322*ii, 3.38529+1.53593*ii
-1.36522+3.65484*ii, 2.34586-3.19092*ii, 1.3171+1.25288*ii, 1.41936+1.58902*ii, -.509902-.127575*ii, -2.07102e-57-2.38964e-57*ii, .832009-7.3759*ii, -2.38964e-57+9.9568e-59*ii, -5.42072+3.88749*ii, 3.54379-.631831*ii, -1.21387-1.13652*ii
.936269-2.59844*ii, .671517+.3731*ii, -1.09664+2.20436*ii, -.041225-1.40053*ii, 1.87736-.559241*ii, -2.55478e-108+2.12898e-109*ii, .836765-1.13483*ii, 1.4988e-105-1.52605e-105*ii, .903339-.439168*ii, -.779428+.535553*ii, -.212402+2.31734*ii
10.0809+4.86688*ii, 10.7253+2.11448*ii, -1.26977+.302936*ii, 5.67536-8.82395*ii, -1.41899+.405011*ii, -5.29017e-160-3.26746e-160*ii, -5.66392-5.04644*ii, -1.27809e-161-8.7799e-161*ii, -4.22223-3.82051*ii, -7.12959+.282083*ii, 1.59495+5.77637*ii
3.49703+2.72214*ii, .337124+.717911*ii, 1.32473-2.06242*ii, 2.4511-.121196*ii, -1.8984+1.68487*ii, 6.04609e-137+5.3743e-138*ii, -.318547-1.71663*ii, 2.95455e-125-2.95455e-125*ii, .155324-4.40038*ii, .963615+.127875*ii, -1.26191+1.01672*ii
-.158453+.311693*ii, -.11191-1.1048*ii, -.472528-.228608*ii, .046489+.854555*ii, .28422+.109709*ii, 2.34466e-32+2.549e-32*ii, -.116787+1.14174*ii, 3.12286e-32-2.57384e-32*ii, -.543451+.171024*ii, -.099843+.273816*ii, -.641955-.522908*ii
.906335-.650016*ii, -2.09835-7.9539*ii, -1.70177-3.31503*ii, 6.31269+12.4689*ii, 9.63068+2.73502*ii, -9.60232e-160+1.78932e-159*ii, .0693484-.0871886*ii, 7.36289e-161+1.30031e-160*ii, 6.11536-3.63214*ii, -11.3983+10.2459*ii, 17.2363+11.668*ii
-12.485-2.68007*ii, 1.58607-11.856*ii, -.608089+.182078*ii, -3.18594-5.41042*ii, .743621+.410199*ii, 2.56426e-251-1.32475e-251*ii, -14.3968+4.33755*ii, -1.22757e-252+1.36397e-251*ii, -10.1915+2.09886*ii, .597125+3.74915*ii, 6.38297-4.22714*ii
.814882+3.86961*ii, -1.87657+2.15133*ii, 1.27473-1.17494*ii, 1.63366-5.22531*ii, 1.64089+.563532*ii, -9.3494e-260-6.82909e-259*ii, 1.16867+1.95689*ii, 1.95117e-259-3.25195e-260*ii, 1.4011+.55503*ii, .067776+2.47361*ii, 1.07014+3.14977*ii
32.9785+21.7236*ii, 3.40291+1.75686*ii, 4.70321-22.2739*ii, 28.4017+3.6608*ii, -1.21506-2.45368*ii, 6.1568e-289-7.08033e-288*ii, -12.4549+7.27275*ii, 3.11475e-206+3.42622e-206*ii, 22.917+8.2142*ii, 27.5683-33.7666*ii, -1.29699-10.0333*ii
2.16238-1.01322*ii, .430546-1.15277*ii, -2.10851+.071915*ii, 2.3994-1.71579*ii, 2.57419-3.06268*ii, -3.92902e-101-1.28586e-100*ii, .541628+.250803*ii, -3.01615e-87-1.41382e-88*ii, .047948-.220825*ii, -.412455+1.2308*ii, 2.19148+2.6411*ii
.969996-.077202*ii, -.209546-1.83526*ii, .124693-1.78504*ii, -1.17647-.068628*ii, -1.58971-1.12214*ii, -1.47728e-125+8.95599e-126*ii, -.384374+.319883*ii, -2.79174e-115-3.04553e-115*ii, .186629-1.39899*ii, -1.65106+.072602*ii, 2.96202+3.00075*ii
-1.90328-4.31045*ii, 1.90167-1.28751*ii, .565871-.266241*ii, 3.06526-1.46729*ii, -4.50916+1.80907*ii, 1.08771e-118+3.50445e-118*ii, .033225+.969261*ii, 5.44825e-119+1.27215e-118*ii, -1.78288-8.70776*ii, .366656-.617435*ii, -2.39346+.580477*ii
2.68374-1.62829*ii, .419793+1.60698*ii, 3.31969+1.09391*ii, -2.02076-.525062*ii, 6.64047+.487715*ii, -1.26945e-31-2.12644e-30*ii, .384067-.273415*ii, 3.14978e-31+9.70457e-31*ii, -4.73522-.024212*ii, -.182151+2.89695*ii, -.134109+.0660188*ii
3.62234+.352011*ii, -.85271-.697493*ii, -2.60216+.712353*ii, .228156-.701021*ii, 1.59169+.166116*ii, 7.7471e-282+6.71411e-281*ii, 2.27409-.016179*ii, -7.93688e-31-6.50885e-31*ii, .775469+2.34796*ii, 1.35788+.60378*ii, 1.81411+.517202*ii
-3.5411+3.09292*ii, -7.99899+.906222*ii, -.127542+.0420746*ii, 2.96181+8.69041*ii, 1.05834-.307135*ii, 4.13407e-116+3.77717e-116*ii, -3.86822+1.79985*ii, 7.36102e-117-4.90115e-117*ii, 1.24116+5.30133*ii, .491037-.226068*ii, 1.58594-1.63305*ii
-1.65193-.877597*ii, -.359226+.759037*ii, .560081-.141878*ii, -.485556-.754896*ii, .270141-1.06876*ii, -1.07182e-71+4.24485e-72*ii, .404607-1.64791*ii, 1.41495e-72-1.40788e-71*ii, .154061-1.44495*ii, -.0467524+.238044*ii, 1.12135-.392121*ii
-.214764+.546253*ii, .294717+2.12614*ii, -.059568+1.12254*ii, 1.33577+1.49465*ii, -.191828+.0035414*ii, 2.21184e-86+8.84736e-86*ii, 1.17174-2.82599*ii, 5.63014e-86+2.81507e-86*ii, -.159398+.533728*ii, -1.20211+.102091*ii, .284128+1.45415*ii
10.103-17.5589*ii, .214422-6.19809*ii, .521382+4.50662*ii, .904762+6.31679*ii, .55768-11.0575*ii, -2.76424e-236-3.0889e-236*ii, 1.62989+.831477*ii, -1.13257e-236+3.07138e-237*ii, -2.99013+19.3661*ii, 14.0221-1.13262*ii, -6.77383-22.1928*ii
-1.06113+2.53736*ii, -.552734-.15068*ii, 4.07406-.604728*ii, -1.50435-.004312*ii, -.0898539+.445396*ii, 8.17891e-118+3.71769e-118*ii, 5.9359+1.18493*ii, -1.53302e-31+2.89207e-31*ii, -1.53051+.332699*ii, -1.1715-.139812*ii, -1.12892-1.37854*ii
-14.7966-3.69204*ii, -4.99866-8.1258*ii, 2.32534-2.48618*ii, .812461-7.53086*ii, .047119-1.50491*ii, 2.16074e-292+5.32357e-293*ii, 2.14338-9.89928*ii, -3.9144e-295+3.99268e-293*ii, 12.3705+15.1394*ii, -15.9129-3.23385*ii, -.44609+11.0365*ii
.811926-1.08759*ii, -.247821+1.87996*ii, -2.18619-1.58748*ii, -2.41651-.21897*ii, .047558-.311529*ii, -5.05454e-275+1.58857e-274*ii, 3.80044+2.02608*ii, -1.40805e-274-5.77662e-275*ii, -1.84834+.793066*ii, 1.76309-1.85827*ii, -1.54622-.957663*ii
-6.20534-2.87787*ii, 2.33954-3.44742*ii, 4.45708-2.02113*ii, 2.4728+2.8466*ii, .373779+.565281*ii, 0, -8.59272+5.29571*ii, 0, -7.01267+3.13449*ii, 1.7299-10.047*ii, 7.14399-.822104*ii
39.7783-8.85044*ii, 1.34951-5.1912*ii, -28.7089+3.72186*ii, -28.9679-4.36583*ii, -.658908+.519196*ii, -2.32222e-114+1.10559e-113*ii, -43.7748-21.0609*ii, 9.72093e-111+5.95137e-111*ii, -2.56277-21.9205*ii, -9.711+77.0283*ii, 28.7058+28.4694*ii
1.16375+.193215*ii, .850609-.335752*ii, .605817-.219931*ii, 1.27648-.355897*ii, .840993+.803743*ii, -4.53266e-32+3.81636e-32*ii, .837972-.57111*ii, -4.06824e-32+1.85548e-32*ii, -.567358+.037466*ii, .220736-.19524*ii, -.770489-.191127*ii
-1.89702-1.18241*ii, 1.83999+.22455*ii, -1.67576+.294762*ii, -.549212-1.39869*ii, .298544+.804357*ii, 0, -2.06139+1.59333*ii, 0, 1.76413+5.26946*ii, -1.57479+.083033*ii, 1.41048+1.4064*ii
-61.4931+39.9718*ii, -46.7408-57.1937*ii, 2.86316-.829631*ii, 67.31+10.6369*ii, -41.1997+33.4149*ii, -2.00291e-88+5.10546e-89*ii, 1.37498+.144977*ii, -8.84736e-85-2.4129e-86*ii, -48.9366-42.7809*ii, -90.6381-62.4885*ii, -33.7517+127.051*ii
.27545+2.40563*ii, .415173-.488704*ii, -.34156+1.37011*ii, -2.01154+.189561*ii, -1.59114-.658367*ii, -2.33363e-61+8.55665e-61*ii, -.681937-1.22972*ii, -1.36128e-61-3.11151e-61*ii, -1.19118+2.43388*ii, .263885+.367877*ii, -.601123-1.64199*ii
98.3532-116.459*ii, 36.4062-40.0602*ii, -1.27907-.855074*ii, 99.5919+49.1582*ii, -4.38719+14.1637*ii, 1.7912e-125+2.02548e-126*ii, -9.46513-4.01223*ii, 2.77913e-125-5.06891e-125*ii, 68.2013+17.2136*ii, -40.4103+10.055*ii, -64.5414+70.5284*ii
.31086-.520739*ii, -.25555+1.98872*ii, -1.87706+.505198*ii, 2.60581-.858541*ii, -.691817+.295634*ii, -3.2641e-66-1.30564e-65*ii, -.651942+.474117*ii, 1.33531e-66-6.5282e-66*ii, -.618348+.160079*ii, -.262507-1.93102*ii, .306759+3.33993*ii
-.964593-1.43557*ii, 1.9295-1.60855*ii, .126799-.126278*ii, .918859-1.01231*ii, -.10883-1.09328*ii, -4.44725e-31-4.75922e-31*ii, 1.38718-.744209*ii, 3.91313e-32-4.74838e-31*ii, -2.07735-.782256*ii, .0207668-.223808*ii, .0509001-.27168*ii
-2.29603-.845626*ii, -.444924+1.79703*ii, .795272-1.15243*ii, 4.10823+2.62811*ii, -1.12509+2.77166*ii, -4.01008e-31-9.85138e-32*ii, .026761+.817532*ii, -8.01504e-32+2.7294e-32*ii, .377942-1.71605*ii, .858562+.970938*ii, .316677+.551865*ii
4.36506+12.3419*ii, 1.14241+.754847*ii, -4.73917+2.74*ii, 5.91636-2.72214*ii, 2.28791+.860215*ii, 1.10772e-163+1.67548e-163*ii, 3.44859+4.09779*ii, 5.17228e-165+5.07732e-164*ii, 4.39535+1.34742*ii, -3.74117-.223571*ii, -1.56852+6.41647*ii
3.26273-2.69683*ii, -3.31257+.101522*ii, .137234+.0654402*ii, -3.80581+2.3434*ii, -4.98085+4.03256*ii, -1.06737e-56-2.86757e-57*ii, -.660484+.006704*ii, 2.21539e-57+3.02687e-57*ii, -1.60256-.535008*ii, -.23062-.101421*ii, .56969+2.69599*ii
.208875-1.29099*ii, 4.29788-1.44016*ii, .325759-3.78229*ii, 1.02023-7.67767*ii, -5.13603-1.5222*ii, -6.02724e-31+5.66054e-30*ii, .0310971+.242143*ii, -7.34731e-31+1.91295e-32*ii, .0698499+.369577*ii, -2.02352-8.36249*ii, -.062589+1.20594*ii
1.52468-2.18006*ii, -1.15311-3.15713*ii, -1.238+1.81809*ii, -2.64675+.77841*ii, .723439+1.55287*ii, 2.8341e-139+1.31209e-139*ii, -.777691-1.34415*ii, -1.8491e-132+8.80525e-132*ii, -3.2147-2.74926*ii, 3.58376+.906029*ii, .533459+4.8654*ii
1.27392+1.67091*ii, -4.2558-3.89638*ii, 1.26459+.871186*ii, -5.67865-1.60559*ii, -.022459+.841908*ii, -1.69663e-81+1.03775e-81*ii, 1.94293-1.56497*ii, 4.17982e-82-1.85312e-82*ii, 4.47687-.496506*ii, -.993689-4.31747*ii, 3.21042-1.31808*ii
.383728+.397599*ii, -.284102+.0559927*ii, .129486-1.04848*ii, -.653176+1.60731*ii, -.59032-.389101*ii, 3.03279e-31+8.16417e-31*ii, -.762645-.170845*ii, 3.70136e-31-3.39102e-31*ii, .2194-2.78508*ii, .01096+.152562*ii, .329799+.138663*ii
18.1069+10.8848*ii, 3.97025-8.55703*ii, 6.01064-3.69096*ii, -9.36141+15.4711*ii, -.390006+1.23912*ii, 2.88192e-298-1.49322e-299*ii, 3.80778-15.8113*ii, -1.13858e-299-2.30516e-299*ii, -11.5371-27.4021*ii, -3.85996-33.0436*ii, -2.15639-14.1979*ii
-12.9282+11.2544*ii, -.776207+3.32812*ii, -3.19338-6.79761*ii, -11.7116+13.29*ii, -.131082+1.02265*ii, -9.0019e-183+3.236e-184*ii, 12.4214+11.0496*ii, 5.39636e-184+5.11137e-184*ii, 16.7946-2.85795*ii, 12.551-2.67579*ii, 31.6064-1.20076*ii
1.50899+2.29833*ii, 1.42732-1.43473*ii, 4.56527-.544392*ii, -.826986-1.86782*ii, .940553-.443193*ii, 0, .37064+2.61824*ii, 0, -1.25391+.536769*ii, 2.86753-3.66348*ii, -1.49284-3.00051*ii
-1.45181-2.17582*ii, -2.56085-.308404*ii, -.287907+.482987*ii, -1.95051+2.91224*ii, 1.84922-.883155*ii, -4.48165e-220+4.42632e-221*ii, -.181716-1.2634*ii, 1.31777e-82-1.38366e-81*ii, -2.16461-.289745*ii, .443121-.574034*ii, 1.68396-.377931*ii
