variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
.829265+.385875*ii, -.598875+.143962*ii, .076902-.948252*ii, .356712+.532169*ii, .344483+.0759563*ii, .74539-.778233*ii, -1.04416+.375833*ii, -.289929+.139715*ii, .82672-.578299*ii, -.934031+.751174*ii, 1.77988-.010467*ii, -.361154-.975432*ii, .224368+.189215*ii, -1.06442+.262504*ii, .561558+.752394*ii
1.39795-1.79236*ii, .523749-.942642*ii, -1.64948+.477941*ii, -.738064+.345016*ii, .352704+.994042*ii, .112725-.831193*ii, .603831+.911484*ii, .259604+1.31652*ii, 1.19604+.609416*ii, .302906-.0758347*ii, .655522-.0592*ii, -.612086-.442887*ii, -1.93193-.806969*ii, .287525-.648929*ii, .851563+.68555*ii
2.03733+6.10742*ii, .288529+.175648*ii, -6.10002-1.55369*ii, -.297011+.144418*ii, -1.40321+.195724*ii, 8.48467-.46283*ii, -4.42234-1.61436*ii, -.779488-.665238*ii, 5.87354+3.94855*ii, -.0581996-.174458*ii, 1.30015-3.25529*ii, -.528736+.822411*ii, -.413401-.922125*ii, .946918-.710878*ii, -2.89473-1.42232*ii
-.29199-.1814*ii, .112563+.250763*ii, .0147684-.00349242*ii, -.0113536-.00428339*ii, -.0057019+.000978118*ii, -.150898+.052833*ii, .121837+.177773*ii, .707356+.224206*ii, .718817+.190379*ii, -.254311+.571019*ii, -.135322-.769935*ii, -.0311322+.0313017*ii, -.0653718-.106894*ii, .177839-.1206*ii, .217094+.219653*ii
.711288-.170867*ii, -.102881+.326179*ii, -.229934-.225313*ii, .145675-.0378584*ii, .0323509-.0355232*ii, .094438+.0254411*ii, .385719+.426067*ii, -.246481+.833775*ii, -.409578+.1388*ii, .203846+.262738*ii, .256977-.66321*ii, -.233685-.372903*ii, -.466253-.664692*ii, .189887+.152052*ii, .749122+.325477*ii
-1.20773-.138307*ii, -.0690892+.406028*ii, 1.63285+.278211*ii, .124269-.547263*ii, .086036-.886204*ii, -.119849+.887457*ii, -.639832-1.01774*ii, .827843+.136763*ii, .45237+.138978*ii, -.17132+.391415*ii, -1.18111-.441946*ii, -1.36053-.074553*ii, 2.69689+1.90257*ii, .261044-.44903*ii, -.613414-.335564*ii
1.0385-.358177*ii, .056577+.612695*ii, -.0860099-.413932*ii, .236654+.0083264*ii, .0399796-.0577564*ii, -.224681-.0052562*ii, .514455+.464494*ii, -.463962+1.231*ii, -.921413+.471037*ii, .129981+.154437*ii, .212648-.29096*ii, .0488404-.381741*ii, -.650317-1.27196*ii, .190301+.113827*ii, .966677+.372641*ii
.0889355-.12694*ii, .227256-.219125*ii, .915362-.434695*ii, 1.99934-.512399*ii, -2.52676+3.35633*ii, -.74318-18.315*ii, -5.39228+4.48583*ii, 6.96316-6.22055*ii, 9.07845+.85113*ii, -9.25852+8.99865*ii, -3.61657+5.20598*ii, 5.68568+3.22754*ii, .86262-.597048*ii, .318874+1.97557*ii, -1.06541+.64448*ii
-1.57278+.787019*ii, -.230769+.393883*ii, -1.93107-1.97826*ii, -.700194-.157027*ii, -3.79677+1.21624*ii, -.491772-1.00776*ii, -.175409+.520975*ii, 2.4572-1.67184*ii, 3.26422+.036102*ii, .095141-.714051*ii, 1.80753-2.10585*ii, .478568+1.49729*ii, 2.33077+.858748*ii, .412337+1.19792*ii, -3.17555+1.5436*ii
1.7271+1.38597*ii, .637364-.11371*ii, .524394-3.66172*ii, -.705407-.819762*ii, -2.37002+.63591*ii, 2.0974-.404283*ii, -.618663+.309578*ii, -.365708-.748341*ii, -1.13546+.438917*ii, .332125+.339837*ii, -.128069+1.62024*ii, -.850233-1.43786*ii, 2.21122-.147933*ii, .10261+1.04725*ii, -.240805+1.45167*ii
3.4273+5.56193*ii, 1.25799-1.94669*ii, -6.54327-8.07245*ii, -1.58629+3.32784*ii, -2.99219+1.36057*ii, 11.7616-2.8413*ii, -1.39504-2.19061*ii, -1.61188-3.52347*ii, .097692+4.81853*ii, .348454+.127258*ii, -.746433+.732248*ii, -1.57736+.204457*ii, .559479-.012634*ii, .486456+2.37423*ii, .404713-.885991*ii
-.047171+1.40194*ii, -.203841+.860557*ii, -.077935+2.59302*ii, -.371268+1.59284*ii, 2.24997+1.96826*ii, .138732+.281841*ii, .285463-2.40083*ii, -.829559-.928276*ii, 1.07167+.352955*ii, -1.75888-.668016*ii, -2.94421-.487282*ii, 1.84937-.006635*ii, -.42799+.0319399*ii, 1.01949-2.43434*ii, .880183+.735487*ii
-.710963+.647753*ii, -.127434+.144619*ii, -1.82444-1.34169*ii, -.392848-.227291*ii, -2.19908+1.25992*ii, -1.77294+.808003*ii, -.904328+3.12997*ii, .183494-.199617*ii, 1.66346-2.16679*ii, .536744-.338911*ii, 2.84709-1.38807*ii, .462709+2.30871*ii, 3.33789-5.92347*ii, -.162075+.588631*ii, -1.36171+3.84678*ii
-1.27505-2.45129*ii, .00503218-.00968196*ii, -4.39078+3.90733*ii, -.0225906-.00533139*ii, -.0773085-.0818512*ii, -.483923-.704365*ii, .958186-.987869*ii, 4.81356+.90312*ii, 8.79864+.69902*ii, .0340654-.0068671*ii, 3.53114-8.06012*ii, -.52125-2.06235*ii, -6.89795+10.0772*ii, -.0602683-.0747483*ii, -3.07419-2.67198*ii
-.444604-1.02889*ii, -.188933+.86883*ii, 1.45753+1.39899*ii, -.293035-1.57562*ii, 1.0154-1.386*ii, -.631541-.099233*ii, -.223817+.258758*ii, .861595+1.58004*ii, .306058+1.11609*ii, .427708+1.31247*ii, -1.40221-1.03047*ii, -1.66158+.698597*ii, .627332+.348692*ii, 1.16023-1.02359*ii, .159668-1.63327*ii
1.17944+.497607*ii, -1.63601-.581119*ii, 1.23997+.870193*ii, -1.74723-1.08084*ii, -.70171+1.88041*ii, .771781-1.38501*ii, 1.73707+2.40433*ii, .321826-.0903179*ii, -.838529-1.72759*ii, .105168-.534371*ii, -.100229+.388854*ii, 1.1567+.249788*ii, -3.04706-2.78686*ii, .389946-.577925*ii, 1.541+2.25223*ii
-.167048-1.39143*ii, .674666+1.49633*ii, -1.08379-1.49544*ii, 1.7356+1.29105*ii, -.127647+.267289*ii, -2.90644-.123683*ii, 1.1405-1.28855*ii, -.230077+.875549*ii, -1.19265+2.18825*ii, -.789926+.273476*ii, .713409-.020829*ii, 1.15166-.640638*ii, .210643-.0470405*ii, .51248+1.05345*ii, .909992-.276838*ii
-.278025+.755617*ii, .637662-.180077*ii, -7.54422+1.18131*ii, 4.43355+4.45371*ii, .249113-1.66692*ii, .110763-1.90544*ii, -1.467+2.60322*ii, -2.36975+3.19901*ii, .925512+2.94052*ii, -.103153-.387387*ii, .454588+.175046*ii, 4.61254+8.28703*ii, -.58734-16.1673*ii, .321395+.0297591*ii, 1.10876+.428344*ii
.460035-.999601*ii, -.00136074+.0345427*ii, -.39206-.0009382*ii, .0113942-.00467768*ii, .00102138-.00198709*ii, .0156287-.0169529*ii, .72445+.518465*ii, .550908+1.34273*ii, .085220+.648842*ii, -.0137705+.0287647*ii, .754839-.67874*ii, -.148182-.32402*ii, -1.73854-.518763*ii, .0224183+.0269977*ii, .871632+.123902*ii
-1.86632-.004196*ii, 1.00053+1.81409*ii, -3.83407-14.2361*ii, -11.7566+11.3851*ii, -1.91386+4.39199*ii, .636729-6.61775*ii, 8.3033-.62473*ii, 3.66485-9.25183*ii, .431107+3.65538*ii, .783556-.024684*ii, -.322845+.628115*ii, 2.07149+7.62325*ii, -1.01246+1.99594*ii, -1.46247+.04278*ii, .485763-.0909062*ii
.761792+.688855*ii, .563338+.567529*ii, -.0896343+.0088863*ii, -.0700592+.0031459*ii, -.745474+.459626*ii, .192367+.0909159*ii, -1.42957+.184353*ii, -.16123+.159191*ii, 1.42401-.688194*ii, -.415086-.354609*ii, -.556912-.426048*ii, -.0589292+.064952*ii, 2.66513-.810448*ii, -.071935-.556073*ii, -1.23628+1.85287*ii
.555346+.110936*ii, .298594-.353609*ii, .682405-2.02396*ii, -1.17896-1.28723*ii, -1.48754+1.88598*ii, -1.63921+1.89526*ii, 2.32715-.859895*ii, -.165543-.884126*ii, -.85259+.450727*ii, 1.5551-.285119*ii, 1.22458+1.49769*ii, .481549-3.7407*ii, -1.78012+2.41014*ii, .895249+.014177*ii, .174669+.991656*ii
-.081057+.177772*ii, .3631-.23032*ii, -.0768228-.0549345*ii, .0756056+.19361*ii, .100169-.0273359*ii, -.253744+.201923*ii, -.508865+1.29559*ii, .0209445-.160953*ii, .720702-1.33165*ii, .068911+1.0562*ii, -.288326-.384934*ii, -.092704+.474411*ii, 1.32871-2.03207*ii, -.193349-.0733621*ii, .263987+1.35585*ii
-.955993-.745838*ii, -1.82055+.714809*ii, 1.33987+3.32687*ii, 5.71923+.871716*ii, 2.79422-3.20116*ii, -3.04628+2.61174*ii, -2.6539-3.06025*ii, -4.24434+2.58312*ii, -2.31742-2.15408*ii, .206109-.562535*ii, .365215-.0675602*ii, -2.55899-1.48357*ii, 7.77967+2.07747*ii, -.616599+.384056*ii, .0775251-.433483*ii
-35.4706-11.052*ii, .0000537539-.00001067*ii, -77.3924+79.529*ii, .0000442576-.000157593*ii, .00692157-.00828317*ii, .12156+1.25154*ii, 1.40318-1.09187*ii, 70.6606-6.8074*ii, 145.246-21.7277*ii, .0000571094+.000223268*ii, 38.2865-151.47*ii, 1.35201-2.66338*ii, -82.2675+122.121*ii, .00044186-.00855062*ii, -59.6814-27.2724*ii
.934671-1.06021*ii, .267084-.654508*ii, -1.10634+.306717*ii, -.472105+.326847*ii, .536262+.503012*ii, .412375+.463089*ii, .398624+.566716*ii, -.126817+1.38639*ii, .567773+.335482*ii, .343572-.291213*ii, .840212-.323948*ii, -.68042-.443655*ii, -1.37067-1.18893*ii, .012381-.636447*ii, .951171+.714735*ii
-.184257-.34177*ii, -.386885-.545827*ii, -.047418+.546682*ii, .033684+.944923*ii, .010648-3.09876*ii, -1.17325+6.32637*ii, 1.58221+.0319*ii, -2.1721+2.96306*ii, -.757166-2.43984*ii, 4.93607-2.95938*ii, 3.05258-1.35562*ii, -1.18138-.775659*ii, -.544085-.29845*ii, -1.92093-1.14171*ii, -1.32447+.599047*ii
.326162+.18707*ii, -.390587-.357659*ii, -.174581-.590448*ii, .057896+.865309*ii, .15118+.278361*ii, .237842+.279097*ii, .430266-1.45299*ii, -1.20065-.592426*ii, -.702665-.26596*ii, .792186-.332671*ii, -.49709+.353569*ii, -1.18405-1.13118*ii, 2.05516+2.23337*ii, .320614+.0396894*ii, .174095+.261436*ii
.56493+.943296*ii, .0187547+.0256409*ii, 4.84656+.677033*ii, .141233+.0066262*ii, -.156296-.0418407*ii, .441257+.536988*ii, 3.5783-1.72714*ii, .226449-1.43937*ii, -3.78932-1.47393*ii, -.135837+.0729998*ii, -4.91356+2.08443*ii, 2.793-3.4652*ii, -3.86169+4.09386*ii, -.145599-.0868951*ii, 2.10876+.24194*ii
-1.42779+1.32402*ii, 1.5346+.735299*ii, -10.5818-13.6817*ii, -7.72202+12.9939*ii, -.282828+5.09749*ii, 2.68416-5.80768*ii, 3.4583-3.23541*ii, -.83845-8.39096*ii, 1.22265+6.20531*ii, .0627981-.427381*ii, .428434+.246534*ii, -.79284+8.84719*ii, 6.86813-2.21329*ii, .476197+.693357*ii, .48758-.0361291*ii
.886959-.156891*ii, .141672+.210093*ii, -5.08447-1.02078*ii, -.318499-1.42374*ii, 2.05035+.377275*ii, 1.4297+4.44042*ii, -1.15807-.507548*ii, -1.9646+2.62454*ii, 1.04799+2.47483*ii, 1.92573+.678272*ii, 4.98325-5.2761*ii, -5.36116-2.09919*ii, .609958-.089179*ii, 1.81446+.299471*ii, 1.17468-1.3204*ii
-5.79913+.39797*ii, -.896821-2.23315*ii, 3.11284+.63748*ii, .146193+1.30733*ii, 2.18113-1.36197*ii, -.203319+7.52917*ii, 1.81901-.895786*ii, 1.22418-1.33113*ii, -1.15146-3.57081*ii, .331812+.123494*ii, .530826-.670491*ii, -.526753-.146076*ii, .25698-.550069*ii, -1.97337-.584106*ii, 2.45378+1.21969*ii
.113611+.0331721*ii, .042657+1.39948*ii, .125817-.0985962*ii, 1.56966+1.0545*ii, -.248886+.149558*ii, .222988-.757182*ii, -1.09769-2.98243*ii, .476893+.700231*ii, 1.11919+2.30819*ii, -2.40589-.977766*ii, -.141519+.167822*ii, .786956-1.09762*ii, .93904+2.92656*ii, -.2409-.190893*ii, -.728169-.364845*ii
.228602-.081154*ii, -.315923-.215085*ii, 1.31844-.033881*ii, -1.27012-1.64455*ii, -7.6389-.053047*ii, -7.28952-.655636*ii, 3.898+1.62843*ii, -.228282-.222667*ii, .645664-1.45124*ii, 7.0205-4.5641*ii, -.294764+5.30668*ii, 5.16865+1.68666*ii, .496143-1.78368*ii, 1.23451-1.6131*ii, -7.07846+2.73058*ii
.165452-.448229*ii, .790248+.459131*ii, -1.27947+.519933*ii, -.559134-2.58196*ii, 1.79876-.07036*ii, -4.11392+2.12488*ii, .103019+1.41495*ii, -1.24121+.165403*ii, 1.86237-.339905*ii, 3.19793+3.69249*ii, 1.61431-1.97869*ii, -1.94819-2.13539*ii, .256724+.208104*ii, 2.18418-.822474*ii, -.096387-1.12145*ii
-.77823+.080077*ii, -1.01584+.09788*ii, .311902+.373876*ii, .403702+.490341*ii, .886841+1.3018*ii, .315967-.0682548*ii, .75804-1.86775*ii, -.164549-.544037*ii, -1.22877+.847979*ii, -1.3588-.167701*ii, -1.04245-.121806*ii, -.347669-.516193*ii, .818339+1.10245*ii, 1.07089+.021701*ii, 1.74959+.088104*ii
-.179819+.288703*ii, -.313447-.220447*ii, .0215673-.147625*ii, .164707+.033551*ii, .152838+.0165706*ii, -.34771+.174563*ii, -.70339+.915716*ii, -.246169-.098824*ii, .778614-1.14799*ii, .0984+.79623*ii, .700735-.126674*ii, -.401938+.175644*ii, 1.49622-1.42263*ii, -.247568-.114769*ii, .13287+1.11808*ii
1.4105+5.16558*ii, .870164-.39026*ii, -2.08904-7.69796*ii, -1.29711+.579304*ii, -3.69947-.690945*ii, 9.44973-.52582*ii, -1.8466-2.59216*ii, .066872-1.96908*ii, -.380929+5.5722*ii, .292485+.0294402*ii, -.416912+1.59703*ii, -1.4896-.002331*ii, 1.32031+.750921*ii, .260473+1.55238*ii, -.980102-1.94571*ii
1.42121+.531821*ii, -.333892+.209143*ii, 2.053+1.22358*ii, -.576211+.230276*ii, -.501441+.491793*ii, .422434-1.84553*ii, .79542-.795467*ii, -.598831+.004608*ii, -1.00074+.237198*ii, .039881-1.18224*ii, -3.70962+2.64504*ii, 1.54971+.281035*ii, .0025125-.217968*ii, .685418-1.659*ii, -.115566+.72493*ii
-1.16801-1.7766*ii, -1.38386-.001559*ii, 2.08101+1.26256*ii, 1.43151-.678736*ii, -.451008-1.38054*ii, -1.22262+.037247*ii, .33375+.762462*ii, .942136+1.7237*ii, -1.29935-1.41119*ii, -.195641-.41227*ii, .363471-.599537*ii, -1.03388+.49163*ii, 1.5224+.250019*ii, -.503929+.82911*ii, .44252+.527752*ii
.110017-.224391*ii, .469747-.322007*ii, -.679657+1.01956*ii, -2.49112+1.26167*ii, .206108-4.06907*ii, 3.23416+14.4202*ii, 3.97063-3.13648*ii, -3.52689+6.44167*ii, -4.75359-.67195*ii, 7.97176-8.85569*ii, 1.13538-5.10376*ii, -4.86036-.64589*ii, -.334279+.315264*ii, -1.11011-2.76307*ii, -1.11963+.428349*ii
-1.02615-.459799*ii, -.710025-.459497*ii, .449132+.200219*ii, .310887+.200351*ii, .0743031+.306723*ii, .0518835-.321596*ii, .6072-.81982*ii, .621086-.261568*ii, -.274116+.451207*ii, -.460311+.121609*ii, -.580188+.253136*ii, -.437313+.0008354*ii, .588277+.930828*ii, .528263+.086862*ii, .782766-.084074*ii
6.00763-1.66545*ii, -.295446+.0158138*ii, 1.90971+2.32582*ii, -.0647477-.127303*ii, .109277-.0920351*ii, 1.28858-8.42627*ii, .105303+.165072*ii, -2.3759+2.02708*ii, -2.61671+2.0107*ii, .364881-.196302*ii, -6.61774+5.69428*ii, .195529+.44135*ii, .0144819+.0157732*ii, 1.86513-1.787*ii, .783293-1.03052*ii
.108569+.0336884*ii, .36096+.412764*ii, .202871-.0502988*ii, .960652+.305971*ii, -.0343034-.00121707*ii, .0216336+.133136*ii, .505014-.559855*ii, .608066+.635746*ii, .138525+1.13478*ii, -1.01142+.345064*ii, -.141131+.170778*ii, 1.57334-.951484*ii, -2.31622-.212032*ii, -.121434+.0033903*ii, .888234-.054524*ii
.375773+.137913*ii, -.360682-.0950688*ii, .645039+.331926*ii, -.627461-.251502*ii, .231054+.954097*ii, -.657139+.437385*ii, 2.3017+3.13329*ii, .237038+.0328818*ii, -1.63543-2.43727*ii, .139181+1.03149*ii, -.044771-1.11606*ii, 1.7985+.223247*ii, -3.52461-4.42292*ii, -.0899546+.4068*ii, 2.75076+2.22002*ii
-1.49674+2.35367*ii, 1.33204+.926321*ii, 10.6468-.16371*ii, .16015-6.19172*ii, -.665327-6.4213*ii, 4.5392+9.24317*ii, -2.67203+.892837*ii, 2.89321+4.03791*ii, -2.45701-1.33818*ii, .14248+1.13081*ii, -1.93229+.324876*ii, -2.09779-3.18948*ii, -.5324-.352941*ii, -2.87482-1.35718*ii, -.0828349-.470112*ii
.202248+.566133*ii, -.147922-.464359*ii, .646621-.279842*ii, -.531753+.208522*ii, .164955+.288564*ii, .811084+.64702*ii, 1.05992+.68599*ii, .15446-.851203*ii, -.38334-1.89463*ii, .329128+.794636*ii, -.439786-.965541*ii, -.076506-1.1695*ii, -1.01288+.720846*ii, -.383304+.347044*ii, 1.15098+1.05105*ii
-.247126+.136701*ii, -.491051+.0397165*ii, .427103+.475686*ii, .33709+1.06304*ii, .588698+3.15989*ii, 1.47893+1.89422*ii, 1.22126-3.59159*ii, -.54588-.573364*ii, -2.76622+.345914*ii, -2.72155-2.49504*ii, -2.01079-.660646*ii, -.508051-2.20591*ii, 1.80706+2.33966*ii, 1.01364+.244549*ii, 2.43138+2.26739*ii
-.137727+.0036608*ii, .174525-.0833248*ii, -.194055+.246482*ii, .108128-.426867*ii, .22048+.0854468*ii, .421713-.204131*ii, 1.09588-.191596*ii, 1.76638+.12688*ii, 1.85778+1.4295*ii, -.535123+1.38621*ii, .749919-.747116*ii, 1.45553-1.75096*ii, -5.36616+1.74228*ii, .068626-.192877*ii, .857879-1.26043*ii
-8.61717+3.76857*ii, -.143627-.0660521*ii, -1.89763+.285496*ii, -.0247949-.0206307*ii, -.108765+.0260427*ii, -.24239+12.5282*ii, .864604-.15642*ii, 3.75937-2.89563*ii, 4.42765-4.97075*ii, .19144-.0583981*ii, 4.9791-10.8166*ii, .197022+.0530331*ii, -.0119732-.0292018*ii, -1.42959+1.22468*ii, -1.02274+2.79749*ii
.812135+1.10589*ii, 1.09686-1.48664*ii, -1.69007-1.45349*ii, -1.19247+2.75446*ii, 1.28463-.222171*ii, 5.29562-.056970*ii, -1.77147+.174475*ii, .37061-.845173*ii, 2.52546-.625934*ii, -1.10623+.922413*ii, -.409965-.988014*ii, -1.58293+.36578*ii, .264538-.203588*ii, -1.9185-.474244*ii, .88066+.819164*ii
.680275-.189095*ii, -.122799+.374735*ii, -.263907-.189796*ii, .169945-.0638753*ii, .0439735-.0404338*ii, -.0940823-.039574*ii, .370487+.448948*ii, -.284968+.762745*ii, -.361493+.0493252*ii, .272258+.349685*ii, .25071-.752853*ii, -.288126-.359089*ii, -.264797-.549646*ii, .251334+.186399*ii, .668328+.304806*ii
-.790633-1.33196*ii, .289425-1.95306*ii, .0957576+.272317*ii, -.124326+.346308*ii, .54902+2.18169*ii, -.75667+2.66306*ii, 1.86076+2.15073*ii, -.25633+.0539672*ii, -2.80458-2.89064*ii, -.388912-.148785*ii, -.310354+.10196*ii, -.182736-.0365773*ii, .507969-5.38403*ii, .10931+.635651*ii, 3.67229+4.1534*ii
-1.55616-.375238*ii, .696169+1.65883*ii, .513929-4.79517*ii, -4.68395+2.7268*ii, -.057846+1.11221*ii, -1.14872-.219138*ii, 2.96634+.234355*ii, 1.89974-2.13685*ii, -.342103+1.65294*ii, .1855+.565221*ii, -.502982-.164926*ii, .390088+2.98735*ii, .259585-1.20043*ii, -.076576-.94918*ii, .668786+.186216*ii
.104584+.73966*ii, 1.19185+.643533*ii, .609138+1.30274*ii, 2.55655+.513378*ii, .816721-2.12035*ii, -.052989+.788881*ii, -1.76119-.174466*ii, -.001651+1.25017*ii, 1.68253-.087015*ii, -.965415+1.41792*ii, -.945374+.035736*ii, 1.8409-.563244*ii, -.719683-1.18191*ii, -1.14974-.565787*ii, -.232773-.27527*ii
-.36576-.99043*ii, -.183321-.558386*ii, .236702+.0648691*ii, .130352+.0408983*ii, -.0327734-.0453891*ii, .0953056-.102168*ii, .879392+.325426*ii, .747944+.771989*ii, -.446527+.570311*ii, -.0881564+.174984*ii, -.146782+.319932*ii, -.135301+.189023*ii, -.983858-.86218*ii, .205554+.0233104*ii, 1.16665+.103961*ii
.276011-.555974*ii, 1.60937-.108901*ii, -.030757+.538585*ii, -1.24905+.636549*ii, -1.05134-1.80188*ii, 1.45829+3.84307*ii, .194652-.697228*ii, .755022+2.57522*ii, 1.58393+.317228*ii, 2.0333-2.94186*ii, -.583237-1.24642*ii, -.799214+.341446*ii, -.196362+.37509*ii, -1.07438-1.94245*ii, -2.30388+.642588*ii
