variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj
-1.83671e-40, -.111781-.628134*ii, -.904105+.285887*ii, 1.00228+.429804*ii, -.320446+2.25672*ii, 3.4819e-54-2.42741e-52*ii, -1.766e-37+1.10662e-37*ii, -.671432-.800913*ii, -1.59085+1.08427*ii, .140319+.267971*ii, .784492-.426609*ii
1.21795e-32+5.2398e-34*ii, .063476-1.28147*ii, -.571589+.105114*ii, .114203-.529668*ii, -.246058-.311183*ii, 4.91576e-96+2.1287e-96*ii, -2.00783e-32+2.32631e-32*ii, -1.0933+1.10509*ii, .831061-1.40558*ii, .0492088+.369572*ii, .391605+.486332*ii
1.16958e-234+6.37618e-235*ii, -10.9705+14.4517*ii, 5.38101+4.49451*ii, -37.9536-50.628*ii, -40.8456-21.1883*ii, 1.93497e-236-2.38032e-236*ii, -3.22495e-236-1.1518e-238*ii, 15.3397-17.1974*ii, -55.4416+.92337*ii, -61.993+14.2288*ii, -30.0318-6.37808*ii
0, 2.69256-3.03967*ii, -1.08062-.750673*ii, .27093+2.61982*ii, -1.51838-.019563*ii, 1.18695e-66-4.15431e-65*ii, 9.95682e-59-6.96978e-59*ii, -.276673+1.63626*ii, -1.90785-3.38768*ii, -2.59571+.631752*ii, -.351068+2.35071*ii
-9.69782e-32+5.58441e-32*ii, -.485159-.113476*ii, -.75216+.520282*ii, -1.21895-.576707*ii, -.978005+.098000*ii, -1.03371e-31-8.4938e-32*ii, 1.03838e-31-4.66949e-32*ii, -.725709-.615668*ii, -.603509-.29193*ii, .211978-.0835334*ii, -.645475+.416063*ii
3.59106e-189*ii, -3.06509-.070689*ii, 8.12604-14.6492*ii, -13.7559-7.18283*ii, -23.6028-12.6178*ii, 1.36172e-238-8.9982e-240*ii, 4.71327e-189-8.75321e-189*ii, 3.75533-10.1488*ii, 4.05927-13.4897*ii, -12.9713+22.1634*ii, 13.4736-12.3011*ii
9.07303e-32+1.52433e-31*ii, 3.69443+.248798*ii, -1.62791+.522802*ii, 1.00384+1.37879*ii, -.25247+.656031*ii, 2.54488e-178-8.32868e-178*ii, 1.56023e-31-1.98347e-31*ii, -.167757+.636002*ii, 1.23629-.984985*ii, -3.07214+.763218*ii, -.407168-1.42171*ii
3.67342e-40*ii, 1.85399+.098673*ii, -1.55564-2.26856*ii, -.842814-.21343*ii, 1.13178-1.21572*ii, -6.01069e-43+2.366e-43*ii, -1.13876e-38+3.57791e-37*ii, 1.88764+.822533*ii, -.453384+.412916*ii, -1.33015-2.1797*ii, .89643+3.86031*ii
1.28701e-32-7.63435e-32*ii, -1.8695+.807595*ii, -1.08796+.032951*ii, .427027+.379851*ii, .102376-.697653*ii, 1.47432e-32-6.36635e-32*ii, 1.09772e-31+2.3394e-33*ii, -.642644+.899457*ii, .276601+.221482*ii, 1.00366-.470116*ii, .669144+.7445*ii
-5.78727e-147-1.56413e-146*ii, -.561753+2.17553*ii, 2.37615-.518841*ii, .0287871-.314924*ii, -5.82008-.566832*ii, -7.33185e-148-3.75391e-147*ii, 1.37839e-147+3.05005e-147*ii, -1.46654+1.83226*ii, -2.25687-.437269*ii, -.103026+2.73042*ii, -1.42666-1.17532*ii
-2.5454e-32-7.27563e-31*ii, -1.88989+.420135*ii, -.619111-.832893*ii, -.619323+.627337*ii, -.309617+.493085*ii, -6.40062e-31+2.17333e-31*ii, -1.03503e-30+7.01534e-31*ii, -.692095+1.46522*ii, -.296265-.0555823*ii, .759989+.656981*ii, .425733+.254891*ii
-3.07683e-32-1.44995e-32*ii, .105324-.0197536*ii, .0033564-.337853*ii, -.531555-1.5579*ii, -1.18029+.204568*ii, 4.01152e-31-1.17679e-31*ii, 2.3241e-32+1.63127e-32*ii, -.92576-.964764*ii, -.058288-.847719*ii, -.00316015-.0178252*ii, .770443-.376017*ii
6.01857e-129-1.09777e-128*ii, -2.40428+.470159*ii, 14.0261-2.86359*ii, -.17008-13.9836*ii, -23.039-27.3029*ii, 7.57252e-131-6.80151e-131*ii, 1.7364e-130+4.02928e-130*ii, 4.5543-16.9331*ii, .393052-7.17529*ii, -16.1882+6.73969*ii, -16.3134+9.72331*ii
3.67342e-40*ii, -1.61071+.415354*ii, -.213628-2.23635*ii, -1.13261-.682325*ii, 2.16795-.066049*ii, 0, -9.95497e-38+5.33932e-37*ii, 1.04373-.004784*ii, .861744+.828888*ii, .636485+1.75669*ii, -.483776+1.73947*ii
-9.23298e-128+2.17119e-127*ii, -.829714+3.93945*ii, 1.2524+.058898*ii, .80106+2.20138*ii, 2.51332+3.74598*ii, -1.03871e-127+2.07742e-127*ii, 3.7509e-128+4.47222e-128*ii, -.792331+1.2766*ii, 2.99861-4.31857*ii, -.63558+2.44245*ii, .526769+1.69573*ii
8.04306e-87+2.01076e-87*ii, -.441538-.965797*ii, 8.00631-8.59933*ii, 7.98372+6.72178*ii, -1.63263+3.44163*ii, -4.42411e-240-2.69945e-240*ii, -2.71453e-86+1.60861e-86*ii, 1.92003-9.48685*ii, -10.8437-2.25564*ii, -5.92015-1.96777*ii, .966218+.10474*ii
-3.83523e-93*ii, .650674+2.29259*ii, -.516427+2.19211*ii, 2.90059+2.36839*ii, 1.2791+1.11068*ii, 8.8708e-204-2.09311e-204*ii, 9.20455e-92+4.60228e-92*ii, 1.4437+1.65923*ii, .446288+.893488*ii, -2.68082+.121197*ii, -.510483+1.0261*ii
7.5009e-101-1.88593e-99*ii, -12.9643+15.6008*ii, 2.13262+1.42046*ii, -34.4538+7.22252*ii, 2.24452+34.4466*ii, -9.83497e-136+1.5048e-136*ii, 8.3581e-100*ii, 28.8827-4.64796*ii, -11.9007-1.14169*ii, -24.9042+7.42756*ii, 12.3214-8.96404*ii
1.01958e-56-1.87e-60*ii, -2.00802+3.9943*ii, -3.70394-13.2524*ii, 7.11926+3.50205*ii, -14.9453-7.51556*ii, -1.43022e-245+2.603e-245*ii, -1.52937e-56+3.31363e-56*ii, -5.09703+8.03274*ii, -.77155+22.8533*ii, 30.1858+5.90817*ii, -6.5969+20.6859*ii
-1.89911e-65, .129456-1.57589*ii, -2.81385+1.80006*ii, 1.58861-1.48844*ii, -.972574-1.67807*ii, -6.55541e-126+7.3864e-127*ii, 1.13947e-64-1.13947e-64*ii, -1.53027-.018216*ii, -1.16692+2.27799*ii, 1.23621+2.33367*ii, -2.2223+.858876*ii
9.72346e-63-4.86173e-63*ii, -1.03567-1.38538*ii, -.516759-.600345*ii, .368779-1.05496*ii, -.529436+.850782*ii, -9.61e-145-3.20333e-145*ii, -1.45852e-62+4.86173e-62*ii, .070731+1.50012*ii, -.278425-1.18674*ii, -.148257+.668831*ii, -.086469+2.70662*ii
1.29382e-172*ii, -.577925-.693121*ii, .169824+1.92758*ii, 1.91845-.954509*ii, -2.26514-1.24284*ii, 2.27429e-174+1.16241e-173*ii, -3.88145e-172-3.88145e-172*ii, 2.91061-.362958*ii, -.630108+1.06819*ii, .618951-.615852*ii, -.850684-1.55097*ii
-2.03038e-30-9.13189e-31*ii, -.241285-.257693*ii, -.679018-.254406*ii, .154164+.300365*ii, 1.28016-1.08926*ii, -3.74088e-30-3.65573e-31*ii, -5.6791e-31-1.19656e-30*ii, .518887+1.05786*ii, -.461859+.398289*ii, .0491391+.118181*ii, -.331797-1.63313*ii
6.56859e-47, -1.40272-.45226*ii, -.690162-.177496*ii, 1.95306+.713743*ii, -.349699-.966005*ii, 8.75812e-47+8.75812e-47*ii, -1.1495e-46-5.47382e-47*ii, -1.02624+.318706*ii, -.751815+.616273*ii, .443916+.280555*ii, -2.30078+.231045*ii
0, -5.43544+5.06936*ii, 1.26871+1.03759*ii, -.47637+9.24732*ii, -8.30675-8.89339*ii, -2.1839e-56+2.03499e-56*ii, 5.5514e-52-8.67193e-52*ii, -13.6921+2.97098*ii, 9.27976+.87484*ii, -6.07795+.395893*ii, -.721737+3.59708*ii
3.3735e-80*ii, 7.96789+6.27723*ii, 3.04657+1.20365*ii, -.126369-6.67576*ii, 2.96642-1.62164*ii, 2.97173e-172-2.41074e-172*ii, -1.6868e-80+7.00002e-79*ii, 12.4358+11.5962*ii, .76248+20.8388*ii, 8.35957+14.3573*ii, 20.7823+1.78882*ii
-3.9e-89-5.1485e-85*ii, 1.3767+2.06927*ii, -12.2018-2.54059*ii, 4.64503-7.94304*ii, -.427247-2.45593*ii, -9.18844e-274-7.04026e-275*ii, 1.14533e-83-1.28689e-83*ii, 1.48938-2.90308*ii, -5.72994+2.87888*ii, -5.77053-14.3732*ii, 10.5372+7.45359*ii
-8.97044e-32+2.15426e-31*ii, -.106226-1.41212*ii, .227367-1.98915*ii, -.015156-.858167*ii, 1.06485-.40072*ii, -2.76357e-76+1.03634e-76*ii, -1.40478e-31+1.49442e-31*ii, -.900401+1.04275*ii, .868812+.363557*ii, -1.41653-.054884*ii, .232936-.157116*ii
6.81843e-56-5.22534e-56*ii, -1.93729+3.88823*ii, -1.9762+.22127*ii, -1.14011-4.25691*ii, 1.43469-4.07104*ii, 1.72054e-56-1.1988e-56*ii, 1.84799e-56+8.92131e-57*ii, -.256043+.486346*ii, .764946-.381007*ii, 1.48407-4.0563*ii, .0414009-.118289*ii
0, -.351016-.654361*ii, -1.10723+.669954*ii, -2.41357-.325754*ii, -1.11448+.047502*ii, -1.69794e-72+6.22578e-72*ii, 2.83986e-68+1.8546e-68*ii, -1.72512-.569654*ii, -1.93417-1.88973*ii, .413524+.244682*ii, -.631676-.515677*ii
-4.48951e-33+2.65133e-32*ii, -.369139-.649028*ii, 1.25661+.712069*ii, .908109+.026878*ii, .573874+.053948*ii, 9.79687e-33+8.3774e-33*ii, -3.44952e-33+4.65248e-32*ii, -.350542-.304077*ii, -.55049-.447176*ii, -.000856-.539215*ii, .818381-.291193*ii
1.05422e-81-5.46877e-81*ii, 3.11343+1.30984*ii, -1.34853+4.16786*ii, 2.33604-.588788*ii, -5.80271+4.01018*ii, -1.8943e-82+2.96499e-82*ii, -6.58887e-82+3.29444e-82*ii, -1.54657-.717646*ii, 1.30022-4.1075*ii, -4.82889+5.60498*ii, -9.5462-2.61027*ii
-7.96546e-59-3.18618e-58*ii, -.285069-.842241*ii, 4.40843-.725778*ii, -2.08245+1.89994*ii, 1.89897-1.23076*ii, -1.78517e-63+5.12761e-63*ii, 3.82342e-57+2.07102e-57*ii, -2.26028+.320238*ii, 4.42787-3.70487*ii, -.933993-1.75303*ii, .876209-2.25588*ii
-1.69869e-82+4.85929e-82*ii, .077644+1.30259*ii, 3.50901-.593058*ii, 1.85873+1.66571*ii, -.638821+5.07717*ii, -1.74374e-83+3.73198e-83*ii, 1.03981e-82+4.6328e-84*ii, 1.88164-.153488*ii, -.190756-.80352*ii, .522482+2.26237*ii, -.674598-2.4034*ii
1.99175e-31+1.85015e-31*ii, 1.49979+3.22533*ii, .631799+.4626*ii, -1.45357+2.20775*ii, -1.59697+1.66558*ii, 5.63322e-267+1.33259e-267*ii, -1.8632e-33-1.17797e-31*ii, -.467162+.25619*ii, 4.44547-1.45985*ii, -.272236+1.36578*ii, -3.4833+3.30598*ii
-7.83037e-54+1.04404e-53*ii, -2.74496-6.59066*ii, -.836481-2.38556*ii, -.364956-.600949*ii, 1.01131+1.67519*ii, -3.49175e-249+2.26964e-249*ii, -6.26429e-53*ii, 1.4797+3.33278*ii, -5.12041-.640345*ii, -6.71316+6.03061*ii, -3.14595-2.7234*ii
0, 1.82117+.703493*ii, -2.35872+2.16268*ii, 1.97979+1.92801*ii, -.941065-1.81315*ii, 5.14756e-85-2.05902e-84*ii, -1.12014e-59-1.61798e-59*ii, 1.75863+6.33326*ii, -4.49744+.12368*ii, -2.90853+1.13962*ii, -1.44346-3.06279*ii
2.42325e-32+4.91696e-32*ii, 7.67087+2.9492*ii, -1.37086-1.3677*ii, 5.55941+1.54541*ii, .574793-3.90096*ii, 2.66843e-281+1.79043e-280*ii, -1.14408e-32+7.8977e-33*ii, -5.38841+2.21178*ii, -.689187+.830023*ii, -3.24103-7.2672*ii, -.933299-.437541*ii
-6.2233e-61+9e-66*ii, -2.59836-.078071*ii, -2.1813-1.83789*ii, 2.89027+1.5187*ii, .358128+3.76192*ii, -6.35936e-166+4.37524e-165*ii, -1.55575e-60-1.8669e-60*ii, -1.79457+3.08896*ii, -1.96752-2.35641*ii, 2.76216+2.4729*ii, -1.96432+1.60172*ii
1.39411e-47+1.06055e-47*ii, -1.24541+.003506*ii, -2.11549+12.3484*ii, .876434+2.88831*ii, 4.91986-4.80945*ii, -1.1092e-49-7.75102e-50*ii, 8.5529e-50+2.60862e-48*ii, -8.09274-6.86195*ii, -1.21148+.549635*ii, 1.29569-7.69314*ii, -9.42256-7.30726*ii
-1.09727e-98*ii, .497266-2.74967*ii, -.024596-2.45977*ii, -1.80224-1.4328*ii, -1.80541+3.30083*ii, 2.60509e-264+1.38938e-263*ii, -1.60933e-97-3.95016e-97*ii, -1.08849+4.95202*ii, .316322-.409666*ii, -3.3879-.577766*ii, .033793-2.60268*ii
3.20219e-46-3.05918e-45*ii, .757027-.375514*ii, .371261-1.06627*ii, -.735495+.66472*ii, 1.63648-.260913*ii, -4.22827e-73+2.95012e-73*ii, 1.4013e-43-1.44334e-43*ii, 2.09199-.202906*ii, -.177113-1.7295*ii, -.059673-.473305*ii, -.546354-1.33816*ii
-3.08861e-56+1.3143e-57*ii, .323188+.392774*ii, 8.33572+11.1182*ii, 3.74398+6.83181*ii, -4.5528-5.08502*ii, 2.99483e-59+2.36008e-58*ii, 3.95037e-57-3.86138e-57*ii, 6.09121-4.14289*ii, -4.78569+.391027*ii, -.836472+3.43366*ii, -9.16758+2.87125*ii
1.83671e-40+3.67342e-40*ii, 1.17873-1.36054*ii, 2.00419+1.06035*ii, -1.64402-2.25448*ii, -.169828+1.96735*ii, -4.27841e-189-3.33944e-189*ii, 3.39791e-38-1.19386e-39*ii, -1.46842+.109169*ii, .559076-.155415*ii, 1.90252-.73845*ii, -.033881-.875206*ii
4.16249e-258+5.20312e-258*ii, 5.10249-4.83496*ii, -1.30362-.010098*ii, .865212-1.39362*ii, 3.30714+2.01672*ii, -1.53865e-281-5.76725e-281*ii, 4.16249e-257-1.45687e-257*ii, -9.26364-2.68184*ii, 3.76926+8.16526*ii, -3.35026+3.12571*ii, -5.74678-7.32709*ii
-2.03916e-56, -.263651+3.14783*ii, 5.68989+2.40137*ii, -2.93116+.802317*ii, 8.18207-3.48882*ii, -4.76727e-112-2.59885e-113*ii, -1.27447e-56+2.03916e-56*ii, 1.37775+3.18189*ii, -.425308+.889399*ii, -4.52963+8.63885*ii, -3.69621-5.88175*ii
-2.62525e-83-2.32927e-83*ii, 2.82599+.333394*ii, -5.56131+22.4074*ii, -47.3095-2.69813*ii, 9.10931-.83795*ii, 9.95329e-86+2.1113e-86*ii, -3.34591e-84-3.72394e-84*ii, 4.09494+8.41728*ii, 11.4826-23.1402*ii, -11.5933+30.7345*ii, 8.90973-7.85668*ii
-4.45105e-67*ii, -.003211-3.80828*ii, -1.95316+1.57707*ii, -2.36297+.870811*ii, 1.25798+1.02635*ii, -2.38847e-82-3.29444e-82*ii, -2.67063e-66+2.37389e-66*ii, 1.27712-1.96528*ii, 2.08464-3.79142*ii, 3.00609+3.71656*ii, -1.37238+3.28122*ii
3.59604e-31+8.0111e-33*ii, 1.43165+1.39406*ii, 1.44446+2.10994*ii, -1.82445-.315398*ii, -.295027-1.1486*ii, -1.21295e-173-6.06476e-174*ii, -8.1983e-32+2.92023e-31*ii, .970739+.214771*ii, .976628+.906208*ii, -.436709+2.51718*ii, .834065-.085167*ii
-9.04816e-109-9.84653e-109*ii, -1.29214+.012694*ii, -2.24767-6.96047*ii, 2.0155+.423269*ii, .32027+10.4297*ii, 5.71748e-111+3.03546e-110*ii, -1.26408e-109+4.15816e-110*ii, 10.3549+6.52279*ii, -3.62745-.293868*ii, 1.49633+4.48268*ii, 4.05713+5.44006*ii
2.75506e-40+7.34684e-40*ii, .24677-1.91608*ii, -1.67458-1.40157*ii, -.365882+.120399*ii, -.92244-.437513*ii, -5.89764e-66-3.9410e-68*ii, -2.11038e-36+1.88814e-37*ii, .972036+1.13199*ii, .692976+.597608*ii, -1.54938+1.43138*ii, .814686+.844065*ii
3.58667e-43-4.93e-47*ii, .797885+1.41253*ii, 2.48839-5.01921*ii, 4.06455-2.62201*ii, -8.54909-2.95494*ii, -2.03342e-195-1.72305e-194*ii, -3.40796e-42-4.03574e-43*ii, -5.25431-5.38821*ii, .371488-3.7921*ii, 4.53762-.244912*ii, 1.4313-1.57727*ii
-2.73691e-48, -1.50038-.498083*ii, 2.5664-.179217*ii, .463909-1.39684*ii, .491352+1.36829*ii, -3.64818e-56-4.33321e-56*ii, 8.21073e-48-5.47382e-48*ii, -1.10582+3.88778*ii, -.037389+.544404*ii, -1.96992-.504695*ii, -.556033+.155228*ii
7.66335e-47-2.18953e-46*ii, -2.22742-.070166*ii, -.46496+1.51968*ii, -.593548-.469051*ii, -.636142-.117367*ii, 1.71057e-47+8.75812e-47*ii, 3.83168e-47+1.75162e-46*ii, -.56067-.891313*ii, .108369+.81108*ii, .571146-1.67617*ii, 1.09086-.325429*ii
-1.71808e-31+1.37714e-31*ii, -1.77271+.462451*ii, .969428-.061975*ii, 3.29364+.142621*ii, .338342-.265553*ii, 1.09389e-62-1.09389e-62*ii, -5.11911e-31+5.2448e-33*ii, .694777-.316134*ii, .979031-.307837*ii, -.844928+.279088*ii, -3.99476-.477288*ii
1.91618e-68-2.89782e-68*ii, 5.57064-.044814*ii, .78454-1.48957*ii, .018032+4.44286*ii, -1.5726-3.91019*ii, -3.54983e-69+2.55393e-68*ii, 7.30341e-69+7.01815e-69*ii, 2.59882-3.04656*ii, .996991-4.33807*ii, 2.15182-4.1665*ii, -1.32634+3.13935*ii
-3.16949e-71, 1.91767-.672414*ii, .404405+1.65337*ii, -2.28455-2.64743*ii, -1.12036+2.92304*ii, 8.7758e-195-1.34848e-194*ii, 7.24454e-71, 1.49135-.649749*ii, 1.21471-2.27742*ii, .943632+1.44934*ii, -.026095-.626589*ii
-1.36846e-48, -.219169+5.17301*ii, 4.16716+31.5201*ii, -14.0606+22.0714*ii, -32.1561+21.3779*ii, 2.10507e-77-4.70266e-77*ii, 2.2665e-48-1.03703e-48*ii, -6.30019+53.0777*ii, -5.85944+8.91524*ii, -81.9837+7.3243*ii, 46.9068+10.4683*ii
-2.37389e-66*ii, -3.56407-1.16252*ii, -.070044-.595515*ii, .122797+.308462*ii, 1.02661-2.41596*ii, -8.7971e-87-4.27287e-87*ii, -1.18695e-66-4.15431e-66*ii, -.71672+1.59132*ii, -2.57736-.309404*ii, -.22133+1.10194*ii, 3.48131+2.31241*ii
-5.60519e-45-1.37e-48*ii, -.246366+1.47487*ii, 5.49142-4.47416*ii, -1.21016-1.90507*ii, -1.51908+7.561*ii, -5.96811e-315+2.18831e-314*ii, -1.96182e-44+2.06692e-44*ii, 4.58076-4.45979*ii, -2.63538-2.94783*ii, 2.62295+4.60071*ii, -7.71157+.641939*ii
0, 2.56342+2.03743*ii, -1.0341-3.58201*ii, 2.57577-.799055*ii, 2.25468+2.05676*ii, 8.16875e-213-5.04977e-212*ii, 1.61928e-78+8.63617e-78*ii, -4.81994-3.92511*ii, -5.98924-5.5482*ii, 2.32363-5.64457*ii, -2.06596+.424677*ii
7.22976e-181*ii, .351829+1.14844*ii, .100907+3.85168*ii, .133497+.708086*ii, -2.67554+2.06148*ii, 1.18305e-271+2.23301e-270*ii, -4.57885e-180-4.81984e-180*ii, -.634928+.188836*ii, -.294388-2.96055*ii, -2.19396+.735509*ii, 2.048-1.66129*ii
-2.75797e-31-7.23152e-32*ii, -.272333+.0283398*ii, 1.29827+.41721*ii, -.414566+.343152*ii, -2.20916+.954681*ii, -1.43201e-31+5.47916e-32*ii, 9.32772e-32+7.30438e-32*ii, -1.51057-.318404*ii, .803125-.786761*ii, -.182693-.0384136*ii, .033523+1.45241*ii
-3.98273e-59, -3.08993+1.92797*ii, -3.08908-2.47777*ii, .492394-.0899108*ii, .284126+.932625*ii, 8.59888e-137+4.08447e-136*ii, 1.19482e-58-5.97409e-58*ii, -1.38895+8.9188*ii, -2.98223-.660002*ii, 7.16106+.850233*ii, 1.04081+3.35049*ii
3.83596e-31-1.73149e-31*ii, .0879018-.488308*ii, -.007262-1.18121*ii, -.722048+.335188*ii, -.128293-.227947*ii, -2.76421e-31+1.20704e-31*ii, -1.42418e-31+1.60268e-30*ii, -.421499-.527673*ii, -.736364-.29673*ii, -.288717-.0501425*ii, -.521614-1.03765*ii
-3.01615e-87+4.82584e-86*ii, 3.81586-3.41466*ii, .111483-2.70284*ii, -.595914-.601111*ii, 1.44391+.606348*ii, -5.90662e-87*ii, 4.02153e-87+3.01615e-86*ii, .318132+.0860864*ii, -1.97456+.582186*ii, -4.40194-5.34717*ii, -1.68908-1.63243*ii
-1.12707e-131-4.13847e-132*ii, .927564-1.88771*ii, 2.20445-.513505*ii, .051365-.943498*ii, -.424425+1.36944*ii, -7.0442e-133-2.06923e-132*ii, -8.8053e-133+7.13226e-132*ii, .776461+.393962*ii, .74851-1.44963*ii, .537711-2.31884*ii, -.441511+.175158*ii
0, -.0709808-.478913*ii, 3.6772+4.56752*ii, -.625318-.923733*ii, 5.73775+.390426*ii, 0, 0, -3.68477-.342754*ii, -1.21762-4.38005*ii, .963217-1.04263*ii, -.0613729+.34737*ii
-2.31249e-30+1.18619e-30*ii, 2.04583+1.24879*ii, -2.64816-.074402*ii, 1.86488-.23849*ii, 4.32958-1.16281*ii, -2.75235e-105+3.65163e-105*ii, -5.66812e-31+1.21743e-31*ii, 3.22174-.799221*ii, -.49883+9.53865*ii, -2.66238-1.7296*ii, 5.28682+.413162*ii
