variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
-.473568-1.47325*ii, -1.09464+.552146*ii, .356042-1.3107*ii, .532867+.626339*ii, -.728254-.367338*ii, -.787914+.926176*ii, .868809+.361093*ii, .93311-.004535*ii, -1.11893-.593499*ii, .862285-.675237*ii, .807191+.989368*ii, .528138-.949213*ii
-.597822+2.31688*ii, .507536-7.3555*ii, -.597806+2.31682*ii, -.69173-10.0241*ii, .0093364+.135308*ii, 6.80854+4.37748*ii, -7.10619+6.57881*ii, .000445232+.000148262*ii, -.0288885+.0507702*ii, -.422485-1.2566*ii, -8.00852-4.55714*ii, 1.43239+.257937*ii
-.252756-.48782*ii, -.232717-.258201*ii, .956123+1.74565*ii, -.599712-.568257*ii, -1.92607+2.13698*ii, -.878595+.832512*ii, .314093+.109087*ii, .352458-1.10283*ii, .328483+.249266*ii, .0377465-.326966*ii, .0739016-.0925033*ii, -1.14145-.103005*ii
.188303-.0817997*ii, -.377447-.257989*ii, 1.03804-.755573*ii, -.129484-.329313*ii, -1.80575+1.23425*ii, 1.03409-2.62997*ii, -.0102036-.28991*ii, 1.73275-.461185*ii, -.944013-1.13487*ii, .228588+.151409*ii, .213003-.107905*ii, -.59714+1.58609*ii
-1.50759+.271981*ii, .831893+.371432*ii, -1.62936+1.2458*ii, .311894-.854059*ii, 1.00227-.447504*ii, .377244+1.03309*ii, -.424855-.727436*ii, .273391-.979519*ii, .208473+1.40485*ii, -.946987+.238234*ii, -.955499-.686007*ii, -1.00232-.620464*ii
.592121+1.47423*ii, -.0878119+.267738*ii, 1.17914+1.76307*ii, -3.60754-.392207*ii, -1.10602-3.37224*ii, .273962-.0297765*ii, .103058+.193125*ii, .130497-.169728*ii, 3.47296+.182065*ii, -.210513+.13226*ii, -1.6338+3.15745*ii, .20276+.134197*ii
56.5206+66.5246*ii, 217.745-283.094*ii, -56.5242-66.5289*ii, -36.4039-389.502*ii, .00170706+.00221939*ii, 2.70545+2.08092*ii, 7.2405+148.797*ii, -2.00846+.097731*ii, -2.11971+4.82391*ii, 166.338-247.43*ii, -323.432-142.122*ii, 2.36461+1.58964*ii
-2.89459+8.66522*ii, 1.39429-.242088*ii, 2.89369-6.17143*ii, .976007+.310602*ii, .696221+.120883*ii, .930265-.296067*ii, -.063624+4.45897*ii, .374255+3.05312*ii, -.656626+1.81589*ii, 4.23385+1.50847*ii, -1.30053+2.47855*ii, 3.03497+.634377*ii
-3.1424+.865911*ii, 5.50869-2.61356*ii, -3.11097+1.13679*ii, -.368257+.154914*ii, .148177+.0703018*ii, 2.307+.971092*ii, -4.0452-.526947*ii, -.944973-1.38265*ii, -.140658-1.59433*ii, -3.42303+1.02373*ii, -3.12425-2.33077*ii, -1.2498-.767653*ii
.0356786-.0106784*ii, .343723+.457727*ii, .0542436+.202561*ii, .176459-.249364*ii, 1.04902-1.39696*ii, 1.89085+2.67208*ii, .0479983+.0375724*ii, .268299+.222533*ii, 1.47426-.358926*ii, -.10747-.203153*ii, -.255878+.0700135*ii, -.581503-1.17867*ii
68.464-133.906*ii, -.564672+.772084*ii, -68.4622+133.902*ii, 45.7204+62.5141*ii, -.617149-.843837*ii, 2.71789+3.1245*ii, 302.233-75.0126*ii, .00172175+.00341742*ii, -.287264+.401416*ii, 17.2947-65.6432*ii, 63.3213+45.3145*ii, -260.539-135.98*ii
-5.62727-1.84591*ii, .795325+5.30027*ii, -5.62712-1.84586*ii, -2.05125+13.6693*ii, .0276871-.184515*ii, -1.43063+4.40121*ii, 8.08739-11.063*ii, .000141161-.000832481*ii, -.0465492+.0518649*ii, -8.98926-1.9542*ii, 8.18194+7.34281*ii, -6.19002-4.97791*ii
.171079+.748572*ii, .889009+.145126*ii, .11362+.769674*ii, 2.17785+1.71539*ii, 1.09565-.178859*ii, -.283316+.223263*ii, -.107799-.0869433*ii, .0548297-.00833376*ii, .188485-.216797*ii, .930369+2.20903*ii, .716999-.018264*ii, -.903957-.322774*ii
-.595151+2.28062*ii, .515964-7.30048*ii, -.595135+2.28056*ii, -.71368-10.0973*ii, .0096328+.136296*ii, 7.0788+4.56586*ii, -7.31297+6.71334*ii, .000434703+.000146888*ii, .0298313-.0508804*ii, -.514671-1.24084*ii, -8.02592-4.70586*ii, 1.53694+.168376*ii
148.281+125.007*ii, 555.122+118.749*ii, 148.291+125.015*ii, 974.211-438.431*ii, .00172258-.000368486*ii, -1.13485+5.30513*ii, -415.728+322.394*ii, -4.35167-5.61149*ii, -12.608-1.28462*ii, 771.006+374.737*ii, 86.131-845.334*ii, -3.58125+7.36827*ii
-174.439-91.3447*ii, -454.082-115.485*ii, -174.451-91.3506*ii, -812.384+431.034*ii, -.00206845+.00052606*ii, -1.10365+4.33953*ii, 294.457-328.086*ii, -4.42849-3.97457*ii, -10.7514-.75583*ii, -728.251-280.672*ii, -50.677+720.856*ii, -2.6823+6.95967*ii
-1.41118+.481694*ii, 3.23874+5.16243*ii, -1.13435+.805994*ii, .007435-.221709*ii, .0872032-.138999*ii, -.150807-4.50511*ii, 1.19145+3.14244*ii, .407092-2.45206*ii, .154102+1.71995*ii, 2.06915+3.13495*ii, -1.34936-1.90492*ii, -.157044-2.77386*ii
-56.2176-59.027*ii, -197.435+231.861*ii, 56.2212+59.0308*ii, 8.4550+325.328*ii, -.00212891-.00250012*ii, 2.21582+1.88683*ii, -6.5972-118.433*ii, -1.59861+.089049*ii, 1.99147-3.85503*ii, -150.252+204.769*ii, 258.471+133.523*ii, 1.95691+1.43591*ii
-.064146+2.43085*ii, -3.44398+1.68214*ii, -.064144+2.43079*ii, -17.3677-8.48285*ii, -.234435-.114504*ii, 23.754-10.57*ii, 12.0852+29.2102*ii, -.000102893-.000225564*ii, -.0238251-.116717*ii, .473872+2.31933*ii, -18.4116+3.7583*ii, -2.65124-15.8376*ii
-.445746-.0935628*ii, .748365-3.46497*ii, -.484957-.0648273*ii, -.58455-.134616*ii, .0595545+.27574*ii, -1.62476+.373941*ii, .379608-.0073330*ii, -.0789771-.160187*ii, -.954359-.624703*ii, .095650-1.14194*ii, -2.06353+1.27238*ii, -.505288+.18752*ii
.406384-.0299356*ii, -.295738-.480325*ii, 1.17718-.780168*ii, .236553+.465611*ii, -.929488+1.50963*ii, .867276-1.70706*ii, .150672-.359842*ii, 1.30891-.200902*ii, -.722855-1.33407*ii, .222235+.379414*ii, .4463+.0233529*ii, -.70521+1.31549*ii
-4.72149-4.59909*ii, -.0814712-.028563*ii, 10.6595-2.33794*ii, -4.56746+4.49387*ii, -10.9307+3.83221*ii, .111244+.109454*ii, -.010925-.514203*ii, -.378123+.849335*ii, -1.2948-7.95761*ii, -.135861-1.58575*ii, 2.52306+3.67688*ii, -.998991+2.698*ii
-5.62197-6.1448*ii, .0341126-.0289474*ii, 3.48155-22.0009*ii, 2.10634+7.91883*ii, 17.0425+14.462*ii, -.0313691+.117935*ii, .450521-.235135*ii, -.643304+1.22785*ii, -11.9281-7.28111*ii, -1.4957-2.62376*ii, -2.06805-4.68639*ii, 7.43384+3.55001*ii
-4.10117-.363877*ii, -3.02553+8.82565*ii, 4.10107+.363867*ii, 2.57637+7.5148*ii, -.0347579-.101391*ii, 1.12157+.419479*ii, -2.22355-1.06424*ii, .000414322-.000930465*ii, -.00745256+.041274*ii, -1.12988+7.57646*ii, 6.49687+1.17387*ii, .968028+.171841*ii
-3.65826+1.02472*ii, 7.28814-2.48694*ii, -3.59857+1.29058*ii, .306169-.153362*ii, .122899+.0419371*ii, 2.61066+1.30856*ii, -5.44568-1.05592*ii, -1.16232-1.75326*ii, .158213-1.88831*ii, -3.70999+1.31264*ii, -3.25808-3.7875*ii, -1.34156-.653701*ii
.151772+2.35385*ii, 2.9915+.704647*ii, .151768+2.35379*ii, -23.4627+5.52663*ii, .316708-.0746004*ii, 10.2995-30.5049*ii, 36.6836+9.80691*ii, -.000032043+.000190153*ii, .115675+.101525*ii, .686151-1.92752*ii, -16.015+18.2472*ii, -19.4264-9.05727*ii
2.96349+.284254*ii, .223373+.136946*ii, 2.27363-3.61217*ii, -1.48017+1.75123*ii, 3.25381-1.99485*ii, .281512+.333071*ii, .369791+.533537*ii, .305803+1.03628*ii, 2.36994-2.82301*ii, 1.55545-.180552*ii, -.819723+2.05683*ii, 2.55253+.526867*ii
-2.13728+.095472*ii, -.303599+3.37385*ii, 2.12896-.099704*ii, 1.05748+2.95966*ii, -.0264574-.294017*ii, .107274-.298274*ii, -.100399+.323869*ii, .0167406-.0267534*ii, -.134318-.118516*ii, .675541+3.1487*ii, 1.72483+.861682*ii, .0133027-.301045*ii
-.717263+1.22281*ii, 8.8245+.93646*ii, .717244-1.22278*ii, 8.30138-.88099*ii, .112059-.0118918*ii, -4.14334-.187885*ii, 1.60081-2.46589*ii, -.000198883+.000269229*ii, -.0303957-.00967025*ii, 7.32113+.100283*ii, 1.52577-4.79552*ii, -3.41837+.159799*ii
-50.2963-54.7276*ii, -182.696+191.949*ii, 50.2995+54.7311*ii, -4.1183+266.935*ii, -.00260168-.00273345*ii, 1.8344+1.74597*ii, 1.6447-94.1042*ii, -1.27022-.022201*ii, -1.81298+3.13322*ii, -129.26+167.265*ii, 210.075+121.556*ii, 1.5985+1.2353*ii
-.0191498-.00854315*ii, .937823+1.69766*ii, .0325835-.037221*ii, -.0502115+.197257*ii, .249317-.451318*ii, 1.21187+4.76093*ii, .00873309-.050762*ii, .0538928-.118818*ii, 2.41991-.177593*ii, -.292645-.885644*ii, .906471-.309183*ii, -.150375-2.35787*ii
10.7479+6.12222*ii, -.124929-.890282*ii, -11.397+.49862*ii, .331226+1.06564*ii, -.154575+1.10155*ii, .265994-.855684*ii, 4.04878-3.78417*ii, 5.25898-1.68916*ii, 4.17649+3.15675*ii, -3.20204-2.65965*ii, 5.14028+1.07612*ii, -1.75543-3.75931*ii
-1.71612-.664911*ii, .53003+1.13335*ii, -.926145+.138093*ii, -.259096+.803543*ii, .338587-.723993*ii, -.363451-1.12722*ii, -.062889+1.08805*ii, .188028-1.01433*ii, -1.00998+.216975*ii, -.132101+1.36674*ii, -1.02974+.360988*ii, .286059-1.26793*ii
-.253585+1.05615*ii, 1.53863-1.32056*ii, .39636-.999189*ii, -.169923-.914878*ii, .374249+.321206*ii, -.196095+1.05657*ii, -.533083-.237518*ii, .298968-.0792267*ii, .578415-.352386*ii, .541814-.961488*ii, -1.26684-.16703*ii, .095988+.576985*ii
.0016071-.00013455*ii, .558537+.403045*ii, -.0037313+.00575634*ii, -.104444+.322235*ii, 1.17733-.849572*ii, .910211+2.80824*ii, .000920325+.00219533*ii, -.00237871+.00992123*ii, 1.46036-.353885*ii, -.209097-.213666*ii, -.226024+.267926*ii, -.181734-1.26837*ii
-2.61989-.372312*ii, -.538198+.545272*ii, -.257178-.388251*ii, -.900625-.940857*ii, -.916895-.928947*ii, .530893-.55461*ii, -.798683+.627678*ii, .790578-.641138*ii, -1.28921+.542166*ii, -.568149+.043513*ii, -1.29452+.521209*ii, .568604-.052319*ii
-1.39589+.445168*ii, 3.28017+5.21307*ii, -1.11434+.756513*ii, -.012856+.219692*ii, .0864668-.137419*ii, -.265175-4.53605*ii, 1.19473+3.1069*ii, .33343-2.43278*ii, .152792+1.54348*ii, 1.98998+3.30981*ii, -1.1905-1.73264*ii, -.108503-2.84702*ii
.272203+.163173*ii, .214687-.434763*ii, .227421-.711797*ii, .210594+.783945*ii, .913137+1.84919*ii, -.319595+1.18971*ii, -.140562+.135847*ii, .282957-.408136*ii, .0105328-.495351*ii, -.0777161+.0670106*ii, .0420768-.190391*ii, .160461-.205479*ii
-.696797+.785728*ii, .029316-.946283*ii, .757615-.678534*ii, -1.17056+1.86177*ii, .032708+1.05575*ii, -.242071-.384881*ii, .235543+.0389912*ii, .104281-.0476451*ii, -.263737-.810752*ii, -.645207+.576741*ii, -.48749+1.70688*ii, -.102408+.402803*ii
-1.88634-2.15675*ii, -.143208-.0141162*ii, 4.18788+7.46516*ii, -.796964-2.32091*ii, -6.91567+.681688*ii, .132344-.385414*ii, -.540444+.220796*ii, -.255783-1.63332*ii, 1.22508-.207901*ii, .712613+1.40891*ii, -.171091-.403978*ii, -4.34741+1.04435*ii
.134185+2.32349*ii, 2.88028+.63669*ii, .134181+2.32342*ii, -24.5225+5.42074*ii, .331014-.073171*ii, 11.3145-31.701*ii, 37.5875+11.0176*ii, -.0000290702+.00018029*ii, -.118487-.107889*ii, .620943-1.81917*ii, -17.019+18.6908*ii, -19.7102-9.62342*ii
-.449103-.110084*ii, 1.57817-2.7568*ii, -.496917-.0308563*ii, .483+.0782273*ii, .1564+.273206*ii, -2.0175+.326572*ii, .471009+.0377155*ii, -.171755-.250852*ii, -.930317-.554532*ii, .887243-.665528*ii, -1.57919+.581903*ii, -.691962-.174347*ii
-.378333+1.68522*ii, -1.3575+6.22438*ii, -.378323+1.68517*ii, 2.47828+11.3613*ii, -.0334478-.153364*ii, -.774914-2.56849*ii, 2.31082-.167077*ii, -.000265372-.000123582*ii, .0265239-.0436296*ii, -.99067+8.38036*ii, 6.88238+4.18561*ii, -1.35135-3.28677*ii
-1.34008+.54648*ii, 1.33796+.816556*ii, 1.41449-.472332*ii, 1.5176+.678725*ii, .544572-.332351*ii, -.549086+.24573*ii, .300765-.31468*ii, .0342242+.163537*ii, .0267751-.0383471*ii, 1.63915+.985167*ii, .121817+.0009692*ii, -.667881+.304352*ii
-.427718+1.71524*ii, -1.36796+6.22879*ii, -.427707+1.7152*ii, 2.49224+11.3461*ii, -.0336364-.153158*ii, -.802536-2.62016*ii, 2.41874-.127927*ii, -.000268639-.000133369*ii, -.0267414+.0434617*ii, -.95726+8.38167*ii, 6.85587+4.21986*ii, -1.41062-3.33932*ii
-14.3254-14.5465*ii, .703191+.078787*ii, 3.55084+8.60586*ii, -1.52021+.04124*ii, 1.40446-.157357*ii, .657279+.017826*ii, -4.57823-4.90822*ii, -4.6236-4.18542*ii, -6.16307-2.93098*ii, -6.98675+3.0403*ii, -6.342-3.7022*ii, -6.23088+3.3628*ii
-.727202+1.26118*ii, 8.87698+.94015*ii, .727183-1.26114*ii, 8.25268-.87407*ii, .111401-.0117984*ii, -4.20871-.167285*ii, 1.63578-2.59314*ii, -.000203312+.000279677*ii, .0301777+.00976199*ii, 7.30056+.020295*ii, 1.54025-4.76111*ii, -3.43795+.216911*ii
-2.31167-.605067*ii, -2.69846+2.74936*ii, 2.31242+.611019*ii, -.68514+3.61515*ii, -.181829-.185259*ii, .0526493+.267359*ii, .0200311-.324951*ii, -.0183765-.0140301*ii, -.22568+.002997*ii, -1.12697+2.77861*ii, 1.79178+2.6184*ii, .117149+.176804*ii
1.17628+.712965*ii, -.075703-.668817*ii, -1.65004+1.75308*ii, -.034439-.742272*ii, -.167097+1.47626*ii, .062374-1.34428*ii, .515898-.768389*ii, 1.26176-1.35345*ii, .22742+1.00138*ii, -.766959+.249447*ii, -.191622-.476437*ii, -1.59305+.24953*ii
-.305368+.157138*ii, -.861369+2.43439*ii, .0705574-.447522*ii, -.176447-.188101*ii, -.129175-.365074*ii, -2.65268+2.82781*ii, .182844-.640179*ii, .637529-.76995*ii, 1.32709+1.87452*ii, .700331-.957805*ii, 1.31072+.788098*ii, 1.54066-.894604*ii
-1.28164+1.34242*ii, -7.32244-3.67675*ii, -1.28161+1.34239*ii, -8.07981+4.05643*ii, -.109068+.0547651*ii, 1.63118+1.81709*ii, -2.26494-.069561*ii, .000381042-.000136344*ii, .0491501+.00964417*ii, -8.51747+.67890*ii, -1.51967+7.75586*ii, 2.43684+.738816*ii
-.231309-.381381*ii, -.394163+.926883*ii, -.475911+.59177*ii, -.072039-.509586*ii, -.388538-.913656*ii, -.271963+1.92388*ii, .398318-.170644*ii, .657067-.516746*ii, .787583+.729854*ii, .084746-.622462*ii, .296448+.471001*ii, -.152703-1.2022*ii
.438995-.164213*ii, .311668-1.17543*ii, -.316385+.781938*ii, .333355+.289306*ii, .21076+.794867*ii, 1.71104-1.48491*ii, .253648-.466421*ii, .879231-.453109*ii, -.455774-1.02615*ii, -.666171+.809346*ii, -.511836-.318009*ii, -1.87398+.549602*ii
-1.1535-1.87605*ii, -8.21354-2.72351*ii, 1.15347+1.876*ii, -8.12749+2.6934*ii, -.10969+.0363718*ii, .325753+1.65625*ii, 1.36572-1.26081*ii, .000116613+.000492957*ii, .0501883+.00981879*ii, -6.44032-1.45533*ii, -1.54187+7.91439*ii, .370942+1.2334*ii
-.059742+2.46481*ii, -3.61794+1.80445*ii, -.059741+2.46474*ii, -16.3977-8.17832*ii, -.221341-.110394*ii, 22.7574-9.63003*ii, 11.1883+28.334*ii, -.000112559-.000240078*ii, .0222386+.110556*ii, .515076+2.48829*ii, -17.4398+3.50804*ii, -2.19467-15.3753*ii
-.272902+.99603*ii, .573053+.310535*ii, .131862-.984044*ii, -1.41493+2.60228*ii, 1.34893-.730977*ii, -.161215-.296592*ii, .169705-.0398173*ii, -.0849224-.0306181*ii, .81434-.76425*ii, -.691784+1.14902*ii, -.513685+2.09405*ii, .624714-.303736*ii
.109176+.213397*ii, .516723-.434956*ii, .0785694-.47696*ii, .04541+.749109*ii, 1.13269+.953455*ii, -.080610+1.33001*ii, -.14631+.0640015*ii, .107392-.296174*ii, .348931-.501716*ii, -.149493+.120011*ii, -.306127+.0470571*ii, .0316502-.376864*ii
-2.36579-.093251*ii, -1.35651+2.93807*ii, 2.36002+.105695*ii, -.424845+2.83409*ii, -.129532-.280554*ii, .0526943+.344484*ii, -.0462701-.409945*ii, -.0286023-.0338912*ii, .239191+.0789469*ii, -.457155+2.30702*ii, 1.44069+1.84936*ii, .0959871+.234376*ii
1.23348-.027282*ii, -.84547+.079268*ii, 2.35977-.026131*ii, .056481-.719973*ii, -1.17247-.109926*ii, -.108295-1.38044*ii, -.085620-.849897*ii, 1.38783-.118544*ii, .725711-.794448*ii, 1.36068+.098716*ii, .493812+.437511*ii, -.194659+2.21604*ii
-69.6652+120.418*ii, -.510624+.835732*ii, 69.6633-120.415*ii, -39.4384-64.5482*ii, -.532352-.871294*ii, 2.91511+3.03839*ii, -284.48+69.6814*ii, -.00173074-.00318432*ii, .294727-.384552*ii, -14.707+61.3348*ii, -60.6611-46.4917*ii, 238.883+128.333*ii
-.360283+1.20776*ii, -.556788-1.35699*ii, -.132672-.52628*ii, .209961-.676579*ii, -.258797+.630736*ii, .418345+1.34811*ii, -.889459+.009779*ii, .853385+.066254*ii, -.272701+.272045*ii, -.29783-.457113*ii, -.25726+.306597*ii, .246627+.463497*ii
-3.99986-.024953*ii, -1.50968+.182541*ii, 4.46012-.480696*ii, -.589604+.920288*ii, -.652848-.078938*ii, -.493532-.770473*ii, .977417+1.54705*ii, -.583116+.934102*ii, -1.76097-.008156*ii, 1.73934+1.42272*ii, -1.28277+2.62962*ii, -.316424+1.31453*ii
.588278+.742994*ii, .255425-1.49323*ii, .315683+.526418*ii, -.067879-.846452*ii, .111297+.650649*ii, -.094114+1.17376*ii, -.463731+.310285*ii, .337441-.272379*ii, .675492-.068808*ii, .335575-.280113*ii, -.873424+.010557*ii, -.240355+.240147*ii
.494845+2.16594*ii, -1.01698-5.70062*ii, .494832+2.16588*ii, -2.24687+12.5948*ii, -.0303292+.170009*ii, -13.7149-8.20308*ii, 5.49033-16.8824*ii, .000315054-.000133628*ii, -.0761856+.030349*ii, -4.22524+.900818*ii, 4.78735+12.0179*ii, -5.77376+10.4316*ii
-.282863+.903954*ii, .692093+.167952*ii, -.377415+.894597*ii, 2.52791+1.82398*ii, 1.36454-.331136*ii, -.260115+.187756*ii, -.0480729-.144121*ii, .06342+.0257207*ii, -.23576+.240903*ii, .743441+2.45991*ii, .746429+.050431*ii, -1.05976-.465669*ii
-.947365+.1876*ii, -.860069+.092835*ii, .191176-1.61468*ii, .596872-.07563*ii, -1.14931-.124055*ii, 1.64888+.208937*ii, -.800643+.055695*ii, 1.52125+.251936*ii, -1.14225-.681128*ii, -.237245-.104398*ii, .660317+.207247*ii, .397023+.300635*ii
-3.79654+3.60902*ii, 7.71119+5.2417*ii, 3.79643-3.60892*ii, 6.57057-4.46703*ii, .0886977-.0602924*ii, 3.04099-.158235*ii, -5.48708+5.78786*ii, -.00128223+.000210341*ii, .0524735-.00877654*ii, 7.452+4.09014*ii, -1.38194-8.27862*ii, 2.74625-.406696*ii
.352844+1.38546*ii, 7.0485+.415705*ii, .352835+1.38542*ii, 10.4738-.61806*ii, .141382-.0083384*ii, -2.86738+1.26872*ii, -1.38475-1.76249*ii, .0000507854+.000263718*ii, .0375385+.0183303*ii, 6.52712+2.76933*ii, 2.89268-5.92171*ii, -3.13998+.233478*ii
-2.78389-1.8878*ii, -.0324+.537332*ii, 2.58288+2.65596*ii, 1.9721-1.76169*ii, -.111811-1.85431*ii, -.28204-.25191*ii, .154806+.616864*ii, -.407444-.183334*ii, -.956878+.59751*ii, 2.49576+1.58658*ii, -1.51148-.541379*ii, -1.96157+.684458*ii
.103993+.0010181*ii, .305869+.480248*ii, -.150578-.473934*ii, .276338-.232186*ii, .943475-1.48136*ii, 2.12118+1.78226*ii, .109387+.0937514*ii, .644651+.275357*ii, .972162-.583815*ii, -.0119833-.21815*ii, -.226555+.0544615*ii, -.374273-.995028*ii
-1.32957+3.53858*ii, 2.42622+.887605*ii, 1.61405-3.24801*ii, .828117+.160302*ii, .363512-.132987*ii, 1.16379-.225471*ii, -.374744+2.20897*ii, .375798+.956783*ii, .291777-.180892*ii, 2.48972+1.01945*ii, -.748107+.009412*ii, 1.21996-.188682*ii
-.4433+3.23303*ii, 2.78445-.581079*ii, .561513-2.98651*ii, -.772946-.407597*ii, .34415+.0718198*ii, 1.01198-.533806*ii, .638602+1.7542*ii, .441636+.607035*ii, .669419-.414429*ii, 1.65918-.530396*ii, -1.88449+.530559*ii, .582565-.389274*ii
