variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
1.00003*c^2*F0^2-1.0003*c^2*F^2-1.00008*F0^2*v^2
points:
9.68829-6.73012*ii, 7.03385+3.13849*ii, -.0872029+.0447627*ii, .551261-.85937*ii, -1.76638-2.04298*ii, -9.07603-4.65888*ii, -2.47578-8.4625*ii, 2.60984+1.58806*ii
-2.49114+2.6762*ii, -2.19979-.213814*ii, -5.58974-.95764*ii, 2.06038-1.3611*ii, -.113743-.0850736*ii, -.173798+.0297753*ii, 1.04957+3.08087*ii, 2.32417+1.22175*ii
-3.68283-4.42022*ii, -7.88527-.622235*ii, 3.18083+2.08846*ii, 1.37584-7.05878*ii, 4.58375-3.89134*ii, .21968-.144237*ii, -.220215+.128466*ii, -.741729+1.92893*ii
-1.46446+.555667*ii, 2.40549-4.6245*ii, -.0523137-.300296*ii, 3.68556-.616662*ii, -1.00677-.46082*ii, -.563029+3.23196*ii, -1.72702-3.28517*ii, .747877+1.08087*ii
-.428919+2.40818*ii, -5.75881-8.2091*ii, 1.35401-.553548*ii, 4.78076-.059717*ii, 3.56534+.868708*ii, .632787+.258697*ii, .643724+.284794*ii, -.634216+.855432*ii
7.30248+2.61663*ii, -7.84918-9.46977*ii, -10.1866+5.15477*ii, .11185-12.0015*ii, 1.44521-4.35607*ii, -.0781552-.0395494*ii, .0801172+.0496798*ii, 1.58485+1.62479*ii
-1.25403+1.52979*ii, 2.71752-.643104*ii, .407315-1.76319*ii, -3.16352-2.5906*ii, -.0905219-.205655*ii, .124381+.538422*ii, 7.13266-3.58416*ii, -1.97432-2.58545*ii
-.691091-3.32541*ii, -1.78804-2.38104*ii, -.43459-2.08661*ii, 1.08782+.263262*ii, 2.025-.897524*ii, -.0956655+.459322*ii, .347019-.417739*ii, -1.08747+2.09688*ii
11.0142+5.72499*ii, -2.36115-3.70468*ii, -4.52273+.032599*ii, 2.30723+3.62599*ii, -5.65862-2.6324*ii, -.221094-.0015936*ii, .199186-.0841785*ii, 3.00802+4.60048*ii
-.0324744-.466954*ii, .302725+.928222*ii, -.993751+.197915*ii, .484086+.109124*ii, .114627+1.68845*ii, -.967897-.192766*ii, -.875571+.139637*ii, -.532811+1.25973*ii
.710651+.991651*ii, -1.57811+.805264*ii, -.470268+1.06646*ii, .798701+.419878*ii, -.387822-.427178*ii, -.346172-.785036*ii, -.625359+1.71013*ii, 1.22243+.170758*ii
2.55759+1.28243*ii, .906549-.865911*ii, -.669326-.221567*ii, -3.75905-6.50995*ii, -2.02363+1.99364*ii, -1.34649+.445729*ii, -4.23604-3.88423*ii, -3.55789+11.1481*ii
.417882-1.06188*ii, -1.49684+1.16717*ii, -.410854+.814603*ii, -.413616+.195988*ii, .301226+1.16216*ii, -.49359-.978644*ii, -.13034+.912448*ii, .693676+.984073*ii
-.394395-1.25224*ii, 1.99995+.533848*ii, 1.52545+.395366*ii, -1.07581+3.9253*ii, -2.62361+.214553*ii, .614282-.15921*ii, -1.1066+.178121*ii, .215872-3.85043*ii
.435969-.732061*ii, .785577-.199512*ii, .503561-.597155*ii, -.532411+.542592*ii, .570803+.895828*ii, .825283+.978674*ii, .119105+1.7467*ii, 1.358+.477537*ii
-1.86797+1.54091*ii, 1.55603+.126444*ii, -.110712+2.7509*ii, -2.11408+.440687*ii, -.719779+1.21675*ii, -.0146063-.36293*ii, .144777+.804946*ii, 2.68143+1.01974*ii
.628102+1.6213*ii, -.391601+.0774402*ii, -.807664-.665406*ii, .61648+1.66297*ii, .614948+.045081*ii, -.737535+.607629*ii, -2.58318+1.8408*ii, -.292062+1.93094*ii
-.428687-.622612*ii, -1.65727+1.88995*ii, -.29153+2.64408*ii, .206288+1.28475*ii, -.524056-.257697*ii, -.0411988-.37366*ii, -.123592+.680475*ii, .70972-.620668*ii
.597909+2.51007*ii, -.368053+1.32569*ii, -.488699-1.23876*ii, .543754+2.63389*ii, -.248674-.607242*ii, -.275581+.698543*ii, -.816572+1.35172*ii, 1.20822-.212215*ii
-2.9788-1.53841*ii, -3.34201-.493218*ii, -3.87804-.858453*ii, -.488104-5.7353*ii, .161348+.0842608*ii, -.245817+.0544145*ii, -3.58209+3.68188*ii, -.374758-3.69359*ii
.136622+1.12671*ii, .185728+.7234*ii, .547699+.238303*ii, .143687+1.12968*ii, .28738-.114188*ii, 1.53519-.667961*ii, -.43842-.822235*ii, .326012-.136676*ii
-.557751-3.26958*ii, -1.32048+1.9445*ii, .867298-.587072*ii, -.166779-.259412*ii, -.128226+.68101*ii, .79071+.53523*ii, -1.45872-3.63545*ii, 1.94333+2.03492*ii
-1.79088-.540748*ii, .075566+1.64286*ii, .405426+2.77156*ii, .518687+.068921*ii, -.175816-.0382614*ii, .0516736-.353249*ii, -4.15539-1.21509*ii, 2.05469+.756041*ii
-1.51075-11.5496*ii, -.728129+5.44484*ii, .256503+.290848*ii, .694591-.476258*ii, .083806+3.03187*ii, 1.70563-1.934*ii, -2.67205-.778826*ii, -1.11288-4.09893*ii
-.208878+1.02943*ii, 1.39035+1.40838*ii, .541233+.247303*ii, -.641834+1.37331*ii, .345209+1.28099*ii, 1.52851-.698415*ii, .607757-.569669*ii, -.205237-1.18202*ii
.233967+.956896*ii, 2.07915-2.16393*ii, 2.15173+4.13146*ii, 1.29431-2.19947*ii, .0804881+.0304507*ii, .099163-.190399*ii, 4.25081-.178322*ii, -1.68517+.270749*ii
.792082+.273845*ii, 2.14305-1.32883*ii, -.0823924+.337839*ii, -.651485-.228388*ii, 1.57217-2.20309*ii, -.681358-2.79382*ii, .689036+2.76653*ii, -.290227+.240508*ii
-1.3798-.379203*ii, -.50229+.858707*ii, -1.77613+1.31986*ii, -.492032+2.87393*ii, -.833386-1.44721*ii, -.362722-.269543*ii, -1.25329-1.31636*ii, -6.14519+2.1781*ii
1.01432+.384991*ii, -.893826-2.08373*ii, -.177914+.0644768*ii, 2.20201-3.13206*ii, 1.76133+2.82377*ii, -4.96818-1.80049*ii, .361006-1.68766*ii, -1.88848-2.94122*ii
2.16911-2.05029*ii, .381036-2.4272*ii, -2.10931-2.02485*ii, -1.01805-3.30467*ii, -1.00592+.470201*ii, -.246726+.236847*ii, .870555+.561742*ii, 2.81158-2.1275*ii
2.3863-.375188*ii, -3.25855+.731068*ii, -.429505-2.2614*ii, .044955-.980975*ii, .622094+.549319*ii, -.0810631+.426808*ii, .271097+.81714*ii, .144128-1.54725*ii
1.22442+.259634*ii, .485417-.913387*ii, .52286-.192305*ii, -.482954-.242268*ii, 2.00034-.686648*ii, 1.68467+.619612*ii, -.180925+.548336*ii, 2.09876-.727861*ii
.588808+2.14113*ii, 2.18918-.344201*ii, -.270059-.140267*ii, 2.15524-1.42331*ii, 3.99114-.576581*ii, -2.91619+1.51465*ii, -2.21107+.711399*ii, 2.87002-.870506*ii
.869263+1.20374*ii, -1.35416+1.02215*ii, 2.03566+.840118*ii, -.86032-.750915*ii, -.247915-.856054*ii, .419749-.17323*ii, .741278-.004883*ii, -1.23366-.347428*ii
-1.61443+.373187*ii, 1.31708-.984295*ii, -.711574+.48797*ii, .670892-.738997*ii, 3.18649+.771566*ii, -.955835-.655475*ii, 1.0113+.839614*ii, -1.10189+1.60973*ii
1.38923+.186362*ii, -1.73992-.755851*ii, -.265732-1.52109*ii, 1.33279+.22477*ii, .76053+1.22542*ii, -.11145+.637955*ii, -.111021+.604504*ii, .270609+.368342*ii
-3.42943+2.52682*ii, .387572-1.05113*ii, 4.39646+2.17539*ii, -2.06262+4.76438*ii, 5.07506-4.82623*ii, .18272-.0904106*ii, .0764611-.212739*ii, 8.33158-2.61972*ii
-.174981-1.50392*ii, -.107523+1.38837*ii, -.500001+.744703*ii, -.19083-1.62021*ii, -.27529+.243133*ii, -.621441-.925576*ii, 2.54443+.030563*ii, .854664-.176187*ii
.128903-.533614*ii, -1.32005-1.17883*ii, .492641-.432078*ii, -.0417138-.312616*ii, .910798-.257007*ii, 1.14731+1.00627*ii, -.905398-.856081*ii, -.517566+.188272*ii
.733879-2.24525*ii, -2.12897+3.9498*ii, -.875569+3.42107*ii, -1.7304+2.43968*ii, -2.8368+.859724*ii, -.0702121-.274336*ii, -.0865174-.268732*ii, .936315+.437156*ii
-1.28213+.13659*ii, .655827-.193322*ii, -2.48208+1.72984*ii, 1.27308-.169246*ii, .0906169+.432935*ii, -.271175-.18899*ii, .681383+.148761*ii, .664299-.552154*ii
-.494001+.584237*ii, -1.50664-.537057*ii, 1.14087+.50381*ii, .425259-.800153*ii, .320333-.0641977*ii, .733484-.323908*ii, 1.86811-.835679*ii, -.155031-.751468*ii
-.118432+.664205*ii, -.87324-.489656*ii, -.828352-.223578*ii, -.039883+.829838*ii, -.455166-.355466*ii, -1.12524+.303711*ii, -.100608+1.81678*ii, .658954+.81541*ii
-.09461+2.07432*ii, -1.15797-2.51896*ii, -.44867-1.08355*ii, -.193701-2.06189*ii, -.310878+.0445899*ii, -.326217+.787818*ii, 1.97763+.205646*ii, .729669-.298245*ii
.990595+.978679*ii, 3.25891+1.90941*ii, .447283+.65363*ii, -1.91037-.103503*ii, .11811-1.60237*ii, .713035-1.04198*ii, .503329-1.20601*ii, .781098-.701473*ii
-.499625-2.72448*ii, -6.75976-4.12608*ii, 6.01595+4.94464*ii, 1.13595-.702253*ii, .041208+2.72528*ii, .0992057-.0815394*ii, -.0961308+.0854723*ii, -.531772+.543455*ii
2.44591-.016994*ii, 3.26203-.476624*ii, -.222605+.0186374*ii, -2.58856+1.20567*ii, -.726258+1.09826*ii, -4.46098-.373492*ii, 2.71654-2.66357*ii, -1.15588+.973028*ii
-.059464-.641145*ii, -.025332-.9551*ii, 1.03242+.366029*ii, .042143-.590813*ii, .0337603-.397544*ii, .860448-.30506*ii, 1.54769+.802217*ii, -.39954-.672705*ii
-.496574+.69678*ii, -1.86259-1.56345*ii, -.0904019+.233386*ii, 1.46233+4.47618*ii, -2.17233-.29131*ii, -1.44317-3.72575*ii, 6.30397+1.15788*ii, 3.33648+2.00503*ii
-1.38651-.99041*ii, 1.60808-1.6083*ii, 3.94629+3.2232*ii, -.344581-3.06356*ii, -3.45811+3.72372*ii, .152001-.124149*ii, -.123807+.107431*ii, -2.04959+1.92576*ii
.764518+1.00382*ii, -.334229+1.82784*ii, -.16926+.797916*ii, -1.01786-.567729*ii, -1.64031+.400887*ii, -.254404-1.1993*ii, .357987+1.44774*ii, .394948+1.11014*ii
1.48067+5.50849*ii, 2.03107+.38104*ii, 2.38649+1.56592*ii, 2.53993-1.61074*ii, -.0318695-.317811*ii, .292912-.192197*ii, 3.6906-5.64557*ii, 5.35626-3.01053*ii
-1.86508+12.1369*ii, -5.37107-.121636*ii, -.176619-.126314*ii, 1.5916-4.16168*ii, -4.93937+1.04288*ii, -3.74594+2.679*ii, 1.84719-2.99479*ii, -4.27147-.424218*ii
-.085898-.70178*ii, -1.51922-.220618*ii, -.615605+.470893*ii, 1.57414+.326393*ii, -2.4661+.771082*ii, -1.0248-.783895*ii, -.964359-.217518*ii, 2.2553+.021467*ii
.531347-.718648*ii, 1.79113-2.66769*ii, .330664-.0524406*ii, -2.99581-1.35915*ii, .335456+1.96955*ii, 2.95002+.467848*ii, .328868-1.01277*ii, -.318758-2.09172*ii
-.882494-.926428*ii, 1.34073-2.25794*ii, -2.24439-1.41935*ii, 1.33426-.253163*ii, -.470085-1.08834*ii, -.318271+.201274*ii, -.417271-.0003151*ii, 1.0899+.713863*ii
-.545082-5.61406*ii, -1.9766-2.06945*ii, -.140267-.0868106*ii, .973147+4.51348*ii, 1.85442-1.78561*ii, -5.15481+3.19029*ii, 1.4351-2.04524*ii, 1.8631-1.56061*ii
-15.5775+6.4482*ii, -.562097-3.33778*ii, 8.72721+11.7161*ii, -30.0108-3.51083*ii, 21.5538-8.37295*ii, .0408902-.0548941*ii, -.0557945+.0455834*ii, 7.0728-15.1547*ii

