variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
dt0*c-2*d
dt*F-1
.99*c^2*F0^2-.98*c^2*F^2-1.01*F0^2*v^2
points:
2.7824+4.3966*ii, -.059939-.595564*ii, -3.37533+.392846*ii, 1.93404+.553977*ii, -1.32748-2.75964*ii, .862903-1.4128*ii, -.167293+1.66224*ii, .330767-2.8083*ii
-.061806-.653814*ii, -.111478-1.56024*ii, .926722-2.44011*ii, -2.13205+.740134*ii, .451522-.22214*ii, .379102+3.16411*ii, -.045561+.637672*ii, .437038-.219207*ii
1.04271+.707808*ii, -.206702+.754987*ii, 3.31142-.259071*ii, .865569-.979758*ii, .59269+.473865*ii, -2.40698-.631589*ii, -.337345-1.23217*ii, .67656+.439186*ii
-.931369+.762395*ii, -.149282-3.43801*ii, 2.47996+1.00019*ii, -2.01931+.363738*ii, -.432752+.78938*ii, -.013958-.139482*ii, -.012606+.290319*ii, 1.25269+1.02833*ii
2.41247-.510301*ii, 2.14489+1.09062*ii, -1.68127+1.84212*ii, 1.58982-1.86237*ii, -1.60643-1.15307*ii, .23345-.343128*ii, .370447-.188363*ii, -1.91061-.176295*ii
-5.20006+4.45301*ii, -5.42119-6.15749*ii, -.881506-3.41103*ii, -9.3902+5.14483*ii, -1.70888-3.49059*ii, 4.42756+7.08132*ii, -.0805479+.0914878*ii, -1.69223-3.45606*ii
-.195553+.556392*ii, -.330238-.48238*ii, 1.53715-1.72592*ii, -.394348-.459933*ii, -.472096+.193854*ii, 1.53992+.132183*ii, -.966321+1.41151*ii, .69784-.073648*ii
-.450576+1.13619*ii, -.023597+1.6729*ii, -.838971-.513759*ii, 3.03527+2.55778*ii, -.425092-2.44821*ii, -.127381+.679783*ii, -.00843-.597646*ii, .311657-1.58062*ii
-.233417-.58151*ii, .898366+.50747*ii, -.411198-1.64234*ii, -.676692+.017145*ii, .733348-.100639*ii, -.241512+.667827*ii, .843863-.476682*ii, -.762328+.686767*ii
.120587+.10097*ii, 2.53351-.852875*ii, -.172095-.0412589*ii, 1.58497-.796949*ii, -1.59127-.791926*ii, .253223+.0482907*ii, .354532+.119349*ii, 1.24022-1.42592*ii
-.687966+.28317*ii, -.182992-.19962*ii, 1.32923+1.25966*ii, .675033+.567407*ii, -.332637+.741293*ii, -1.65627+1.34082*ii, -2.49532+2.72206*ii, 1.12494+.229814*ii
-.73895+1.50376*ii, -.66467-1.4913*ii, -1.07946+1.48024*ii, -.045660+1.49492*ii, 1.80171-.315479*ii, -1.79623-.807072*ii, -.249335+.559427*ii, -1.86715+.327445*ii
1.04827-1.87048*ii, .461708+.643207*ii, -.367181-2.71773*ii, 2.6951-3.39665*ii, 1.24947+.94024*ii, -.900479+.184632*ii, .736505-1.02603*ii, .770138+2.07792*ii
-.00050151+.0399156*ii, .037159+1.79742*ii, .154813+.0019581*ii, .723016-1.018*ii, .000043+.515661*ii, -.0844509-.232494*ii, .011497-.556116*ii, -.956605-.458835*ii
.746459-.12044*ii, 1.11248-.062117*ii, 1.94306-.534332*ii, .024244-.778798*ii, .746009+.08118*ii, -.800453-.823738*ii, .896101+.050035*ii, -.728503-.300249*ii
-.941846-.287858*ii, -3.09853+2.34607*ii, 1.46504+.515208*ii, .703368+1.82275*ii, -1.26723+.052677*ii, -.082204-1.45191*ii, -.205134-.155318*ii, -1.25869+.033152*ii
-4.19931+2.6475*ii, -1.07141-1.08577*ii, -1.71719-2.3142*ii, -1.95545+13.7529*ii, .261109-3.43542*ii, -1.20217-7.00623*ii, -.460463+.466632*ii, -.245319+3.40688*ii
.355076-.621426*ii, .051481+6.33228*ii, -7.07259+6.52142*ii, .780114-.742307*ii, -.141844+.0449375*ii, .00031194-.00359579*ii, .0012838-.157911*ii, -2.40919-5.94107*ii
-.999949+1.68882*ii, .583581-.700031*ii, .79642+1.3293*ii, 2.08861+3.1286*ii, 1.20647+2.2273*ii, .51846-2.45071*ii, .702594+.842792*ii, 1.02696+2.3698*ii
-.87551+10.9647*ii, .143721+.0097388*ii, 5.8555-2.54497*ii, 10.5906-4.64257*ii, -1.62062+3.04072*ii, -2.35877+5.16317*ii, 6.9261-.469324*ii, .950871-4.96186*ii
3.17611+.708878*ii, -2.2282-4.58037*ii, -.311698+.398891*ii, -11.307+6.579*ii, -5.51936-11.6118*ii, -.0861988+.176198*ii, -.0858829+.176544*ii, -.247937-1.21279*ii
2.30804-1.4451*ii, .085479-.570451*ii, 2.72454-.515461*ii, .347378+1.7734*ii, 1.82947-.714681*ii, -2.74313+.525091*ii, .256909+1.7145*ii, -2.13729+.807581*ii
-.15079+.254072*ii, .27351+.648622*ii, -.843416+.236303*ii, 1.1981-.663742*ii, .488059-.465741*ii, -2.32266-1.57544*ii, .551968-1.30898*ii, .517043-.533813*ii
1.79447+.599364*ii, .644672-.201128*ii, 1.72915-.123239*ii, 1.12766-3.714*ii, 2.01589+.836921*ii, 1.59119+.286017*ii, 1.41359+.441017*ii, 1.14928-.012838*ii
.639955-1.8408*ii, -.842566+1.36602*ii, -1.36868+2.47777*ii, -1.15807+2.10314*ii, -1.3571+.233084*ii, .0072133+.220039*ii, -.327092-.530302*ii, 2.53423+2.73214*ii
1.26899+.851103*ii, -.229103-.718073*ii, 2.30769+.998363*ii, -1.88932-.914119*ii, 1.19521+.220547*ii, -1.53427+.33274*ii, -.403268+1.26395*ii, 1.35443+.56375*ii
4.06886+2.23521*ii, -4.87674+1.39252*ii, -2.91085+1.89356*ii, -1.05182+.427345*ii, -1.26239-2.35698*ii, -1.73866-2.35429*ii, -.189596-.0541381*ii, -1.24405-2.33491*ii
-7.62525-6.86802*ii, 3.3007+.004155*ii, -3.11701+2.86992*ii, -1.94703-.805813*ii, .45201+4.82298*ii, -5.52519-5.03023*ii, .302965-.0003813*ii, .443609+4.775*ii
.682297-.871187*ii, -.26759-8.50675*ii, .0162562+.398127*ii, -4.46983+6.13486*ii, -4.22942-3.60022*ii, -4.15578+2.18336*ii, -.0036941+.117438*ii, -4.18705-3.56608*ii
.256961-.0982453*ii, -.376726+.848193*ii, -.945725+.336406*ii, -.314069-.0861504*ii, -.547983+.012843*ii, 1.67456+1.39855*ii, -.437365-.98472*ii, -.502741+.067639*ii
-.870841-2.23153*ii, -.333078-1.28603*ii, -.23975+1.5626*ii, -.183823+.207691*ii, -2.6234+1.51711*ii, .498718-.558337*ii, -.188732+.728704*ii, 2.871+.067938*ii
-238.351+231.879*ii, .00370473-.00437469*ii, -24.151-32.0843*ii, 14.253+93.2437*ii, -2.08755-16.4291*ii, 70.2323+15.3354*ii, 112.733+133.119*ii, -31.8882-22.4107*ii
1.95806+1.46762*ii, -1.13383-1.7446*ii, 1.61931+.033720*ii, 2.62744+.855749*ii, 2.45508+1.76153*ii, .263267-.407826*ii, -.261903+.402984*ii, -.45057-.259661*ii
.941479-1.61882*ii, 4.60137+2.5016*ii, -1.0093-.139381*ii, -1.06631-4.21601*ii, -1.396+3.40058*ii, .106778-.0960348*ii, .167746-.0911973*ii, -2.32022-2.73102*ii
-.47634-1.12309*ii, 1.19877-.423043*ii, 2.75901-1.08802*ii, -.129028-.082377*ii, -.020981-.822402*ii, -1.14887+.170763*ii, .741805+.26178*ii, .190507+.718997*ii
-2.0002+.907762*ii, -.298115-.204444*ii, -4.87172-2.78629*ii, 1.39119-1.00863*ii, .458146-.634694*ii, -.183903-1.47119*ii, -2.28143+1.56458*ii, .386136-1.52232*ii
4.53246-7.76804*ii, -.0765275-.0182238*ii, .862935+7.05767*ii, -.640607-.507367*ii, -2.01415-1.53067*ii, 1.04239-2.70688*ii, -12.366+2.94474*ii, 11.0007+.79945*ii
.409487-.54166*ii, .182293+.0016578*ii, -1.60918+2.3245*ii, 6.41486-2.60248*ii, -.47994-.0200736*ii, .225475-1.40451*ii, 5.48521-.049882*ii, 1.86982-.217749*ii
-.078028+.737659*ii, -1.27649-.734786*ii, 1.20603+1.15818*ii, -.704711-2.15045*ii, .543826+.701034*ii, .099219+.953527*ii, -.588423+.338713*ii, .737156+.723433*ii
4.43323-2.95622*ii, 3.44369+.711768*ii, 3.22789+1.40132*ii, -.062308+4.70016*ii, 1.64215-2.54458*ii, 1.27226-4.33091*ii, .278489-.0575603*ii, -1.62349+2.52467*ii
-1.35243+1.21693*ii, .678201-1.40514*ii, -.618475+1.32359*ii, 1.17333-.52317*ii, 2.29307+.972099*ii, .557059+.357177*ii, .278594+.577208*ii, 2.47223-.195394*ii
-1.97758-1.90666*ii, .071468+.1373*ii, 1.43758+1.19171*ii, 1.17554+1.04254*ii, -2.93398-.220426*ii, 4.10911-.621169*ii, 2.98294-5.73064*ii, 4.23796+2.51362*ii
.115444-.238349*ii, -.933217-.028209*ii, -.264238+.497246*ii, .310225+1.19473*ii, -.939985+.035176*ii, -1.3876-1.22489*ii, -1.07058+.032362*ii, -.939166-.118541*ii
.1196-.197186*ii, -.39127-.198897*ii, -.439726-2.0391*ii, 2.69991-1.49838*ii, .160638+.151948*ii, .729271-2.10697*ii, -2.03097+1.03241*ii, .244596+.0885318*ii
-.319302+.948906*ii, -.460714+.120062*ii, 2.48679-1.6044*ii, 2.50863-3.10603*ii, -.52898+.421877*ii, -2.24306+1.14454*ii, -2.03251-.529674*ii, .391641-.600685*ii
-.885151-.587801*ii, .642665+3.77275*ii, -.51816-.070019*ii, 4.22083+.537067*ii, 3.65633+1.77472*ii, .0436849-.256297*ii, .0438779-.257584*ii, .040591+.0504104*ii
-.318914+.688621*ii, .858009-.053946*ii, .465885+.700707*ii, 2.89407-1.11035*ii, .943293+1.53744*ii, .580311-1.66185*ii, 1.1609+.072989*ii, -1.24207-1.69781*ii
-10.0233+3.88946*ii, .125026-.0930917*ii, -5.712+4.26322*ii, .010366-7.38104*ii, 2.90677+.807644*ii, -.16845-11.8462*ii, 5.14562+3.83131*ii, 2.90183+1.22184*ii
.831201+1.50627*ii, -.164492-4.09575*ii, .508371+.886491*ii, -1.60194-2.14358*ii, 3.36654+.055327*ii, .112072-.168714*ii, -.0097899+.243763*ii, -2.9964-2.38329*ii
-.82972+2.42588*ii, .805595+1.31379*ii, 1.26038-3.09198*ii, -2.4194+.140948*ii, -1.53317+.088271*ii, -.135805-.321444*ii, .339195-.553169*ii, 2.5403-1.57418*ii
.337799-1.78433*ii, 8.85471+2.40698*ii, -1.03236+.56119*ii, -3.85117+4.38724*ii, -1.95564+2.39371*ii, .0183025+.0397059*ii, .105164-.0285867*ii, 6.01032-5.51329*ii
1.81253+.61081*ii, .601597+.341756*ii, 1.03729-1.41207*ii, -1.41483-.14388*ii, .662955+2.08019*ii, -1.29801+1.01578*ii, 1.25669-.713901*ii, -.774407-1.01835*ii
-1.5563+.461595*ii, -1.30574-1.74631*ii, .865231-.384772*ii, -1.62776+2.25998*ii, -3.39961-.444834*ii, 3.02417+1.15414*ii, -.274629+.367292*ii, 3.39185+.461588*ii
-1.74636-1.55415*ii, .0230121+.14919*ii, 3.69565-.308922*ii, 1.58601-.867414*ii, -.868713-.913684*ii, 2.06612+1.31965*ii, 1.00987-6.54711*ii, -3.1787-1.50367*ii
-.63482-2.68488*ii, -.093369-.0963869*ii, -.433588+.280446*ii, -3.68806-3.14647*ii, -3.58311+10.0669*ii, 5.27577-5.33784*ii, -5.1848+5.35239*ii, 1.17798-1.45155*ii
30.6832+3.79365*ii, 33.082+12.1522*ii, -1.9178-13.5285*ii, -7.46334+3.25045*ii, -1.18016+4.36879*ii, .00116701-.00485065*ii, .026634-.00978359*ii, -7.78306-24.2925*ii
-.077979+2.55464*ii, -1.78912+5.70067*ii, 1.41608+.701648*ii, 4.47404+2.98956*ii, 1.34693+2.94066*ii, -.0865074+.11687*ii, -.0501174-.159689*ii, -.288708-4.37829*ii
-2.40634+.29431*ii, -.676845-1.32626*ii, 1.42111-.010177*ii, .263331-1.70117*ii, -3.38935+.389923*ii, -.265039+.565985*ii, -.305288+.598201*ii, -.185566+1.3403*ii
.113837-.640641*ii, -.481291-4.92131*ii, 1.33519+.421066*ii, -1.66209+2.81082*ii, -.12016-.921733*ii, -.0179583-.0617365*ii, -.019684+.201273*ii, -2.66047-.790678*ii
-.422434-5.04768*ii, .0387281-.0862954*ii, -1.80496+2.46337*ii, -4.83159+2.01736*ii, -2.50305+2.17701*ii, -6.68827-2.49663*ii, 4.32872+9.64544*ii, 1.45816-4.87635*ii
-15.428+20.258*ii, 16.7453+22.6284*ii, 12.0348-8.70585*ii, -13.898+14.2128*ii, -3.28186+.992506*ii, 5.67231+7.36518*ii, .021131-.028555*ii, 3.24922-.982648*ii
.225256+.724751*ii, -.869877-1.48903*ii, 1.1463-.616113*ii, .265688+.486631*ii, -.222385+1.14498*ii, -.405825-1.07775*ii, -.292504+.5007*ii, -.09243+1.19643*ii
-.080597+1.22547*ii, -3.40047+3.52802*ii, -3.6053+2.28307*ii, -1.37313+1.21465*ii, .339189-.465025*ii, -.0167028+.0451029*ii, -.141626-.146939*ii, -2.13376+1.20101*ii
-1.27678+7.17117*ii, 1.69915-7.19162*ii, 5.07342-9.03373*ii, -6.51263+1.55387*ii, -1.32765+.462948*ii, -.116817-4.77061*ii, .0311163+.131699*ii, -1.31403+.457963*ii
.0828315-.385866*ii, -1.56245+1.66935*ii, .29655-.0455045*ii, -1.69892+5.79093*ii, .93592-2.45875*ii, -1.50553-4.01934*ii, -.298864-.319311*ii, .932149-2.42208*ii
.253136-.35075*ii, .807451+.057986*ii, .557382+2.32206*ii, .364738+1.38266*ii, -.236161-.274714*ii, .265743-.196885*ii, 1.23211-.088483*ii, -1.30568+.144683*ii
-.928141+.955781*ii, .085957-.770151*ii, -2.36765+1.56718*ii, .587735-.18855*ii, .916763-.200549*ii, -.41422-.0075351*ii, .143138+1.28247*ii, -2.85564+.986458*ii
4.452+.733524*ii, .347623+.470375*ii, -1.18673+.350744*ii, -4.50472-1.26574*ii, -6.5642-3.17629*ii, .929191-1.32397*ii, 1.01616-1.37499*ii, 1.57667-1.91251*ii
1.33622+.19823*ii, -.13703+.243212*ii, 1.92767-.254327*ii, 1.4968-2.04476*ii, 1.33596+.381929*ii, 1.48851-1.03918*ii, -1.75839-3.12094*ii, -2.83761-1.05206*ii
2.02599-1.67644*ii, .128326-.0447245*ii, 1.14639+3.41359*ii, -2.05398+2.93269*ii, -.52443-1.36313*ii, -.486006+1.09852*ii, 6.94862+2.42175*ii, 3.85443+8.05476*ii
-.909941-.643382*ii, 2.14399-2.98898*ii, -.636957-.393281*ii, .530197-1.16525*ii, 2.97162+.185386*ii, -.119184+.101665*ii, .158454+.220904*ii, -5.82784-.733722*ii
-.776345-.569856*ii, -.0979641-.20789*ii, 2.70065-.440954*ii, -6.77011-4.95899*ii, -.492887-.502492*ii, -4.73005+2.40102*ii, -1.85484+3.93617*ii, .309458+.645757*ii
1.2325+4.41551*ii, -1.98573+3.33211*ii, -2.25678+.193885*ii, 1.18356+1.39902*ii, -.750543-3.9776*ii, .0933412+.17389*ii, -.131977-.221461*ii, -3.20504+.975519*ii
.699344+1.03085*ii, .080837+1.50039*ii, 1.35879+.669288*ii, .156752-2.95028*ii, 1.42983+.813026*ii, .421373+.563308*ii, .035805-.664565*ii, -1.78112-.207119*ii
-2.90233+5.51179*ii, -.549225-2.52105*ii, -1.20149-4.44657*ii, -.47589+13.354*ii, -1.9817-1.84089*ii, 2.41511+5.15804*ii, -.0824992+.378687*ii, -1.96484-1.81714*ii
-.301027+.317629*ii, -.389675+.194903*ii, -.933693+.481101*ii, .188421-.530816*ii, .786552-.275087*ii, -.235653-3.74799*ii, -2.05272-1.0267*ii, -.89448+.184895*ii
-2.62998-2.07577*ii, -2.22013-3.76698*ii, 1.85766-.38833*ii, 3.29516+7.90509*ii, -2.26533-2.70837*ii, -1.52492+10.0547*ii, -.116121+.197027*ii, 2.24285+2.68055*ii
-4.00023+.876943*ii, -.0039681-.115967*ii, 1.6758+4.64372*ii, 2.07429+.859819*ii, -.215925+1.64493*ii, -6.95321-9.07132*ii, -.29472+8.61305*ii, -.246042-1.66377*ii
.0792796+.23277*ii, -.438475-.967212*ii, -.312199+.40841*ii, .367969+.773693*ii, .53215-.795024*ii, -.232887+.341583*ii, -.388802+.85764*ii, -1.80674-.714945*ii
-1.05469-1.20915*ii, -3.87485+.882957*ii, 2.65312+.450362*ii, .96277-1.54759*ii, -.923177-.754788*ii, -.546735+2.23829*ii, -.245335-.0559042*ii, .919504+.751507*ii
-4.50982+2.80562*ii, -.639467+5.03007*ii, -2.0479-2.07295*ii, 3.17227-.715661*ii, .805494-3.55535*ii, -.0337988-.121411*ii, -.0248718-.195643*ii, 3.944+1.97482*ii
.505995+.625779*ii, .352376+.245737*ii, 1.80112-.716158*ii, .547919+1.46326*ii, .246586+.792926*ii, .704727+2.17147*ii, 1.90932-1.33151*ii, .499544+1.03083*ii
.524471+.351528*ii, 2.2237+1.18278*ii, .203825+.63357*ii, -1.03259+2.58728*ii, 1.48827-1.17682*ii, -.062331+.779177*ii, .350531-.186446*ii, -1.43123+1.39402*ii
-1.43553+1.26256*ii, .167963-.413698*ii, .359993+.023663*ii, -1.08535+9.27079*ii, -7.48193+7.50614*ii, -5.31093-6.13422*ii, .842518+2.07515*ii, 7.00862-7.38371*ii
39.4329+310.421*ii, .00391695-.00155037*ii, 90.4346-44.1164*ii, -55.2477-24.9492*ii, -2.00076+5.88906*ii, 5.08763+35.8858*ii, 220.721+87.3638*ii, -29.9323+27.0887*ii
-2.12637-3.3213*ii, 1.02587+2.82679*ii, -1.46522-1.68242*ii, 2.78677-1.35671*ii, 3.49717+.517939*ii, .017677-.285797*ii, .113441-.312589*ii, -2.2502+1.98118*ii
1.15425-1.76979*ii, -1.25667+.891633*ii, .064691+2.73865*ii, .674302+.911351*ii, -1.27183-.872974*ii, .354195+.202927*ii, -.529296-.375545*ii, -1.30443+1.36895*ii
.0133685+.0802882*ii, -1.29053-1.202*ii, -.423628-.311061*ii, .267827-1.20073*ii, -.221837-.216161*ii, -.0118702+.155548*ii, -.414926+.386462*ii, 1.10702-.016994*ii
-5.32178-4.00681*ii, 20.7231+4.90119*ii, -4.82463+11.6831*ii, 5.26102+5.985*ii, -.264581+1.02028*ii, .00550274+.00344561*ii, .0456991-.0108082*ii, 6.41296-3.91061*ii

