variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
1.79276-3.82775*ii, .547531+.409285*ii, -4.9133+3.42834*ii, -1.09185-.163008*ii, 1.17168-.875842*ii, .060132-1.81012*ii, .550704-1.82431*ii, 1.19116+2.21727*ii, 9.59516e-16-1.96142e-16*ii, -1.67243+.030282*ii, 1.06928e-15-2.29686e-16*ii, 2.59942+3.58923*ii
.375753+1.39669*ii, -1.33193-3.23733*ii, 1.04238+1.04557*ii, -.0443579-.279201*ii, -.108691+.264178*ii, .735475-.535315*ii, -2.53765+.281188*ii, -2.34325-1.07893*ii, -6.77736e-20+1.91035e-20*ii, -2.18604+1.18255*ii, 1.1067e-20-1.31397e-19*ii, -.432968-.479229*ii
.0063035-.0979829*ii, -.117187-.881106*ii, -.153889+.448233*ii, .233854-.0342514*ii, -.148323+1.11521*ii, -.0013333-.399902*ii, .0430547-.202186*ii, -.866281-.459429*ii, 3.73601e-17+3.71518e-17*ii, -.634973-.084304*ii, 9.62218e-17-2.54886e-17*ii, -.278433-.0743334*ii
.366181+1.5597*ii, -.744915-3.65349*ii, 1.00072+1.17456*ii, .0885398+.27081*ii, -.05358+.262787*ii, .894039-.381751*ii, -2.79939-.223619*ii, -2.19815-1.47225*ii, 6.67114e-21-1.49019e-20*ii, -2.21325+.942567*ii, -5.33691e-20+1.19215e-19*ii, -.356738-.515848*ii
5.2544-13.3079*ii, -15.65+10.1089*ii, 5.22358-13.23*ii, 20.4016+4.00811*ii, -.0450862-.0291228*ii, -1.50278-1.54011*ii, 2.82365+14.1271*ii, .33165+1.66071*ii, -7.49748e-19+3.85728e-19*ii, 15.8685+4.25235*ii, -4.1066e-19+4.72847e-19*ii, -.117953+1.89375*ii
-.00920472-.027465*ii, 1.03327+.424661*ii, -.0292372+.124547*ii, -.16791-.115794*ii, .827954-.340279*ii, -.746192+.128416*ii, .0565201+.0424316*ii, .290456-.105816*ii, 1.77795e-20-4.6976e-21*ii, .401184+.806501*ii, -1.2927e-20-2.02648e-20*ii, -.520857-.318503*ii
1.354+.531471*ii, -.416547-.582594*ii, 1.27083+.488165*ii, -2.20911+3.49095*ii, -.812097+1.13582*ii, .0179519-.10453*ii, -.0357335-.180509*ii, .0094865+.0649476*ii, -7.17977e-21-6.02251e-21*ii, .341678+2.05159*ii, 4.3829e-21-1.20371e-20*ii, -.180403+.249643*ii
139.018+41.7565*ii, 22.2885+24.416*ii, -138.204-41.512*ii, -146.487+369.606*ii, .0203936-.0223402*ii, 231.15-2.4538*ii, -112.335-233.693*ii, -13.2028-27.4662*ii, 4.37215e-18+2.2703e-18*ii, -6.3819+41.5855*ii, -7.91012e-18+7.15165e-18*ii, 187.092+227.028*ii
-143.392-39.7129*ii, -22.5988-24.3616*ii, 142.553+39.4804*ii, 139.01-383.656*ii, -.0204664+.0220628*ii, -238.281+8.8342*ii, 122.82+237.247*ii, 14.4351+27.8839*ii, -3.35012e-18-9.13864e-18*ii, 5.92582-41.7454*ii, -4.72714e-18+1.68257e-17*ii, -199.266-227.669*ii
.748756-1.8478*ii, -.580264-.796491*ii, .006061+1.65035*ii, -.296306+1.17628*ii, -.59753+.820191*ii, -.788158-.524995*ii, .81582+.108702*ii, .603761+.33655*ii, 1.72181e-16-2.41917e-16*ii, -.032623+.687087*ii, 2.28824e-16-2.05359e-16*ii, .19921+.630294*ii
-.0516979-.27785*ii, .661438+.850513*ii, -.248037-.58092*ii, .271448+.365216*ii, .569777-.73265*ii, .082518+.294147*ii, -.277405-.135537*ii, .114051-.61634*ii, -1.38221e-16-6.02604e-17*ii, .941769+.72053*ii, 2.0298e-19+3.99742e-17*ii, .170038+.290058*ii
-.0935046+.0870289*ii, -.390214-.955245*ii, .304168+.413818*ii, -.0641325+.224097*ii, -.36648+.897146*ii, .154564-.23154*ii, -.23368-.140853*ii, -.899534-.685873*ii, -1.20936e-16-6.16309e-17*ii, -.560346+.29119*ii, 2.79896e-17+6.20195e-17*ii, -.149744-.0812564*ii
1.30578+.393423*ii, -.380518-.596433*ii, 1.21623+.345993*ii, -1.74229+3.46292*ii, -.760235+1.19161*ii, .0403121-.0984949*ii, -.0329951-.179545*ii, -.0062331-.0693902*ii, -2.71274e-16-1.91306e-16*ii, .459481+1.83067*ii, -2.22454e-16-4.2103e-18*ii, -.185172+.215235*ii
-4.69697+13.6425*ii, 16.0029-9.19786*ii, -4.66943+13.5626*ii, -23.0618-2.30679*ii, .0469716+.0269975*ii, 1.11564+1.57489*ii, -2.71676-14.1336*ii, -.319101-1.6614*ii, -8.67848e-20-5.92397e-19*ii, -15.2189-1.54404*ii, 6.76163e-19-3.41101e-19*ii, .010284-1.59946*ii
1.49631-.191931*ii, .999523-.112987*ii, -1.99252+.746373*ii, -.461194+.781654*ii, .987854+.111668*ii, .217326-1.03363*ii, -.508383-.649248*ii, -.415477+.794858*ii, -1.81688e-17-1.2968e-16*ii, -.641055+.523188*ii, 9.45056e-17-3.90408e-17*ii, .309901+.811721*ii
.966284-.607001*ii, .608198+.780124*ii, -.383835-.514171*ii, -.555795+.685005*ii, .621563-.797267*ii, -.480181+.452286*ii, .612161+.20862*ii, .707458+.225997*ii, -1.87438e-21+2.2864e-20*ii, 1.22782+1.1072*ii, -1.81316e-20-2.45041e-20*ii, -.658846+.88401*ii
.705912-2.29773*ii, .111007+1.248*ii, -.541827-.060492*ii, -.076185+.776692*ii, .070713-.794993*ii, -.78838+.446573*ii, 1.51076+.306863*ii, 1.55303+.301012*ii, -3.38627e-20-3.94781e-20*ii, 1.81685+.809112*ii, 2.10468e-20+6.58478e-21*ii, .011069+1.43824*ii
.0810448-.463963*ii, .809964+.289669*ii, -.255085-.0906613*ii, .938807-.380847*ii, 1.09462-.391471*ii, -.685897+.014769*ii, -.123051+.197167*ii, .150763-.220635*ii, -8.35615e-17+1.29084e-16*ii, .485262+.494962*ii, 7.59627e-17-1.06303e-16*ii, -.502431-.230612*ii
.716403+2.75566*ii, -.578193-.585174*ii, 1.70357-4.36116*ii, .753906-.025727*ii, -.854385+.864701*ii, .84496+1.30996*ii, .4063+1.83442*ii, -2.4943-1.69991*ii, 8.33447e-16-1.35922e-16*ii, 1.87484-.005956*ii, 6.35466e-16+1.30204e-16*ii, -3.47949-.717471*ii
-126.474-47.8623*ii, -8.65892-22.702*ii, 125.733+47.582*ii, 215.18-215.227*ii, -.0146673+.0384547*ii, -154.07-34.1695*ii, .4625+177.535*ii, -.05437-20.8659*ii, -2.37741e-18-6.84922e-18*ii, 23.3953-27.7872*ii, 1.66947e-18-5.98128e-18*ii, -67.0961-226.191*ii
.0247637+.1659*ii, .728071+.487483*ii, -.025098-.326249*ii, -.427871-.522397*ii, .948346-.63497*ii, -.555141+.45255*ii, .105926+.0632752*ii, .123041-.166926*ii, 2.64861e-17+7.51628e-17*ii, .387008+.908697*ii, 5.71151e-17+7.93247e-17*ii, -.80284+.085235*ii
2.35518-2.70403*ii, .121377+.53519*ii, -5.13873+1.58096*ii, 1.08239-.679147*ii, .403031-1.77709*ii, 1.33156-2.79654*ii, -1.33801+.400717*ii, -.944537+1.74631*ii, -1.85828e-19+8.94898e-20*ii, -.644075-.017786*ii, -5.925e-20-7.1841e-20*ii, 2.79308+2.32885*ii
-.18342+1.29115*ii, 1.42079-1.2552*ii, -.828051+.353214*ii, -.291452-.360965*ii, .395303+.349232*ii, .600527-.171899*ii, -.956668-1.0291*ii, -1.26857-.975757*ii, 1.88857e-16-2.42332e-17*ii, -1.19131-.370905*ii, 1.2982e-16-1.20424e-16*ii, -.301738-.279209*ii
.370282+.292614*ii, .345911+.562942*ii, -.472176-.390339*ii, -1.58325-.860408*ii, .792361-1.2895*ii, -.129487+.62125*ii, .127366+.0221086*ii, -.0240271+.104434*ii, 2.47851e-17+8.61103e-17*ii, .149986+1.27025*ii, -3.5763e-17-8.70626e-17*ii, -.732621+.98615*ii
.056967-2.65681*ii, -1.27056+5.39808*ii, -.191469-2.32551*ii, -.170474-.291516*ii, -.0413141-.175527*ii, -1.36275+.173056*ii, 3.41799+2.04596*ii, 1.46895+1.58767*ii, 6.82936e-20+1.04853e-19*ii, 3.75613+1.47463*ii, 0, -.016618+.999426*ii
-.353107+.12066*ii, .851896+.745793*ii, -.422373+.18407*ii, -.55201-1.02256*ii, .66454-.581772*ii, -.499508-.0714252*ii, -.0254207+.1563*ii, -.118389+.0080847*ii, 8.91588e-18+3.86117e-17*ii, .049482+.742319*ii, -5.76502e-17-8.78145e-17*ii, -.198965-.265222*ii
.386951-.530285*ii, -.48086-.687266*ii, .225503+.590548*ii, -.30601+.884672*ii, -.683466+.976839*ii, -.115327-.343259*ii, .334939+.101946*ii, -.375381-.240981*ii, -4.56677e-17+1.03095e-16*ii, -.0646642+.481282*ii, 1.22371e-17+3.49746e-17*ii, -.0854714+.191428*ii
-.133407-.228586*ii, .451604+1.00308*ii, -.245305-.387753*ii, -.565697-.291855*ii, .373191-.828913*ii, -.158001+.342092*ii, .174181+.110639*ii, .143487-.255163*ii, 3.75788e-21+1.55303e-20*ii, .740095+.900095*ii, 2.12416e-20-2.10483e-21*ii, -.0665705+.393575*ii
-3.31619-3.37425*ii, -.652192-2.27341*ii, 1.42899+.98815*ii, .112243-.438552*ii, -.116593+.40642*ii, -.145698+4.19091*ii, 2.70638-4.48304*ii, 2.6579-4.13308*ii, -1.55914e-16+8.42401e-17*ii, -.512269-2.02344*ii, 1.84956e-15+8.13544e-16*ii, -.244707+3.69274*ii
.277223-.197532*ii, 1.33793+.248871*ii, -.435101+.309275*ii, .111426+.592715*ii, .722427-.13438*ii, -.493657-.142831*ii, -.117468-.253951*ii, .307247-.141401*ii, 2.79245e-21+7.00768e-21*ii, .42368+.548916*ii, 9.7383e-21-1.15233e-20*ii, -.139004-.221908*ii
5.78459-14.7439*ii, -15.1444+6.75166*ii, 5.75069-14.6576*ii, 27.7936+6.23715*ii, -.055083-.024557*ii, -.395838-1.14135*ii, .64434+14.1779*ii, -.075637-1.6666*ii, -7.61018e-19+4.64788e-19*ii, 17.5893+1.75076*ii, 5.47514e-19+1.17401e-19*ii, -.236569+1.26591*ii
-.0359342+.00340777*ii, -.406617-.706624*ii, .102435+.291696*ii, -.0978564+.102502*ii, -.611771+1.06314*ii, .134745-.38216*ii, .0958095+.0830308*ii, -.973286-.499371*ii, 2.54972e-20+8.68837e-21*ii, -.400247+.124642*ii, -1.81888e-21+4.50262e-21*ii, -.17662-.110546*ii
1.37393+.416991*ii, -.53597-.463839*ii, 1.3075+.342845*ii, -2.14786+3.34837*ii, -1.0668+.923227*ii, .0148426-.0971101*ii, .0550354+.178384*ii, .0027352+.0689858*ii, -4.30628e-16-5.07165e-16*ii, .623602+2.08206*ii, -3.72334e-16-6.11796e-17*ii, -.198191+.226847*ii
-.883572-.946016*ii, -.100726-1.29055*ii, .082335+1.25436*ii, .337014-.608056*ii, -.060111+.770171*ii, -.316526+.176906*ii, .289789-.883333*ii, -.11036-1.02761*ii, 1.03581e-16+1.73272e-16*ii, -.964631-.394747*ii, 1.26016e-16-7.53318e-17*ii, .0126463+.291688*ii
-.240325+.0699645*ii, -.692046-.381871*ii, .000464-1.03446*ii, .212917-.207762*ii, -1.10771+.611235*ii, .871639+.27095*ii, .369664+.197024*ii, -1.28949-1.22169*ii, -1.10911e-16-5.61226e-17*ii, .370907-.367699*ii, 1.90694e-16+2.51521e-17*ii, -.334005+.502207*ii
-.283335+.404294*ii, 1.17885+.768042*ii, -.350587+.384168*ii, -1.2226-.452449*ii, .595507-.387985*ii, -.509843-.032252*ii, .0510924-.180379*ii, .0599087+.0816187*ii, -3.31628e-17-1.31114e-17*ii, -.018689+.898762*ii, 1.56833e-17-1.25882e-16*ii, -.154616-.287463*ii
-1.56739+.907441*ii, .307821-.766309*ii, 3.23218-1.39719*ii, .61509-.368066*ii, .451362+1.12365*ii, -1.51223+2.21696*ii, 1.25495+.018928*ii, .363191-2.07702*ii, 1.0572e-16+2.88006e-16*ii, .977489+.204206*ii, -2.12787e-16+5.60358e-16*ii, -2.95955-1.33092*ii
-.185122-.382379*ii, .027147+1.11284*ii, .294034-.523595*ii, -.242142+.508896*ii, .021907-.898066*ii, .089015+.315567*ii, -.235563+.292777*ii, .153676-.578079*ii, -3.59645e-20-9.79379e-21*ii, 1.18334+1.2613*ii, -1.5086e-20+6.29258e-21*ii, .429776+.273494*ii
1.35089+.274139*ii, -.502846-.48772*ii, 1.28166+.193046*ii, -1.66827+3.3991*ii, -1.0247+.993877*ii, .0379453-.0878237*ii, .0518252+.179692*ii, .0025341-.0729018*ii, -8.68917e-20-7.4792e-20*ii, .771087+1.87772*ii, 9.89946e-21-2.5669e-20*ii, -.202472+.18936*ii
.0138604+.0231543*ii, -.339303-.757339*ii, -.0379058+.272932*ii, .113612-.030324*ii, -.49268+1.09968*ii, .129776-.478366*ii, .0314023+.10982*ii, -1.07298-.458192*ii, -9.20389e-21+4.34693e-21*ii, -.474646+.0161826*ii, -2.70524e-20-6.34467e-21*ii, -.225464-.172125*ii
-.999653+1.84579*ii, .107659-.906668*ii, 2.80344-2.64936*ii, -.572365+.34864*ii, .129144+1.08761*ii, -.214171+2.92182*ii, 1.3465-.781114*ii, -.239562-2.5201*ii, -3.4415e-20-2.47345e-20*ii, 1.0134+.03721*ii, 2.47345e-20-3.4415e-20*ii, -3.25378+.027062*ii
.226281+.157778*ii, .373738+.719753*ii, -.260976-.249603*ii, -1.33555-.187327*ii, .568228-1.09431*ii, -.0400071+.436102*ii, -.0900859-.0462161*ii, .0669601-.0626193*ii, 1.91314e-20+1.10305e-20*ii, .368833+1.34191*ii, -1.27994e-20+2.59999e-20*ii, -.22365+.717442*ii
.878608+.077235*ii, .676835-.205941*ii, -1.82572-.017133*ii, .298869-.712965*ii, 1.35227+.411456*ii, .132296-.642055*ii, -.172719-.53991*ii, -.944897+.412489*ii, 2.24918e-16-5.86138e-17*ii, -.887658-.140583*ii, 1.19316e-16+1.90878e-16*ii, -.507707+.660085*ii
.0632218+.1163*ii, -.180211-.91937*ii, -.018612+.52938*ii, -.251397+.096734*ii, -.205318+1.04746*ii, .0401167-.348233*ii, -.0317663-.242479*ii, -.877427-.403488*ii, -1.82461e-16-1.10198e-16*ii, -.740835+.177605*ii, 2.45184e-17+4.14952e-17*ii, -.284286-.0207786*ii
1.31941+.064191*ii, .431185+.450823*ii, -.455491-.449864*ii, -1.23788+1.01894*ii, 1.10798-1.15845*ii, .0465131+.474142*ii, -.304923-.277684*ii, .336448+.240867*ii, -4.65348e-20-9.58485e-20*ii, .58043+1.72107*ii, 2.17301e-20-3.21742e-20*ii, -.462691+1.30768*ii
-.0527998+.166882*ii, 1.04446+.617283*ii, -.154977+.204509*ii, -.589866-.309256*ii, .709582-.419365*ii, -.680506-.010739*ii, .0224785+.128632*ii, .148978+.0604056*ii, -9.42291e-21-1.64629e-20*ii, .279224+.927503*ii, 4.43618e-21-1.57662e-20*ii, -.393712-.374487*ii
1.22834-1.13183*ii, .387445-.642479*ii, -.843897+.856739*ii, 1.0798+1.59366*ii, .68831+1.14139*ii, -.369074-.922263*ii, -.0654445-.432178*ii, .0302206+.304497*ii, -1.79525e-16+1.20715e-16*ii, -.134958+.203129*ii, 6.98268e-17-7.11831e-17*ii, .106736+.304747*ii
-.461604-.0665484*ii, -1.29519-.614067*ii, .997495+.191804*ii, -.172247-.313958*ii, -.630388+.298876*ii, .132732-.0126629*ii, -.389177+.517119*ii, -.955914-.812432*ii, -6.02464e-17+9.45557e-17*ii, -.279015+.913678*ii, 1.8827e-17-2.95487e-17*ii, -.0212495-.086288*ii
-.186512+.219554*ii, -.004557+.775475*ii, -.19159+.252545*ii, -2.45782-.684667*ii, -.007578-1.28949*ii, .0868453+.437788*ii, .0224588-.0503084*ii, -.0268928-.00344167*ii, 1.35805e-17+2.48996e-17*ii, -.049177+1.57699*ii, 8.0866e-17-9.20863e-17*ii, .154103+.894878*ii
.392019+.0686653*ii, .091482-.864149*ii, -.6797+.574457*ii, -.324728-.379068*ii, .121149+1.14438*ii, -.13407-.535246*ii, .30617-.25274*ii, -.909231+.080625*ii, -2.81772e-17-1.23266e-16*ii, -.978151-.08817*ii, -3.65171e-17-7.78115e-17*ii, -.602501+.160929*ii
.0029787-.00318444*ii, .943604+.36453*ii, .0304957-.0442624*ii, -.0173939-.0781668*ii, .922145-.35624*ii, -.659924+.235886*ii, -.0152982-.0223699*ii, .244098-.227189*ii, -3.72385e-20+5.24067e-21*ii, .423897+.791589*ii, -1.1048e-20+2.30708e-21*ii, -.580623-.223338*ii
-.181735-1.89633*ii, -.0435866-.249876*ii, .797963+2.02857*ii, 3.01153+3.57675*ii, -.677464+3.88381*ii, -.936974-2.38802*ii, -.167582-.113689*ii, -.0189683-.168864*ii, -2.10919e-16+3.84624e-16*ii, .219472-.184796*ii, 9.63351e-17+1.37314e-16*ii, 1.80131-2.27482*ii
.74194-1.60756*ii, .212634+.222676*ii, -1.43934-.673856*ii, 1.6627-1.74979*ii, 2.24302-2.34895*ii, -.312116+.699717*ii, -.346797+.117817*ii, .467301-.157488*ii, 5.49961e-16+2.35748e-16*ii, .560057+.522411*ii, -7.12451e-17-1.24871e-16*ii, -.674492+1.78251*ii
-.292157-3.357*ii, .739085+.205198*ii, -1.70095+3.72644*ii, 1.04177+.472374*ii, 1.25619-.348767*ii, -1.00986-1.54615*ii, -.713875-1.28208*ii, 1.55491+.60573*ii, -1.32318e-20+3.19657e-20*ii, -1.01644+.603469*ii, 1.35592e-19-5.62017e-20*ii, 2.79711+.525236*ii
-.392504+1.09248*ii, .741916+1.02795*ii, -.822243-1.27294*ii, .104954-.520956*ii, .461645-.639623*ii, 1.0683-.100335*ii, -1.07786-.156408*ii, -1.36117-.868835*ii, 2.50603e-16+7.77659e-17*ii, .312764+.352026*ii, 4.56267e-17-5.0417e-17*ii, .391023-.0771824*ii
-.687645-1.52563*ii, -.318587+.0468064*ii, -1.82006+1.86811*ii, -1.57526-.695125*ii, -3.07254-.451413*ii, 1.15844-1.20631*ii, .360157+.324058*ii, -.780327-.390585*ii, 1.18079e-16-4.34057e-16*ii, -.279044-.424822*ii, -1.14541e-16+3.58736e-16*ii, 2.49758+.855098*ii
.793518-.995417*ii, .380813+.134177*ii, -.673356-1.03824*ii, 1.60104-.866829*ii, 2.33596-.823061*ii, -.746158+.81395*ii, .32116-.136744*ii, .46068-.115779*ii, -1.60898e-17+6.50907e-17*ii, .609839+.348344*ii, -1.54419e-16+2.11165e-16*ii, -1.53065+1.16025*ii
-39.9202+37.9222*ii, -30.0534+52.0592*ii, -39.6864+37.7001*ii, -199.253+89.3674*ii, -.00831728-.0144074*ii, 112.051+22.4435*ii, -41.8471-173.875*ii, -4.91832-20.4357*ii, -4.50246e-19+2.87533e-18*ii, -86.8437+48.1722*ii, 2.85483e-18-1.46139e-18*ii, 139.613+127.09*ii
.261317-4.72262*ii, -.470157-.0855628*ii, -2.23091+3.72141*ii, 2.15088+.635801*ii, -2.05876+.37467*ii, -.471033-2.91*ii, .236901+1.02687*ii, .625149+.760845*ii, -3.12615e-16-4.9770e-18*ii, .208426-.532672*ii, -7.10898e-17+2.18599e-16*ii, 3.5266+.114573*ii
-1.52888-4.60071*ii, -.173592+.156386*ii, -3.28105+4.27605*ii, -1.50889-2.74818*ii, -3.17988-2.86469*ii, .507479-1.15295*ii, .758643+.140588*ii, 1.04118-.157188*ii, -8.19886e-17-2.70767e-16*ii, -.538981-.69967*ii, 1.90727e-16+8.10913e-17*ii, 4.19793+2.2475*ii
-.487321+.258926*ii, 1.05166+.791849*ii, -.567424+.278484*ii, -.917393-.938931*ii, .606838-.456918*ii, -.374159-.0258563*ii, .0588104-.197055*ii, -.105926-.0478047*ii, -1.08722e-20-1.81382e-21*ii, -.111548+.617976*ii, 0, -.0693074-.164935*ii
.109349+.260915*ii, -.709009-.195303*ii, -1.02734-.824231*ii, .0724128-.285246*ii, -1.31095+.361113*ii, 1.60299-.563337*ii, -.382074+.287875*ii, -2.02259-.872848*ii, -9.02623e-17-1.36612e-16*ii, -.0432204-.36434*ii, 1.99393e-16-9.1339e-17*ii, .562002+.634583*ii
-1.73532-6.375*ii, -2.20975-5.48447*ii, -.510442-4.97244*ii, -.132473+.202913*ii, -.0632035+.156868*ii, 2.83619+12.0254*ii, 9.16212-10.2142*ii, 4.98105-8.2893*ii, 4.91973e-19-3.62407e-19*ii, 1.38842-7.22213*ii, -4.2063e-21+4.88818e-19*ii, -5.14396+14.4808*ii
1.59437+6.29071*ii, 3.32939+5.66817*ii, .909811+4.9206*ii, -.139402+.192365*ii, .077046-.131168*ii, -3.53723-11.7808*ii, -8.86218+10.5612*ii, -5.08971+7.35601*ii, -4.31935e-19+2.55774e-20*ii, -.37562+8.33658*ii, -2.55774e-20-4.31935e-19*ii, 4.38165-14.9875*ii
-.120323-.290957*ii, -.714818-.283244*ii, -.889374-.849243*ii, .0217044-.338041*ii, -1.20911+.479107*ii, 1.32511+.079559*ii, .415139-.203901*ii, -1.38427-1.10232*ii, 3.33017e-17+1.60042e-17*ii, .098940-.699253*ii, -1.6001e-16+1.23968e-16*ii, .214374+1.2003*ii
3.29189-1.52305*ii, -.179039+.565193*ii, -6.15106+.290592*ii, -.736642+.832595*ii, -.50936-1.60795*ii, 3.43552-2.5084*ii, -1.48403-.654544*ii, -2.00346+1.40935*ii, -3.02075e-16-3.03298e-16*ii, -.698808-.19295*ii, 4.77562e-17+1.07465e-16*ii, 3.22207+4.08336*ii
