variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj
2.95951e-31+1.16721e-30*ii, -1.2368-.691662*ii, -.680987+3.1967*ii, -9.57748e-31-1.22876e-30*ii, -9.57748e-31-1.22876e-30*ii, 1.43811e-196-3.00999e-197*ii, -.707698-.310757*ii, -2.00514-4.86998*ii, -2.34641-3.38101*ii, -1.95801-1.74227*ii, -.425673+1.12254*ii
1.02634e-48-3.42114e-48*ii, -.903694+2.11665*ii, 2.07053+.996968*ii, -1.64215e-47+8.75812e-47*ii, -1.64215e-47+8.75812e-47*ii, 5.22568e-198+1.02423e-197*ii, 1.79732-1.17922*ii, .495546+2.64937*ii, .165887-1.27636*ii, .653245-1.90812*ii, 2.80901+.48047*ii
2.8865e-71-2.60351e-71*ii, -.107861-1.69891*ii, .0194425+.356502*ii, 9.05568e-72+6.17272e-72*ii, 9.05568e-72+6.17272e-72*ii, -3.62227e-71+2.12808e-70*ii, .710205-3.15523*ii, -.445401+.162411*ii, -2.82172+1.22601*ii, .372337+.167831*ii, -.569332+1.4429*ii
-8.32021e-46-1.33561e-45*ii, -2.04673-28.1703*ii, -12.0023+44.8571*ii, 3.64338e-44+1.36627e-44*ii, 3.64338e-44+1.36627e-44*ii, 4.60105e-189-7.29434e-190*ii, -.184751+2.46496*ii, 21.7074+13.1474*ii, 5.21794+14.9986*ii, -17.1234-1.32056*ii, 31.2828-13.2391*ii
3.18992e-66-4.59942e-66*ii, 1.50096-1.33108*ii, -1.12081-1.36453*ii, 1.63205e-66-8.90209e-67*ii, 1.63205e-66-8.90209e-67*ii, -1.48368e-66-7.41841e-67*ii, 2.44112-1.44482*ii, 2.80997-2.90091*ii, 1.79067+4.25115*ii, -.726442-3.33661*ii, 1.23556+3.3229*ii
1.33775e-31-4.61841e-32*ii, -3.20103-.713146*ii, 1.75032+3.21427*ii, -1.37938e-31+7.41215e-32*ii, -1.37938e-31+7.41215e-32*ii, -4.28506e-198+2.09027e-198*ii, -.892134-.144573*ii, -.798396+3.16294*ii, -.888432-1.91178*ii, 2.11437+.982653*ii, .909884+2.95349*ii
-1.24071e-31+1.17812e-31*ii, -.912149-1.45933*ii, -.034753+.773649*ii, 7.51956e-32-1.90042e-31*ii, 7.51956e-32-1.90042e-31*ii, -6.68887e-196-6.28754e-196*ii, -.759366-.352399*ii, -.118138+.387929*ii, 2.07785-1.47292*ii, .557412+.229356*ii, -.488575+.407291*ii
5.34553e-50*ii, -.236102-.0727082*ii, .0145388-.122616*ii, 2.56585e-49+1.71057e-49*ii, 2.56585e-49+1.83543e-49*ii, 1.42139e-197-3.34444e-198*ii, .604782-.40543*ii, .645965+1.40755*ii, -1.96947-.539268*ii, 1.13769-.042001*ii, -.137131+.286082*ii
3.42114e-49+1.49472e-48*ii, -.173165+1.44567*ii, -.445246-1.53427*ii, -1.36846e-48+8.21073e-48*ii, -1.82793e-48+8.21073e-48*ii, 3.67888e-197-2.67555e-197*ii, .624755-.194439*ii, .811847+1.60113*ii, -2.01084-.902985*ii, 1.21651+.955709*ii, -.466672+.679699*ii
-1.32938e-63-4.55787e-64*ii, -.064765-1.87417*ii, 2.24629-1.54203*ii, 2.43087e-63+6.07716e-63*ii, 2.43087e-63+6.07716e-63*ii, 2.67555e-197-5.3511e-197*ii, 1.40285-1.94579*ii, 1.01335-.861028*ii, -.306559+1.4015*ii, 2.27875+.339062*ii, -2.76635+2.63108*ii
2.14829e-31-9.41798e-31*ii, -6.9252+.088242*ii, .503302+.354118*ii, 2.35578e-31-5.19323e-31*ii, -4.05375e-31-1.2642e-31*ii, 2.96736e-67-5.63799e-66*ii, .177339+2.26797*ii, 2.02717+6.86049*ii, -4.31849-.710938*ii, -2.49199+2.77861*ii, -3.1266-.427406*ii
2.17307e-31-5.10257e-31*ii, -1.02663-.171094*ii, 1.73748+.592765*ii, -1.44859e-30+4.74411e-31*ii, -1.44859e-30+4.74411e-31*ii, -2.9431e-71-1.2678e-70*ii, -.239667+.273754*ii, -1.39787+.90503*ii, -.333157-2.93379*ii, 3.05251-2.14165*ii, .888961-.177838*ii
-1.58597e-47, 1.03933-.900769*ii, -.653773-1.73075*ii, 4.53427e-31-4.8602e-31*ii, -3.28429e-47-2.24427e-46*ii, 1.84488e-80+8.43376e-81*ii, 1.20779-.540991*ii, .179386+.651985*ii, -2.01227-1.24494*ii, -2.31319-1.53656*ii, 1.666-.511813*ii
-2.48921e-60, 1.65482+.647567*ii, -.593464-.245131*ii, -1.49352e-59+7.46762e-60*ii, -1.49352e-59+7.46762e-60*ii, 8.56176e-194-3.25347e-194*ii, .619565+.942521*ii, .669947+1.70541*ii, 1.06572+.143852*ii, 1.16979+.107251*ii, 1.09166+1.86037*ii
5.21024e-32-1.4234e-31*ii, -2.61787-.28413*ii, .136111+4.69837*ii, 2.51625e-31-2.09296e-31*ii, 2.51625e-31-2.09296e-31*ii, -2.07318e-203-1.47514e-203*ii, .400498-.232557*ii, -3.94898-.176062*ii, -1.18284+.877993*ii, .422051-3.8843*ii, .124178-1.65787*ii
5.33266e-33+9.28991e-33*ii, .219097+.866601*ii, 1.14663+.825531*ii, 3.87159e-33+5.53133e-33*ii, 3.87159e-33+5.53133e-33*ii, 8.04306e-85+6.4345e-86*ii, 1.58016+.141934*ii, -.163347-1.75314*ii, -1.19025+.366395*ii, -1.009-.095088*ii, -.551538+1.88236*ii
-2.12701e-63-6.11247e-64*ii, .364926+.461231*ii, -.285184-1.46996*ii, 8.01183e-32-7.65189e-32*ii, 9.72346e-63-1.21543e-63*ii, -1.9137e-203-2.27252e-203*ii, .846801+1.27188*ii, .121956-.629963*ii, .057625+1.55092*ii, -.12041+.158081*ii, -.767629-2.46372*ii
3.86284e-31+6.14762e-32*ii, .725917+.767023*ii, .516077-.036844*ii, 3.16081e-31-3.1438e-31*ii, 3.16081e-31-3.1438e-31*ii, 1.47894e-76+1.16588e-76*ii, .517105+.708816*ii, .401474+1.86878*ii, .0489836-.469477*ii, -.804115+1.45107*ii, -.0619252-.412527*ii
-1.19112e-61+3.82861e-62*ii, -.088633-4.19213*ii, -.231206+2.44025*ii, -6.54405e-31-3.84707e-31*ii, -5.0562e-61-4.37556e-62*ii, -3.41132e-196-2.9431e-196*ii, -2.01782-2.73207*ii, 1.3264-2.1289*ii, -.027182+.843441*ii, -2.41151-9.10649*ii, -2.70409-1.08551*ii
-3.42114e-49-1.02634e-48*ii, 3.2062+.946498*ii, -.382592-2.92559*ii, -8.21073e-48-5.47382e-48*ii, -8.21073e-48-5.47382e-48*ii, -5.44514e-61+1.43907e-60*ii, -.111469+2.62099*ii, -.664555+2.8436*ii, 2.74173+1.4064*ii, -.27936-1.09*ii, .664843-2.77324*ii
2.02605e-32-1.13031e-32*ii, .996884+.13667*ii, .298677+.595449*ii, 6.32003e-32+7.92701e-32*ii, -2.3772e-32+6.4307e-32*ii, -5.13171e-48-1.71057e-49*ii, -.257101-.220018*ii, 1.26444+.150033*ii, .131064+.280567*ii, -.039432-1.36684*ii, -.534912-.016036*ii
-2.29929e-73-1.06121e-73*ii, .302185-1.21332*ii, -.935663+.18714*ii, -5.6598e-73*ii, -5.6598e-73*ii, -1.05422e-79-4.7229e-79*ii, .097551-2.1306*ii, -1.2318-1.86268*ii, -1.11121+.800102*ii, .366431-.789027*ii, -2.66837+1.14205*ii
4.94166e-83+1.64722e-83*ii, -1.04289-.796932*ii, -.736682+.533592*ii, -1.64722e-83-3.91214e-83*ii, -1.64722e-83-3.91214e-83*ii, -4.94166e-83-2.63555e-82*ii, -2.05774+.161335*ii, 2.53203+.365805*ii, 1.20762-.388141*ii, .033411+1.02521*ii, -1.208-.173495*ii
-2.54691e-72-1.30175e-71*ii, -.789713+.828347*ii, -1.08371-1.32545*ii, 2.14326e-31-1.05112e-31*ii, -4.52784e-72+4.06798e-72*ii, -2.26392e-72+3.25438e-72*ii, -.7781+2.03246*ii, -.292014+.757107*ii, -.537457+1.7399*ii, .722582-1.78402*ii, -1.52998+.133966*ii
-1.75138e-31+7.55038e-32*ii, .44191-.228688*ii, .96405-.404154*ii, 6.17974e-31-3.48983e-31*ii, 6.17974e-31-3.48983e-31*ii, 2.36789e-200+2.61284e-200*ii, -.267194-.0287106*ii, -.191718+.26935*ii, -.686407-2.20534*ii, -1.31377+1.24058*ii, -3.13889+.026851*ii
-5.92278e-32-7.30716e-32*ii, -.0954775+.150992*ii, -.669578+1.43378*ii, -7.43085e-32-1.25107e-32*ii, -5.39646e-32-7.00415e-32*ii, -1.36846e-48-2.73691e-48*ii, 1.06348-.026238*ii, -.116475-1.19134*ii, -.335509-1.98735*ii, .0741642-.433346*ii, .872135+.378113*ii
2.99501e-56+1.01161e-56*ii, 5.34617-1.30075*ii, -5.03639+8.82924*ii, -8.88149e-57+4.71953e-57*ii, -8.88149e-57+4.71953e-57*ii, -3.4351e-58+2.72568e-58*ii, -2.74705-2.7631*ii, .197224-1.84345*ii, .065373-1.73631*ii, 1.25559+9.1278*ii, -.859618-5.44316*ii
1.51929e-64-6.07716e-64*ii, -.771261+.199875*ii, -1.2024+1.41966*ii, -1.71295e-31-2.44267e-31*ii, 3.03858e-63+2.27894e-63*ii, 2.60595e-84-1.02951e-84*ii, -1.33857+1.23384*ii, 1.15527+.930458*ii, -.764064-1.19678*ii, 1.15591+2.74045*ii, -.005177+1.21361*ii
2.15072e-71-2.39173e-72*ii, .107558+1.52671*ii, 2.66198+.115129*ii, 2.97139e-72*ii, 4.52784e-72+2.97139e-72*ii, 2.97139e-72-8.13596e-73*ii, 2.79205-2.15989*ii, 1.89404-.59361*ii, -1.60749+1.65573*ii, 1.61348-1.63292*ii, -.065524-2.18249*ii
-3.88938e-62-1.26405e-61*ii, 2.6668-.236591*ii, 5.52316+2.86607*ii, -2.48921e-60+2.48921e-60*ii, -2.48921e-60+2.48921e-60*ii, -3.07688e-196-1.60533e-196*ii, -1.35698-.636099*ii, -1.41565-.815231*ii, -1.75514-1.00812*ii, 5.11322-3.90975*ii, .463708-2.27606*ii
-3.53738e-31-3.9227e-31*ii, -.669325+1.99114*ii, 2.71982+1.72253*ii, 1.34551e-31+5.04016e-31*ii, 1.34551e-31+5.04016e-31*ii, -1.78563e-32+4.29709e-32*ii, -.90141+.4612*ii, -.300064+1.95497*ii, 1.5962+1.53783*ii, .229003+.0237034*ii, 1.4948+2.68318*ii
1.34436e-30-5.13366e-31*ii, 4.51966-1.46138*ii, -.021595-.511333*ii, 1.45452e-31-3.81013e-31*ii, -2.62659e-31+1.66066e-31*ii, -2.98776e-186-2.11873e-187*ii, -4.53942-.915559*ii, 7.4094+1.07051*ii, 9.11185-2.09088*ii, .816821+.087133*ii, 3.12225+1.03856*ii
3.79823e-64-1.13947e-64*ii, -2.30006+4.99506*ii, -1.87117+.26071*ii, 1.0635e-63+3.03858e-64*ii, 1.0635e-63+3.03858e-64*ii, -2.84249e-114+7.61383e-115*ii, -5.90851-2.95935*ii, -1.11014+3.75402*ii, 3.09162+4.9805*ii, -1.87458+2.65543*ii, -.590305-2.98887*ii
2.67639e-56-8.66642e-56*ii, -.434924-2.72403*ii, -1.33019-1.89176*ii, 1.84799e-56+3.82342e-57*ii, 1.84799e-56+3.82342e-57*ii, -2.86757e-56-6.69099e-57*ii, .612983-5.76249*ii, -.33092+1.81515*ii, 1.91459-.086724*ii, -.048505+2.54936*ii, -2.31769+.407785*ii
-5.62138e-63-6.07716e-64*ii, -5.4977+.665992*ii, 10.4982+.23255*ii, -2.42137e-64+5.50743e-64*ii, -2.42137e-64+5.50743e-64*ii, -9.61426e-65-8.3086e-66*ii, 3.43301+9.85897*ii, -11.2692-10.8882*ii, -.50489-9.93104*ii, -5.17114+.070822*ii, 5.70346+3.78231*ii
3.11151e-61-1.67244e-60*ii, -.509005-.047513*ii, .380843+1.88816*ii, 1.2477e-31-2.25505e-32*ii, -8.7025e-61+5.44514e-61*ii, -1.94469e-61+3.88938e-62*ii, -1.37946+2.16066*ii, .424553+.438255*ii, -.0894868-.130372*ii, -.0014672-.364663*ii, -.658383-1.324*ii
-1.17716e-31-3.65347e-31*ii, -1.02637+1.42568*ii, .277947-1.01184*ii, 9.84529e-32+7.17208e-32*ii, 9.84529e-32+7.17208e-32*ii, -8.1651e-201+7.18531e-200*ii, -2.5472-1.8553*ii, -3.45316-.482487*ii, 1.86348+3.18382*ii, -.922602+3.7135*ii, -1.21571+.517539*ii
1.09437e-32-8.66833e-33*ii, .144711+.0733465*ii, .573153+2.32402*ii, -1.13286e-32-2.39508e-32*ii, -1.13286e-32-2.39508e-32*ii, 1.9246e-33-4.10745e-33*ii, .119146+.513279*ii, -1.06145-.713814*ii, -.14332-.774439*ii, -1.32596+.293693*ii, .088099+.589104*ii
2.11376e-30-1.97773e-30*ii, 2.95327+8.30927*ii, -2.2206+5.58704*ii, 1.65676e-30-1.43501e-30*ii, 1.65676e-30-1.43501e-30*ii, -1.22349e-53+1.61501e-53*ii, 1.31972-.050654*ii, -.71428+12.3649*ii, -2.45559-5.74374*ii, -1.63386-2.8817*ii, -.513226-3.60365*ii
0, .538936-2.22789*ii, -.596459-1.9328*ii, 1.06889e-31+8.61278e-31*ii, -9.11575e-64, -2.24541e-201+9.79815e-201*ii, -1.74352+1.52789*ii, 1.0474+1.24295*ii, .270679+.116415*ii, -.233738-1.37913*ii, 2.31608+.445422*ii
-3.04155e-66+2.36462e-67*ii, .422375+1.34112*ii, 1.15959+2.37427*ii, -2.29507e-67+7.92843e-67*ii, -2.29507e-67+7.92843e-67*ii, 4.35832e-67+2.921e-67*ii, 1.51278+4.18118*ii, -4.19521-1.69246*ii, -.002422+2.65979*ii, -2.45913+.462374*ii, 2.31895+3.05107*ii
2.46103e-44+1.22614e-45*ii, -.415864-.128892*ii, .185872-.346635*ii, 1.78666e-44-4.99213e-45*ii, 1.78666e-44-4.99213e-45*ii, 5.74532e-44-2.60116e-44*ii, 1.35847+1.12132*ii, -1.16134+.488192*ii, -.301367+.282815*ii, .012024+1.64605*ii, .259068-.45814*ii
1.2762e-62-4.86173e-63*ii, 3.97512+.057239*ii, .586046-5.35747*ii, 2.18778e-62+2.58279e-63*ii, 2.18778e-62+2.58279e-63*ii, -4.4414e-116-4.4414e-116*ii, 2.52792+3.32417*ii, -3.56953+2.34958*ii, 1.33851+2.7282*ii, -.031308+2.48523*ii, -3.39554-2.20581*ii
1.21543e-62+1.45852e-62*ii, -1.4631+1.0048*ii, -.205902-.800876*ii, 3.88938e-62+1.16682e-61*ii, 3.88938e-62+1.16682e-61*ii, 5.88621e-196+1.60533e-196*ii, -.825247-1.06898*ii, -1.42735+.219659*ii, 1.38343+1.50805*ii, .0167072+.215235*ii, 1.78651+1.15487*ii
1.18383e-62+9.48037e-62*ii, -1.38427+2.56771*ii, -5.90147-4.0853*ii, 3.50045e-61+8.5080e-63*ii, 3.50045e-61+8.5080e-63*ii, 1.25673e-86+1.2567e-88*ii, 1.18453-5.9569*ii, -5.2089-1.76954*ii, -.370225-5.21447*ii, -5.77369+3.10937*ii, -1.15888+5.15969*ii
1.44132e-83-2.01784e-82*ii, -3.28966-1.41131*ii, -1.24982+1.32509*ii, 1.49557e-31+3.28602e-31*ii, -3.96362e-83+4.73575e-83*ii, 9.0597e-83+1.06426e-82*ii, -3.48867+1.53033*ii, .411393-.278504*ii, 1.86599+.533507*ii, -1.70684+.55834*ii, -.88044+2.72905*ii
3.42114e-49-1.25494e-49*ii, -.897084-.704372*ii, -1.28936+.137592*ii, -2.73691e-48-1.36846e-48*ii, -2.73691e-48-1.71057e-48*ii, -1.30642e-198+2.09027e-199*ii, -.731133+1.69031*ii, -.100074+1.60271*ii, 1.11383-.748111*ii, .0934368+.450623*ii, 1.49093-2.47889*ii
-6.88962e-32-2.20993e-31*ii, -.258634-.652074*ii, -.118781-1.30848*ii, 2.37651e-31-7.62357e-32*ii, 2.37651e-31-7.62357e-32*ii, -1.186e-81+2.30611e-82*ii, .007614-.927461*ii, -.543897-.838325*ii, .515674-1.16875*ii, .429966-.811258*ii, 1.13588-.142554*ii
-1.53332e-111+1.62428e-112*ii, 5.37878-2.03541*ii, -8.56839+2.99913*ii, 5.01972e-32-4.9272e-31*ii, -1.24745e-111-9.48581e-112*ii, -1.46185e-113-1.54307e-113*ii, .789674-.739312*ii, .478827-1.19195*ii, .803058-2.62924*ii, -2.21024+3.04807*ii, -7.58118-5.01784*ii
-3.29688e-31-1.03797e-30*ii, .913905+3.07604*ii, 1.49917-2.61268*ii, -2.8516e-31-7.70448e-31*ii, -2.79601e-31-8.0775e-31*ii, -3.31629e-75+1.40942e-74*ii, 1.27368+.032727*ii, -1.28012-.756827*ii, -1.62415-2.66853*ii, -1.18918-1.85176*ii, 1.56806+1.33519*ii
8.32419e-32+3.27497e-32*ii, 2.64512-1.66653*ii, .847512-1.65983*ii, 7.97651e-32+3.76992e-32*ii, 7.97651e-32+3.76992e-32*ii, 2.2912e-151-4.39147e-151*ii, 1.01166-.067561*ii, -2.83517-.075278*ii, .537529-1.05407*ii, -.627577-3.56241*ii, .229535+2.69628*ii
1.69577e-59+2.24029e-59*ii, .969392-6.18984*ii, 1.33558-.158239*ii, -1.71133e-60-1.41574e-59*ii, -1.71133e-60-1.41574e-59*ii, 4.66726e-60+1.49352e-59*ii, -1.94241+.823322*ii, -1.27153-.749701*ii, 3.01328+.45055*ii, -.216219+2.09065*ii, 1.9027-.24258*ii
-4.56696e-63-4.86173e-63*ii, 1.25163+1.89656*ii, 2.8938-5.23446*ii, -4.55921e-31+6.74591e-31*ii, 9.72346e-63+2.18778e-62*ii, 1.82415e-116+1.62587e-116*ii, -4.39107+1.70888*ii, 3.5394-3.76379*ii, -2.3153-.311024*ii, .789349+2.32927*ii, 1.68449+1.02433*ii
1.5009e-31-6.20913e-32*ii, -.690315+.673056*ii, .929272-.055644*ii, 7.87724e-32-5.70022e-32*ii, 7.87724e-32-5.70022e-32*ii, 1.76187e-67+1.9937e-67*ii, 1.62489+.387588*ii, 1.48139+1.55123*ii, -.00165+1.34297*ii, -2.50201-.38059*ii, .038083+.596212*ii
-3.28077e-33+2.38609e-32*ii, 2.53163-.572326*ii, -.259099+.358455*ii, -9.17301e-33-1.74781e-32*ii, -9.17301e-33-1.74781e-32*ii, 2.21086e-73-8.84344e-74*ii, -.993122-.708926*ii, -1.20264+.97686*ii, 2.26639-.591505*ii, 1.56377+.889749*ii, -.140944+.607383*ii
-2.51709e-56-2.45336e-56*ii, -3.01218+1.34241*ii, -5.67691-5.04556*ii, 3.27704e-57+7.64684e-57*ii, 3.27704e-57+7.64684e-57*ii, -5.3269e-58+6.32258e-58*ii, -4.26518+1.58821*ii, -2.89781+4.2152*ii, -1.23465+2.36213*ii, -.653161+3.78684*ii, 1.09112-.917723*ii
1.79202e-63*ii, .500616+.6426*ii, .382014+.267585*ii, -2.49268e-32+1.56896e-31*ii, -4.86173e-63, -2.21086e-75*ii, -.624655-1.1676*ii, 2.62567+1.9787*ii, -.285946+.208355*ii, -.910987+.834736*ii, -.371654-1.25114*ii
-2.27104e-31+2.64566e-31*ii, .130888+1.58053*ii, -.30865-.505302*ii, 1.3052e-31+1.18246e-31*ii, 1.3052e-31+1.18246e-31*ii, 1.92679e-45+2.07905e-45*ii, .052943+1.97905*ii, .860039+.400968*ii, -1.13206+.833234*ii, -.0793786-.419855*ii, -.848305-.479245*ii
-2.06054e-31-6.31029e-32*ii, .976416+.488182*ii, .504725-.162737*ii, -1.13383e-31-1.99658e-32*ii, -1.49116e-31-6.48333e-32*ii, 1.43706e-74+4.42172e-75*ii, 1.31689-.149384*ii, 1.6545-.682837*ii, -1.97637+.806095*ii, .44963-.417208*ii, .547191-1.11846*ii
2.01113e-31-1.51029e-31*ii, .98331+.112101*ii, -.472979+1.21158*ii, -4.47759e-32+1.53192e-31*ii, -4.47759e-32+1.53192e-31*ii, -2.90175e-75+3.73082e-75*ii, -1.2618-.944012*ii, .356587+.147306*ii, -.252542+.703755*ii, -1.016-.262964*ii, .654724-2.07808*ii
1.35835e-71-9.05568e-72*ii, 2.95564-1.42652*ii, .74084-1.80826*ii, 1.01876e-71-1.69794e-72*ii, 1.01876e-71-1.69794e-72*ii, -4.95232e-73+5.6598e-72*ii, 2.64486-2.17215*ii, -1.29419+2.85313*ii, -2.51826+1.75454*ii, 2.33416-.331918*ii, -4.30164-.223264*ii
3.19051e-63-7.5965e-65*ii, -1.10244-1.58452*ii, .833977-.723689*ii, 3.6463e-63-2.43087e-63*ii, 3.6463e-63-2.43087e-63*ii, 1.64386e-193+1.43837e-193*ii, -.904317+1.12702*ii, .526941-.467113*ii, .303941+2.15383*ii, -.924013-.918038*ii, -1.45107+.752914*ii
3.78413e-31-3.08361e-31*ii, -.248254-.769762*ii, .498053-.202969*ii, 2.23365e-31+3.41355e-31*ii, 2.23365e-31+3.41355e-31*ii, -1.03659e-203+1.38335e-203*ii, -.124606-1.1901*ii, .607126+1.05754*ii, -.857065-2.11367*ii, .379542-.326152*ii, .93591+.151961*ii
4.86173e-63+1.70161e-62*ii, 1.10387-.236071*ii, 2.13483-1.47134*ii, -3.88938e-62-9.72346e-62*ii, -3.88938e-62-9.72346e-62*ii, 5.74825e-199-1.77673e-198*ii, -1.43262+1.70382*ii, .349944-.774132*ii, 3.86254+1.15871*ii, 1.57888+5.80612*ii, -2.31363-2.12347*ii
-3.83523e-93+2.68466e-92*ii, .790928+.015062*ii, .107087-.130158*ii, -1.34233e-92*ii, -1.34233e-92*ii, 8.97765e-190-1.18243e-189*ii, .65969-2.11936*ii, .524321+1.28886*ii, 1.85068+1.52846*ii, 1.5154-.953383*ii, -.36575-.731331*ii
