variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt*F-1
.9989*c^2*F0^2-.9976*c^2*F^2-1.0057*F0^2*v^2
points:
-4.20077-.459805*ii, .932821-1.76536*ii, -.893825+.926486*ii, -2.33429-.407727*ii, -2.36446-.759367*ii, -.305615-.156524*ii, .233987+.442818*ii, -3.22841+1.38851*ii
-4.01275+.020584*ii, 1.02131-1.78203*ii, -1.06487-.174136*ii, -2.23649-.531891*ii, -2.00179-1.34597*ii, .200064+.214168*ii, .242091+.422413*ii, -2.68637+1.9602*ii
2.20917+1.46215*ii, -2.47895+1.54449*ii, 1.81059+1.27639*ii, 2.63934+.530222*ii, .342489+3.3695*ii, -.273884-.152167*ii, -.290594-.181052*ii, 1.56184+.288987*ii
-.641022-.065498*ii, -1.01575-.474419*ii, .512626-.662537*ii, .726835-.324603*ii, -.349675-.0246703*ii, -.172339+.148616*ii, -.808189+.377475*ii, -.472508+1.24359*ii
-.579902-.307041*ii, -1.18467-.342945*ii, 1.11222+.709433*ii, .813751+.015102*ii, -.49383+1.03659*ii, -.772729-.222622*ii, -.778848+.225465*ii, -.968214+.685268*ii
-.310759-1.09031*ii, .485172-.226153*ii, .857773+1.78956*ii, -.229046-1.08375*ii, .513778+.497472*ii, -.767754-.095372*ii, 1.69323+.789263*ii, 1.4548-.668619*ii
.135839+.610518*ii, -.70421+.028740*ii, -.651079+.685751*ii, .136495+.462808*ii, .031618+.983883*ii, .919677+.063713*ii, -1.41767-.057858*ii, 1.14387-.093126*ii
.515044+.23197*ii, -.617336-.380314*ii, 1.4832+.769244*ii, .453414+.53233*ii, -2.24575+1.0755*ii, -1.09153+.477443*ii, -1.17422+.723384*ii, 1.33132+1.0515*ii
-18.072+1.80971*ii, -5.94367+.056275*ii, 21.6171+4.46034*ii, -3.71498-1.02602*ii, 20.7467+12.6622*ii, .166533+.0064464*ii, -.168231-.0015928*ii, -.635953-5.97637*ii
.836347-.85912*ii, -.650149-.544987*ii, 2.93081-1.18906*ii, -.740883+.433752*ii, .355483+.472552*ii, -.119792+.281887*ii, -.903355+.757237*ii, -2.19953+.321573*ii
-6.38963+16.2835*ii, -5.59736-13.7772*ii, 3.53831-9.6183*ii, 4.00385+5.71753*ii, 2.84054+4.68695*ii, -.0250592+.0563898*ii, -.0253113+.0623005*ii, 1.79492-1.64649*ii
-1.03695+1.0331*ii, -.338242-.159138*ii, -.414032+.303645*ii, 1.03726-1.04768*ii, -.200336+.551976*ii, .100939-1.55406*ii, -2.42064+1.13888*ii, -.041126-1.10666*ii
10.6503+7.06985*ii, -3.65451-1.52471*ii, 16.4166-5.40022*ii, -9.45929+.70238*ii, -2.94236+5.82539*ii, 2.86848-10.2688*ii, -.233066+.0972377*ii, 2.93101-5.80684*ii
.668384+.597547*ii, .241561-.349069*ii, -1.28743-1.06958*ii, .659912+.596138*ii, -.506331-.124445*ii, 2.39601+.599239*ii, 1.34051+1.93711*ii, .576322-.091198*ii
.611614-.383314*ii, 1.82529-1.2426*ii, .028079+.400012*ii, -.35981+.0604345*ii, .021605+.57925*ii, -1.18225+.7789*ii, .374361+.254854*ii, .042353+.597457*ii
-1.43026-2.83329*ii, -.881854-2.6731*ii, 1.00291-3.66889*ii, .588366+1.31044*ii, .332966+2.001*ii, -2.01247+2.42023*ii, -.111301+.33738*ii, .321606+1.98638*ii
-.756937-.498072*ii, -.264802-.0636009*ii, .077258+1.12885*ii, .774248+.512272*ii, .057045+.777683*ii, 1.44117-1.01627*ii, -3.57043+.857556*ii, 1.37123+.578789*ii
6.95804-3.3361*ii, 3.56009+1.17078*ii, -3.48958-2.06975*ii, .286735+6.64413*ii, -2.93547-4.33801*ii, -7.0848-1.26635*ii, .253478-.0833597*ii, -2.92194-4.32336*ii
-.742099-.905464*ii, -.504929-.791199*ii, -1.22243-.976961*ii, -.73957-.58611*ii, .200587-2.01342*ii, 1.39774-1.4429*ii, -.573165+.898121*ii, .300614-1.71998*ii
1.4942-2.5859*ii, -1.92116+1.75354*ii, .053981-1.69958*ii, 1.07054+.000391*ii, .658076+2.27479*ii, -.970283+.047158*ii, -.283953-.259179*ii, -.834831-2.22391*ii
-.043711-2.48953*ii, -5.50575+2.36497*ii, .694478+2.08132*ii, -2.26348+4.18721*ii, -.112804-3.69244*ii, .14198+.072103*ii, -.153336-.065865*ii, -1.28798+.765732*ii
.0375296-.397942*ii, -.209516+.534004*ii, -.361498-.958702*ii, .0246374-.380486*ii, -.317281-.163712*ii, -.073007-1.13801*ii, -.636717-1.62283*ii, .0072485+.453806*ii
-1.00388+1.11681*ii, -.326435-.163816*ii, -1.12425-1.02129*ii, -1.00397+1.16947*ii, -.494269+.391364*ii, .419232-.645813*ii, -2.44712+1.22805*ii, .227465+2.18017*ii
-.175071-.181561*ii, -.047585-1.2673*ii, -.224516-.642225*ii, -.748774+.732266*ii, -.0417188+.347939*ii, -.0985783-.127856*ii, -.029587+.787965*ii, 1.14093+1.25876*ii
-.442012-1.08399*ii, -1.05056+.474417*ii, -1.48077-4.37448*ii, .451251+.275924*ii, 1.04632-.545742*ii, -.19265-.490397*ii, -.79064-.357042*ii, 1.97024+.276243*ii
-.594759-1.26267*ii, -.484982+.776164*ii, .207577+2.01864*ii, .55346+1.49259*ii, .88864+.489147*ii, .416046+.351554*ii, -.578987-.92661*ii, -1.43362+1.12892*ii
-.438585-2.63637*ii, -6.12912+.216129*ii, -5.40668-1.46078*ii, 1.46485-2.32664*ii, -4.22177-3.04926*ii, -.16064-.0035965*ii, -.162953-.0057462*ii, .859669-.548042*ii
-6.80331+.338766*ii, -14.6632+1.79605*ii, 5.63606-16.5195*ii, -6.58854-24.4033*ii, -.45152-3.51719*ii, -8.55935+9.8477*ii, -.0671897-.0082298*ii, -.450036-3.50529*ii
.01938+4.38136*ii, 2.63053+2.242*ii, .684229-5.0644*ii, 2.61435-2.09135*ii, 1.07338-.963119*ii, .0684697+.150417*ii, .220197-.187674*ii, 1.67736-2.30991*ii
-1.26746+.617767*ii, 1.80634-2.80704*ii, -8.79949-.20049*ii, 4.13923+4.76908*ii, -1.13288+3.69828*ii, -3.67599+1.41817*ii, .162115+.251926*ii, -1.12783+3.6968*ii
.535369+.916459*ii, .192035+1.01524*ii, .319938-.903888*ii, .65507+1.08484*ii, 1.25825-.67798*ii, -1.25378+1.6075*ii, .179877-.950966*ii, -1.24156+.510871*ii
.265713-.362768*ii, -.321173-.457139*ii, -.462792+1.31454*ii, -.320753-.181273*ii, .077374-1.86488*ii, -.93222+.829297*ii, -1.02898+1.46459*ii, -1.93119+.756652*ii
-1.79179-1.49832*ii, -2.7431-3.92225*ii, -6.52706-3.00726*ii, -2.01341+4.29608*ii, 6.39341+3.3607*ii, -.128956+.167875*ii, -.119741+.171213*ii, .996161+1.9467*ii
-1.07084+.210561*ii, .307292+.257013*ii, 1.19778+1.2596*ii, 1.01623-.151167*ii, -.567338-.308832*ii, -.434003-.692772*ii, 1.91478-1.60148*ii, 1.92062+.755506*ii
-2.96817-5.09037*ii, 2.44613-1.40866*ii, 2.99401-.368942*ii, 1.4683+1.32252*ii, 3.97589+.129927*ii, -2.25498+2.51538*ii, .306999+.176792*ii, 3.98257+.121371*ii
-1.83253-.247291*ii, -1.05446-.15429*ii, -1.70306-1.50642*ii, 1.80616+.214901*ii, -.164287+.693296*ii, 1.36337+1.15622*ii, -.928474+.135856*ii, .259896-.687045*ii
1.67942+1.2631*ii, 2.6843-2.24161*ii, -9.49946-4.39997*ii, 5.7991+7.05862*ii, 2.11571+3.79763*ii, .0555654+.249519*ii, .21948+.183284*ii, .105822-5.09979*ii
-28.8442+.20103*ii, -7.89859+5.13739*ii, 12.2471+13.6005*ii, -9.96318+16.8329*ii, 4.64305-5.1784*ii, 23.3233+4.67705*ii, -.0889676-.0578662*ii, 4.62725-5.16086*ii
.539682-.505791*ii, .474983-.119615*ii, .889155+1.66826*ii, .533655-.495386*ii, -.479728-1.28047*ii, 2.14238+.426239*ii, 1.97979+.498569*ii, .328923+.431335*ii
-15.6297+21.2078*ii, 17.6659+10.7504*ii, -2.65839+17.0928*ii, -11.4389-2.50614*ii, -2.7307-.065259*ii, -2.21081-9.6725*ii, .0413089-.0251381*ii, 2.72148+.065019*ii
-.953308+1.17906*ii, -.22859+.384558*ii, 3.4169+7.80184*ii, .737988-.784172*ii, .280108-4.19042*ii, 3.32725-2.01631*ii, -1.14216-1.92146*ii, .332059-4.81493*ii
2.21574+3.60192*ii, -3.22222-1.34437*ii, 2.2549+4.58993*ii, -.756046+2.22607*ii, -1.16299+2.26127*ii, 1.78781+1.03624*ii, -.264333+.110284*ii, 1.18284-2.24878*ii
-.783297+.275099*ii, 1.10698-1.19327*ii, -.605467+2.93674*ii, -3.31229-.837509*ii, -.105912+2.02663*ii, .312389-.0340851*ii, .417837+.450409*ii, 1.88974+3.69784*ii
.151795+.882849*ii, -.300694-.445002*ii, -1.17253-1.03673*ii, -.194476-.973402*ii, .057859-.977611*ii, .404574-.881634*ii, -1.04247+1.54277*ii, -1.55521-.450247*ii
.179101+1.76588*ii, .665292-.955715*ii, -1.42571+.80853*ii, .282206-1.61069*ii, 1.68403-.72092*ii, .069133+.650306*ii, .490627+.704802*ii, -2.06512-.765081*ii
-.0459152+.100131*ii, -.576145+2.28346*ii, -1.13112+3.14542*ii, .777115-1.37698*ii, .411722+.876017*ii, -.186797-.207705*ii, -.103882-.411722*ii, 1.29208+.3535*ii
-.777186-3.68441*ii, -1.6343+4.29908*ii, 3.0242-1.13149*ii, 3.33778-7.32512*ii, -3.3872-.596418*ii, -5.23358-8.72892*ii, -.0772608-.203237*ii, 3.37505+.594004*ii
-1.3425+.630978*ii, .693042-2.20014*ii, -1.8477+1.07689*ii, -2.0684+.785648*ii, -1.18963-4.09638*ii, .15258+.427296*ii, .130249+.413489*ii, -.818768-1.17912*ii
-6.22964+.72627*ii, -.196547+2.11869*ii, -.555052-1.27664*ii, -4.27544+1.16464*ii, -4.35446+.310241*ii, 1.31398+9.87458*ii, -.043412-.467963*ii, -4.33488+.309232*ii
1.39513+3.64388*ii, -1.44024-1.30301*ii, .750735-2.51358*ii, -.261317-.114342*ii, -1.98638+3.66956*ii, .938381-1.54907*ii, -.38181+.345432*ii, -1.82835+3.57807*ii
.0994848-.125095*ii, 1.57925-.725903*ii, .971124+.569873*ii, .431803+.16859*ii, -.462013+.390433*ii, -.38009-.182351*ii, .522764+.24029*ii, .376108+.414213*ii
21.1654+12.7631*ii, -1.46432+.067602*ii, -12.7652-14.8654*ii, 11.151+6.99526*ii, 9.29131+4.96201*ii, .235369-.0080793*ii, -.68146-.031460*ii, 15.6866-23.8494*ii
-.336968+1.16239*ii, -.069979+2.39771*ii, -.237762-1.31028*ii, -.771268+.499191*ii, 2.73692-1.18568*ii, .0273907+.397546*ii, -.0121621-.41671*ii, .026184+1.04882*ii
-4.62651-1.75259*ii, -1.68097-13.582*ii, 3.23411-13.4697*ii, 10.2473-.94399*ii, .103526+1.40923*ii, 6.57459+4.89377*ii, -.0089749+.0725162*ii, -.103226-1.40448*ii
-.152978-.57779*ii, .983124+.314769*ii, -2.00705+1.20961*ii, .303564-1.3655*ii, 2.41071+.024757*ii, -.630277+.194811*ii, .922591-.295387*ii, .022079+2.58084*ii
-.373848-1.27257*ii, 1.64694+1.06546*ii, -.60199-.017830*ii, -1.60578-.613651*ii, -1.7394+.920416*ii, -1.49979-.546592*ii, .428041-.276916*ii, -1.80373+.847342*ii
-5.54045-5.65771*ii, 2.23866+2.33815*ii, -5.62253+.668955*ii, -2.26789-4.35209*ii, .674325+4.09346*ii, 6.74466-5.925*ii, .213642-.223137*ii, .671235+4.07729*ii
-.486138+.139241*ii, -.435865-2.23953*ii, -.92555+.66143*ii, .010993+.767747*ii, .997977-1.32935*ii, -.115432+.396536*ii, -.083732+.430226*ii, -.790158-.078398*ii
-14.0464-12.791*ii, 5.73115+1.32196*ii, 9.16816-5.69122*ii, 8.78464+9.40455*ii, -19.9887-8.19925*ii, -.16152+.0377038*ii, .16567-.0382138*ii, 2.06558-4.33263*ii
-1.31918+.981956*ii, -1.59548+.355892*ii, .318123+.489227*ii, -1.34552+.566259*ii, .862301+.862905*ii, -.516968+.901593*ii, -.597064-.133183*ii, -1.05118-.90363*ii
-.235011+.991498*ii, .104814-.766592*ii, -2.72573+1.53909*ii, .127655-.942614*ii, -.480079+1.50971*ii, .246769-1.78844*ii, .175084+1.28054*ii, -.628029+1.07545*ii
1.42767-.748105*ii, .581568-1.24764*ii, .735221+1.17567*ii, -1.25347+.652298*ii, .701142-.846889*ii, 2.11823+.245262*ii, .306924+.658445*ii, -.675153+.902038*ii
-.954693-.357356*ii, -.495118-1.25435*ii, .519772-1.16701*ii, .961437+.147826*ii, -1.32858+1.12969*ii, .185387-.646178*ii, -.272263+.68976*ii, -.249872-.922668*ii
5.18018-21.742*ii, -4.39374+.744204*ii, -.77535+15.6282*ii, .242138-4.24175*ii, 9.07707+3.93728*ii, -3.97959+2.60728*ii, -.221249-.0374747*ii, -9.04993-3.9136*ii
1.62216+.141071*ii, 4.99415-4.48755*ii, 10.1247-.08380*ii, 6.15011+3.22032*ii, -.671281-1.92169*ii, 6.92459+5.87766*ii, .110785+.0995471*ii, .668932+1.91492*ii
-1.15178+.515093*ii, -2.31143+.905386*ii, -1.42252+1.84503*ii, .506825+1.5359*ii, -.046973+1.62875*ii, -1.34024+1.49909*ii, -.375084-.14692*ii, -.026578+1.64841*ii
-3.77928-2.31322*ii, -1.30685+1.12412*ii, 5.60727-6.97839*ii, -6.19862+8.38256*ii, -2.48213-5.21364*ii, .201254+.119529*ii, -.439794-.378299*ii, -12.7629+3.08331*ii
-.227124-1.40686*ii, .515163-1.62875*ii, -.147408+1.80822*ii, -.730676-1.01769*ii, -.712993+1.74069*ii, .412162+.533086*ii, .176534+.558132*ii, -.057346-1.50691*ii
.702237-.805583*ii, -.12955-.448223*ii, -3.28194+1.67012*ii, .699585-.804899*ii, -.297747+.117482*ii, 4.15194-1.89487*ii, -.595119+2.05902*ii, -.315761+.0880636*ii
6.33622-11.878*ii, -.136274-.0741398*ii, -11.7056-21.9574*ii, -6.33924+11.8828*ii, -.378623-4.34485*ii, -7.53212-6.21554*ii, -5.6622+3.08052*ii, .130347-5.04472*ii
11.8776-1.70832*ii, -4.68976-1.78029*ii, 2.94495-6.76222*ii, -6.4239+12.892*ii, -.958598-6.75806*ii, 2.16511+7.39204*ii, -.186373+.0707496*ii, -.956017-6.73735*ii
-1.14959-5.66468*ii, 4.7623-1.873*ii, 2.91595-.986*ii, -3.9162-.136454*ii, -2.62665-.665663*ii, 3.50959+.849186*ii, .181853+.0715224*ii, 2.61433+.661434*ii
-.926971-5.93682*ii, 2.85336+2.25314*ii, -2.15683+1.48295*ii, -4.51085-.456117*ii, -.14488+.313527*ii, .020486+.0110095*ii, .215864-.170456*ii, 3.03553-2.72343*ii
.485917+.043475*ii, .162185-1.30487*ii, -.345969-.150396*ii, -.473863-.0317984*ii, .493746+.307388*ii, .122454+.789582*ii, .093803+.754698*ii, .184684+.0571768*ii
9.03395-.03688*ii, .78097+10.284*ii, 4.06715+12.4138*ii, .10814+13.3182*ii, -2.8344-9.50216*ii, -.0042308+.0932665*ii, .0073419-.0966807*ii, 3.11338+.214999*ii
.062978+.63085*ii, -.0284174-.440403*ii, 1.70044-1.91093*ii, -.157649-.605907*ii, 2.03928+.299987*ii, -.213616-1.88464*ii, -.145908+2.26123*ii, .939889-1.28164*ii
-7.94552-10.9398*ii, 4.11962-1.52169*ii, -.343673-7.19622*ii, 6.28362+4.18613*ii, -4.77048-6.5293*ii, .194145+.0407335*ii, .213598+.0788979*ii, -5.41632+.786704*ii
-.314969+1.68232*ii, .694232-.590273*ii, -1.1011+3.05877*ii, .191085-1.63015*ii, -.177545-.426819*ii, -.170738+.316469*ii, .83604+.710846*ii, -.29878-1.44239*ii
-.752738+.839678*ii, .277694-.225717*ii, -1.60041-1.96507*ii, -.706122+.770411*ii, .389071-.556798*ii, .789766-.011466*ii, 2.16843+1.76256*ii, .528794+2.32089*ii
4.38714+3.51972*ii, -.63238-2.05437*ii, .740253+1.37726*ii, .22626-.409228*ii, -.146017+2.25136*ii, -.100045-.175474*ii, -.136869+.444636*ii, 2.95244+4.34159*ii
1.05554+2.87846*ii, 1.40261+1.2736*ii, 1.62608-2.58661*ii, -.742151-2.86856*ii, 1.32635+1.47573*ii, -.472819+.236719*ii, .390767-.354825*ii, .126921+1.44497*ii

