variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
83.0242-35.9996*ii, -45.0062+133.97*ii, -83.0296+36.002*ii, -169.791+1.6633*ii, -.00225329-.00670738*ii, 130.935+42.4913*ii, -60.8908+5.19092*ii, -.07007-.821905*ii, 2.00258e-18-1.11287e-19*ii, -21.9971-85.2552*ii, -3.26923e-18-3.21778e-18*ii, -82.816+22.2798*ii
-.893309+2.53042*ii, -2.33762-4.66917*ii, .893225-2.52966*ii, 3.8497-6.17341*ii, -.0857351+.171248*ii, -5.34414+3.05598*ii, .170427-.0394791*ii, .00372377-.00137593*ii, 4.0947e-16-1.23656e-16*ii, 2.44519+1.08383*ii, 1.17669e-15-4.07959e-16*ii, 1.11656-2.94904*ii
-1.42096+.246929*ii, -.684346-.033908*ii, -1.20347+.243169*ii, 2.74137-.332166*ii, -1.45767+.072224*ii, -.359415-.0435701*ii, -.260758+.01343*ii, .137923+.0027120*ii, 1.01329+.861887*ii, -.260152-.504958*ii, 2.02876+1.49074*ii, -.118152-.27591*ii
-86.7483+30.3801*ii, 54.5419-135.175*ii, 86.7539-30.382*ii, 170.815+4.7597*ii, .00256705+.00636206*ii, -132.286-49.0601*ii, 63.9497+2.98518*ii, .040291-.863195*ii, 5.97018e-19-1.98674e-18*ii, 15.8405+88.4288*ii, 4.68778e-18-3.0871e-18*ii, 85.1241-17.7547*ii
-7.4512-3.08336*ii, 4.45779+39.081*ii, -7.94754-2.44849*ii, -.0398428-.040004*ii, .0028812-.0252592*ii, 16.7928+6.10885*ii, -65.9183+27.4731*ii, 28.1832+15.4885*ii, -6.82466e-19+3.97619e-19*ii, -4.30758-42.1579*ii, -8.6654e-20+1.08172e-18*ii, -18.0133-6.79356*ii
-1.04437-.111334*ii, -1.54397-.497935*ii, 1.0759-.059304*ii, -.489188+.948435*ii, -.586664+.189201*ii, .429341+.833086*ii, .177889+.458804*ii, -.114085+.260331*ii, .750064-.387391*ii, .234803+.198358*ii, -.447292+1.39113*ii, -.015319-.176912*ii
-3.23142-4.59253*ii, -.567504+.156257*ii, 2.93664+.624601*ii, -1.66899-.213085*ii, -1.63793-.450987*ii, .589589-.075256*ii, -1.12532-1.2321*ii, .949026+1.39193*ii, -.595162-.035802*ii, .694816+1.48884*ii, .588503-.048155*ii, -.482212-1.58741*ii
.0192822-.0277394*ii, .416644-.545365*ii, .183515+.116254*ii, .128382+.183441*ii, .884565+1.15785*ii, .879741+1.50058*ii, -.026061-.0707948*ii, -.188673-.453212*ii, 3.73068e-17+6.76193e-17*ii, -.305688-.723626*ii, -1.40657e-17+1.64748e-18*ii, 1.99084-.022991*ii
-1.63611-.610344*ii, .561166+.518101*ii, .38193+.218275*ii, -1.00189+.905239*ii, .961994-.888169*ii, .472277+.0931569*ii, .297995+.573825*ii, -.294885-.553205*ii, -5.47811e-17-8.61261e-17*ii, .327468-.900116*ii, -1.17332e-16+5.29387e-17*ii, -.121027-.591436*ii
1.77408+1.93535*ii, 15.8744+4.82789*ii, 2.05569+2.42421*ii, .0353052+.0800195*ii, .0576611-.0175365*ii, 4.61652-10.4649*ii, 14.2172-4.81345*ii, -2.11822-10.1256*ii, -5.43878-6.04098*ii, -7.69158+3.28666*ii, 7.75379-8.88374*ii, 1.61341+5.53566*ii
5.29559-19.044*ii, -70.5389-19.2684*ii, 5.12438-19.2214*ii, .0220538-.0836978*ii, -.0131922+.00360358*ii, 2.90775+11.2101*ii, 114.257+1.7024*ii, -8.77027-15.8184*ii, 6.86382-8.29801*ii, 21.887+62.3223*ii, 23.906+63.6542*ii, 6.83981-7.91569*ii
-.0612303+.11686*ii, .171391-.397447*ii, .562942-.407967*ii, -.281396+.342376*ii, .914871+2.12154*ii, 1.43297+1.74349*ii, .145717-.0303458*ii, .207261-.747747*ii, -.172747-.263573*ii, -.158173-.413417*ii, -.0297645+.0526024*ii, 2.29396+.254039*ii
-1.77482-.472892*ii, 1.00387+.499943*ii, 1.4829+.360417*ii, -1.39273+.780387*ii, .798179-.397504*ii, .546328+.306148*ii, -.412461-.400868*ii, -.219129-.234775*ii, -.151502-.603492*ii, .45717-.876813*ii, -.323606-1.06621*ii, .278835-.476622*ii
2.70577-7.11121*ii, 3.45293+4.5974*ii, -2.70396+7.11242*ii, -1.02235-7.30575*ii, .104448-.139067*ii, .0455095-.133031*ii, .433697+.279387*ii, .0007067+.012449*ii, -.16099-.0872454*ii, -2.64042-.327743*ii, 6.65167-3.43904*ii, .0296694+.0579045*ii
1.81209+1.95283*ii, 15.9858+4.79497*ii, 2.09542+2.44488*ii, -.0352212-.0799332*ii, .0573918-.0172148*ii, 4.61743-10.4807*ii, 14.4126-4.9853*ii, -2.17536-10.2343*ii, -5.50839-6.09727*ii, -7.70952+3.36977*ii, 7.8281-9.06098*ii, 1.64273+5.53516*ii
-.691876+.905345*ii, .250736+.295646*ii, .691283+.9891*ii, .932893-1.55581*ii, 1.66851-1.96736*ii, .283504+.472826*ii, -.312066-.0352255*ii, -.429688-.121545*ii, .940501-1.21423*ii, -.10976-1.69559*ii, .513745-.949931*ii, .237936-2.40472*ii
4.77081-4.34661*ii, -11.1374-10.7988*ii, 4.77069-4.34649*ii, 3.42861-3.32434*ii, -.0462793+.0448725*ii, 37.1917+1.87442*ii, -4.51871-30.2454*ii, -.00266162-.000082565*ii, 4.72637e-16+1.66451e-15*ii, -10.8769+3.79886*ii, -9.18348e-16+2.60765e-16*ii, 13.6259-24.0669*ii
-1.05967+3.94178*ii, -3.83141-6.36345*ii, 1.05965-3.94168*ii, 5.13086-8.54914*ii, -.0694432+.115336*ii, -6.95461+4.5642*ii, .646005-.903007*ii, .000779004-.000215275*ii, 3.34475e-19+1.78152e-20*ii, 3.78195+1.44645*ii, -1.3606e-19+1.19969e-19*ii, 1.4543-4.29513*ii
-8.6438-2.46479*ii, 9.80349-14.8398*ii, 9.1597+2.15831*ii, .150101-.0249452*ii, .0309914+.0469126*ii, -4.85339-4.3576*ii, 26.6935+12.6539*ii, .26256-10.9172*ii, -9.04265e-17+7.25211e-16*ii, -7.67561+15.7386*ii, 2.03909e-16-1.58696e-16*ii, 5.29435+3.6343*ii
.935999-.883154*ii, .245555+2.51212*ii, -.905587+.97331*ii, .792146+.646169*ii, .0385424-.394303*ii, .758772-.618084*ii, -.081863+.624127*ii, -.21909+.107414*ii, .013652-.807265*ii, -.67584-1.20934*ii, 1.71505+1.181*ii, -.245682+.477667*ii
-2.48737-2.97115*ii, -.246544-.263923*ii, 1.697+.958437*ii, -1.84246+2.42429*ii, -1.89011+2.02334*ii, -.198714-.26148*ii, .141288-.620349*ii, -.184956+.548091*ii, .120867+.621404*ii, .670047+1.98656*ii, .201492+.666371*ii, .423076+1.8589*ii
.755334+.705533*ii, -.153722-.260567*ii, 1.36464+1.72917*ii, 1.64231+.581268*ii, -1.67955+2.84693*ii, -.541213+.19156*ii, .27192+.118554*ii, -.319631+.463258*ii, 1.39943-1.51119*ii, -1.08886+1.11852*ii, .922881+.571179*ii, 1.68732+2.43477*ii
-.622214-1.63469*ii, -7.22349+2.65205*ii, -.622198-1.63465*ii, -9.03754-3.31824*ii, -.121993-.0447889*ii, 5.01678+6.1742*ii, -.395683-4.40488*ii, .000234918+.000270191*ii, -1.70512e-16+2.58822e-16*ii, 4.00891-1.76545*ii, 0, -3.07134-3.32807*ii
-4.76122-6.52801*ii, 14.768-3.77744*ii, 5.12193+6.56245*ii, .137103-.16887*ii, .0635557+.0162566*ii, -2.89715-3.57521*ii, -4.75819+17.9578*ii, 5.52383-.95819*ii, -.634459+1.52993*ii, -10.6791+.38527*ii, -3.72809-4.02531*ii, 1.45136+2.88096*ii
-8.70607-2.47225*ii, 9.76289-15.0387*ii, 9.2281+2.15795*ii, -.14851+.0230712*ii, .0303689+.0467801*ii, -4.79314-4.40189*ii, 27.3599+12.5813*ii, .1098-11.1794*ii, 3.04785e-15-1.22502e-15*ii, -7.67665+16.0741*ii, 2.31798e-15+3.48254e-15*ii, 5.28962+3.71771*ii
-.013428-1.66808*ii, 1.39224+.181914*ii, -.438885+2.40035*ii, .284933+.565447*ii, .706209-.092275*ii, -.710787+1.41075*ii, -1.18111-.583266*ii, -1.05827+1.03711*ii, .469943+.681816*ii, -.076904-1.65437*ii, .433942-.594496*ii, 1.78532+.533412*ii
-7.36619+1.34174*ii, -.876338+.152812*ii, 3.10128-3.6254*ii, 1.12358-.035717*ii, -1.10744-.193111*ii, .067476+.984042*ii, -3.29349+.492309*ii, 3.32448+.18661*ii, -4.22224e-16+2.38166e-16*ii, 2.47029-1.57311*ii, 2.08459e-17+7.88683e-17*ii, -1.44998-2.90562*ii
-1.20007-.464659*ii, .345748+1.45913*ii, -1.23892-.455615*ii, 2.28927+1.36181*ii, .15376-.648904*ii, -.323361+.191915*ii, .238319-.0401429*ii, .0274349+.0540065*ii, -.255834+.573335*ii, .685376-1.70367*ii, 1.87787+1.65591*ii, .459032+.0365783*ii
-1.56455+9.84496*ii, -5.57905-10.8599*ii, 2.29452-9.53783*ii, -.185717+.0899442*ii, -.0374275+.0728544*ii, 26.6728+7.6944*ii, 13.804-19.8186*ii, -.35821-9.57808*ii, 1.40882e-15-1.37794e-15*ii, -6.70638+.598367*ii, -1.50294e-15+1.9774e-16*ii, 9.46391-12.0335*ii
1.22009-5.90055*ii, 5.37449+6.52004*ii, -1.22006+5.90039*ii, -5.57548+6.76568*ii, .0752771-.0913221*ii, 5.40544-4.48675*ii, -3.03388+4.95389*ii, .00119895-.000631187*ii, 2.76346e-16+8.064e-16*ii, -5.34303-2.32834*ii, 5.00237e-16-9.23059e-17*ii, -1.9206+4.44871*ii
-3.80249-6.40852*ii, 3.3357+2.23267*ii, 5.01818+7.32967*ii, -.137567-.3457*ii, .207036-.138575*ii, -.99438+2.49809*ii, -9.89177+1.56339*ii, 2.41139+6.2582*ii, 2.48101-.757072*ii, -.766907-3.55061*ii, -.329374-3.85841*ii, 2.21802-1.00047*ii
-.634029+.031529*ii, -.128193+.0017542*ii, .419673+1.01258*ii, -3.84865-1.07878*ii, -7.79926-.106725*ii, -.295185+.069*ii, -.0753034+.0252041*ii, .129395-.0852569*ii, 3.44614e-16+8.80847e-17*ii, -2.48196+.918826*ii, 3.09114e-16+2.43801e-16*ii, -5.26678+3.37958*ii
.285706+.363973*ii, 1.20936-1.17407*ii, .312812+.347767*ii, 1.59898-.097354*ii, .425681+.41326*ii, .468787+2.32729*ii, -.0820743-.118837*ii, -.0120718+.05211*ii, 5.58116e-17-2.17248e-16*ii, -1.05598-1.5224*ii, 2.52116e-16+1.99957e-16*ii, 2.60806-.090311*ii
1.32894-.362651*ii, -2.43039-.932557*ii, 1.08199-.246796*ii, -.615619+.183494*ii, -.358652+.137617*ii, 1.49164+.444528*ii, 1.07178+.024936*ii, -.640006+.03426*ii, .310482-1.20992*ii, -.628267+1.25833*ii, -.672901+1.9778*ii, .316857-.77896*ii
3.89391-3.19407*ii, -6.7618-9.70619*ii, 3.89381-3.19398*ii, -3.58005+5.13864*ii, -.048322+.0693636*ii, -.0615404+.0428598*ii, 4.17003+13.9302*ii, -.001525-.000430507*ii, .0716037+.0650849*ii, -4.07189+7.98784*ii, -10.2647+11.2958*ii, .0506373+.0258215*ii
3.33084+4.06828*ii, 10.2499-7.59533*ii, 3.33075+4.06817*ii, -4.66583-3.45722*ii, .0629796+.0466689*ii, -.0481584-.0649694*ii, -14.3609+7.69473*ii, .00173004+.000436658*ii, -.0587292+.0746346*ii, -9.92888-4.27625*ii, -11.772-9.26612*ii, -.0270989+.0629457*ii
-7.1899-6.81132*ii, 7.05079-1.20937*ii, 7.1897+6.81114*ii, -10.1889-1.74461*ii, .137775+.0236314*ii, .00766262+.0443202*ii, -2.04002-1.14403*ii, -.0015849-.00106221*ii, .0623373-.0128118*ii, -.740598+1.73262*ii, -2.02454-9.91751*ii, -.0108997-.00464185*ii
-.128463+.309869*ii, .108884-.873546*ii, .578598-.338944*ii, .360768-.453071*ii, .140507+1.12725*ii, 1.07576+1.35091*ii, -.278353+.0798815*ii, .269728-.499855*ii, -.0442937-.233469*ii, -.680663-.40228*ii, -.0692958+.099357*ii, 1.49782-.40281*ii
.129317+.0063584*ii, .111695+.29367*ii, -1.34666+.557656*ii, -.195778-.204935*ii, 1.13145-2.97484*ii, -1.20557-3.62274*ii, -.165697+.157208*ii, -2.39419-.920041*ii, -9.92962e-17-2.01295e-17*ii, .201957+.129228*ii, -9.69212e-17+1.11199e-16*ii, -2.38574-1.67249*ii
1.49902-.06882*ii, -1.69728-1.34724*ii, 1.44568+.322175*ii, -.640598+.027068*ii, -.361444+.286903*ii, 1.55842+.065530*ii, -1.17014+.004351*ii, -.679178+.497894*ii, .530224-1.21876*ii, -1.26588+.799025*ii, -1.59172+.935908*ii, .398516-1.00111*ii
-.352347-6.80569*ii, 4.56929+2.92694*ii, .352263+6.80884*ii, -3.77509-5.34052*ii, .155179-.0994023*ii, .0984243-.142227*ii, -.462872-.28979*ii, -.00958123+.0141114*ii, -.167521-.130326*ii, -1.95785+.15038*ii, 3.89888-5.39801*ii, .0025668+.0625364*ii
-2.99178-1.05787*ii, -.667338+.181794*ii, 1.6503-.413535*ii, -1.49077-.181443*ii, -1.39497-.380012*ii, .621881+1.13577*ii, -1.03128-.22928*ii, .950463+.361716*ii, 9.62223e-17+3.83786e-17*ii, .636775-.441094*ii, -2.26095e-16-6.22962e-17*ii, -1.08066-.96709*ii
-6.55208+3.67799*ii, 2.34021-5.10595*ii, 6.5519-3.67789*ii, 5.49542+11.9904*ii, .0741808+.161851*ii, 14.3138+8.35433*ii, 6.60864-17.5267*ii, .000091738+.0011189*ii, -3.04368e-16+2.61845e-16*ii, -1.41678-4.52278*ii, 4.81165e-16+1.17495e-15*ii, 13.6921-2.84711*ii
-.995438+1.01919*ii, .218444+.289816*ii, .799854+1.44009*ii, .848682-1.63303*ii, 1.65851-2.20039*ii, .250587+.482198*ii, .370394+.112281*ii, -.518957-.257732*ii, 1.36674-1.32368*ii, -.189398-1.57562*ii, .753514-1.02315*ii, .111618-2.37364*ii
-65.8318+103.88*ii, 270.86+116.358*ii, -65.9065+103.91*ii, -.0668223-.0713611*ii, .00311676-.00133891*ii, -737.455+140.497*ii, 173.973+620.492*ii, 23.6581+.71535*ii, 1.24468e-17+1.91043e-18*ii, 151.202-123.792*ii, -6.4042e-18+1.41388e-17*ii, -142.651+476.752*ii
-.189516-.731995*ii, -.251809-1.02618*ii, .530011+.333219*ii, -.060093-.869494*ii, -.225544+.919143*ii, -.806223+.261834*ii, -.426409+.0794974*ii, -.467265-.0588851*ii, -1.66106e-20+2.61049e-21*ii, .099842+.794779*ii, 0, .630021-.126635*ii
-7.4512-3.09533*ii, 4.39623+39.1566*ii, -7.9488-2.46192*ii, .0398853+.0398639*ii, .00283159-.0252206*ii, 16.7699+6.11811*ii, -66.1368+27.2807*ii, 28.1545+15.6261*ii, -2.6994e-15+1.13521e-15*ii, -4.19185-42.2488*ii, 6.57195e-15-5.14638e-15*ii, -17.9829-6.82499*ii
-.318347-1.45753*ii, -.584659+.200092*ii, .541802-2.37719*ii, -.314329-1.05175*ii, -1.53107-.52399*ii, .260861-.873*ii, .677603+.05116*ii, .64187-.769093*ii, -2.19738-.423379*ii, .031426+1.18563*ii, .632364+1.37969*ii, -1.4496-.978183*ii
278.249-298.538*ii, -763.477-587.791*ii, 278.267-298.557*ii, 123.907-201.255*ii, -.000822362+.000633126*ii, 2318.87-14.188*ii, -307.603-1853.59*ii, 25.0198-4.15202*ii, -2.61682e-17+1.24922e-17*ii, -619.156+311.795*ii, -5.50843e-17+1.46561e-17*ii, 713.744-1508.01*ii
-2.55372-1.04539*ii, .464744+.448721*ii, .835944+.057988*ii, -1.12255+1.15005*ii, 1.11359-1.0752*ii, .299546-1.25672*ii, .322198+.795702*ii, -.28745-.775187*ii, -1.26428e-16-4.3581e-16*ii, .622591-.002581*ii, -2.94716e-16+1.87926e-17*ii, -.638028-1.0692*ii
3.45281+4.07929*ii, 9.92141-7.70904*ii, 3.45272+4.07919*ii, -4.65607-3.61756*ii, .062848+.0488335*ii, .0488787+.0628863*ii, -14.0432+7.70822*ii, .00174773+.000368952*ii, .0576602-.0744053*ii, -9.94433-4.06979*ii, -11.736-9.09762*ii, .0257896-.063043*ii
-.265268+.267353*ii, .349217+.903612*ii, -.606872-.851561*ii, -.0758475+.342513*ii, .372115-.962859*ii, -.616387-2.78353*ii, -.453771-.286745*ii, -1.19321-1.0348*ii, -.882869-.358111*ii, .564227+.11194*ii, .314876+.0752157*ii, -1.59212-.575249*ii
-.5975-.151518*ii, .032629+2.30559*ii, -.602073-.132261*ii, 1.17231+1.2468*ii, .006137-.433642*ii, .401045-.425052*ii, -.151882+.096761*ii, .0446961+.00919742*ii, -.073256-.512822*ii, .363012-1.47524*ii, 1.61673+1.25064*ii, -.326423+.204207*ii
.264165+.152029*ii, .385523-1.00935*ii, .176046+.457242*ii, .186861-.546176*ii, .330238+.864605*ii, .560919+1.63928*ii, -.0505197+.259112*ii, -.203648-.371033*ii, .229619-.0060841*ii, -.798818-.61523*ii, -.112451-.0887329*ii, 1.61565-.061827*ii
-52.038+224.509*ii, 500.021+125.499*ii, -52.0413+224.524*ii, 24.6-281.025*ii, .0018814-.000472208*ii, -1.87179+7.4577*ii, -505.209-258.967*ii, 3.49552-6.81929*ii, 9.25321+.88440*ii, -132.605-389.855*ii, 59.297-620.406*ii, 5.8146-1.97778*ii
-94.8304+20.2309*ii, 32.4839-63.6198*ii, 94.8365-20.2323*ii, -76.5373+69.9699*ii, .00636604+.0124679*ii, -.948898-.484526*ii, -31.9706-8.57152*ii, .115714-.431554*ii, -.755957+1.44591*ii, 18.0708+13.4057*ii, -96.9422-50.6813*ii, .199956-.269526*ii
1.22595+4.8923*ii, -4.68638-8.71522*ii, -1.06294-5.54225*ii, -.185397-.0439622*ii, -.0478607+.0890061*ii, -5.10901+1.21253*ii, -6.09374-11.7502*ii, -6.85583+1.51898*ii, -1.77379+3.18669*ii, 6.5095+.719546*ii, -6.66338-1.68417*ii, 1.25814-3.23956*ii
-6.19506+7.30538*ii, -1.01463-6.87593*ii, 6.19489-7.30518*ii, -1.55342+10.5468*ii, -.0210034+.142336*ii, -.0436133+.00648988*ii, -4.58868+2.50483*ii, .00149997+.000937641*ii, .015677+.0707983*ii, 1.66814-.890494*ii, -11.1628+2.45756*ii, -.00566219-.0105759*ii
-.580151+1.5845*ii, 11.8704-12.6897*ii, -.539917+1.8383*ii, -.0895255+.0466635*ii, .0393146+.0420279*ii, -8.7868-4.58193*ii, -6.17591+5.63085*ii, -4.03704-2.53164*ii, -2.12272+6.03986*ii, -5.50535+1.65825*ii, -9.20525-6.42491*ii, 1.75275+2.77128*ii
-.198122-1.02541*ii, -.610715-.064302*ii, .051789-1.89551*ii, -.4172-.958325*ii, -1.61947+.170514*ii, .381948-.877413*ii, -.487588-.108895*ii, .390405-.673395*ii, -1.65092+.031186*ii, -.163466+.934467*ii, .337902+1.0043*ii, -1.31203-.681134*ii
.121725-.0361671*ii, .20754+.311863*ii, -.828638+.44095*ii, -.256076-.258974*ii, 1.47893-2.22234*ii, .253368+.243913*ii, .0821912-.153738*ii, -1.22543-.361841*ii, 1.03767e-16-3.67636e-17*ii, .078292-1.68087*ii, -6.64087e-17+1.86957e-16*ii, -.268329-1.55681*ii
2.8581-2.27419*ii, -1.11488-1.14757*ii, -2.49377+.610357*ii, -.605762+.369078*ii, -.435521+.448291*ii, -1.20399-.733452*ii, -2.55434+.320769*ii, -2.10827+.836241*ii, -.61869+1.80181*ii, -.332353+.53921*ii, -1.19109+1.80435*ii, -.164761+.533253*ii
-8.20712+3.06873*ii, -.686244+.756464*ii, 1.49207-5.01964*ii, -.708404-.575681*ii, -.657846-.72516*ii, 1.88246-5.87886*ii, -2.42859+4.13936*ii, 3.2454-3.99497*ii, -6.24406e-16+1.09622e-16*ii, .635167+1.02661*ii, -5.51102e-17-6.21485e-17*ii, -6.06326-4.05851*ii
-2.11378-8.36714*ii, 5.66365+1.90176*ii, 2.11282+8.36885*ii, -6.37395-5.91128*ii, .158674-.0532801*ii, -.0819464+.109775*ii, -.463983-.248663*ii, -.00865877+.00786495*ii, .141194+.120226*ii, -2.05928+1.1231*ii, 3.06039-7.48638*ii, -.0097344-.052895*ii
.449614+2.42857*ii, -.914849+.079040*ii, -.351967-2.3864*ii, 3.14822+2.00261*ii, -1.08498-.093739*ii, .22585-.144005*ii, -.225536-.242108*ii, -.0910013-.0321472*ii, -.393029-.69534*ii, -.148467-1.1561*ii, .090415+2.73671*ii, .194542+.278846*ii
-.0599739+.307717*ii, .21192-.934285*ii, .499729-.471354*ii, .283978-.396567*ii, .230901+1.01796*ii, 1.19387+1.66713*ii, .292252-.133667*ii, .201472-.65755*ii, -.217211-.184034*ii, -.651659-.483985*ii, .0031089+.132974*ii, 1.70077-.354885*ii
-3.46486-6.45534*ii, 3.06905+2.5251*ii, 4.72422+7.42742*ii, .160924+.326585*ii, .194302-.159865*ii, -1.21472+2.46456*ii, -10.056+.34954*ii, 1.82355+6.71157*ii, 2.46846-.697632*ii, -.212062-3.74434*ii, -.166537-3.7066*ii, 2.48667-.734235*ii
.208402+.606804*ii, -.220352-.778906*ii, .529179-.537273*ii, .439073-.721672*ii, -.336287+1.18872*ii, .615395+1.01142*ii, -.24271+.292055*ii, .227687-.506481*ii, -.093032-.488208*ii, -.645599-.077373*ii, -.02804+.338646*ii, .940086-.143653*ii
