variable ordering: Fc, Fg, w, m1, m2, d1, d2, p
-5.3613e-34-1.25039e-32*ii, 1.00689e-34-1.19634e-33*ii, -.491214+1.78197*ii, -1.00144e-33-1.12468e-33*ii, .825446-.286688*ii, -.879781+.567483*ii, 1.02299e-33+4.06522e-33*ii, -.572768-1.65927*ii
-4.88611e-31+2.89e-31*ii, 1.49477e-34+4.1993e-35*ii, 5.34781-5.30491*ii, -2.88961e-34-7.17497e-35*ii, 3.85755-3.30314*ii, -1.12648-2.91027*ii, 3.25422e-34-1.94295e-33*ii, 2.97248-7.49929*ii
1.0456e-85*ii, 2.07988e-86+5.32853e-86*ii, 2.94638+11.2151*ii, 1.9605e-86-1.74685e-86*ii, -1.54274-11.6647*ii, .909354+2.83058*ii, 1.50807e-87-2.13644e-87*ii, -.784684-1.20456*ii
-7.5209e-32+3.62713e-32*ii, -7.5209e-32+3.62713e-32*ii, 1.18815-.134878*ii, -1.31554e-34-1.17175e-33*ii, 1.2104+.397423*ii, -.290706-.0995078*ii, -3.93016e-32+2.35878e-32*ii, -1.50907+1.1955*ii
-6.00985e-113+7.79656e-113*ii, -6.00985e-113+7.79656e-113*ii, .25101-.518905*ii, 2.53794e-114-4.06071e-114*ii, .82895+1.37359*ii, .613755+.004959*ii, -1.55931e-112-8.93356e-113*ii, -1.08711+.730725*ii
8.75849e-32-4.67748e-33*ii, 8.75849e-32-4.67748e-33*ii, -2.16707-.774772*ii, -5.70089e-34-1.66538e-33*ii, 1.03504-1.86288*ii, -.880885+.08125*ii, 7.36735e-33+2.47077e-33*ii, .977371+1.59172*ii
-8.81525e-32-1.53756e-32*ii, 3.28931e-34+5.91331e-34*ii, 2.75217-1.92149*ii, 2.53081e-34+2.96536e-34*ii, 1.37619+2.78972*ii, -1.20145-.590516*ii, -2.45441e-33-7.03552e-34*ii, -.562992+3.39661*ii
-4.03584e-32-2.61071e-31*ii, 3.7034e-34-9.622e-32*ii, .353379-2.27758*ii, 1.0142e-31-1.41421e-31*ii, -.137831-2.27678*ii, 1.77611-.985299*ii, -2.00744e-32+8.50545e-33*ii, .166489+.703008*ii
-1.08903e-60+6.22302e-61*ii, -9.72346e-61+5.44514e-61*ii, -.795248-1.64776*ii, -8.50803e-63-5.83408e-62*ii, 4.29261+1.25528*ii, 1.28263-1.60154*ii, 8.75112e-62+2.72257e-61*ii, -4.11864+5.33732*ii
6.56859e-47-9.85288e-47*ii, 6.56859e-47-9.85288e-47*ii, -1.82247-2.2335*ii, -1.8132e-47+9.57919e-48*ii, -.872094+1.67324*ii, .350624-.572316*ii, -2.05268e-48+1.06055e-47*ii, -.911944-.507694*ii
1.34002e-32+8.44955e-32*ii, 1.34002e-32+8.44955e-32*ii, 1.38216-.299773*ii, 2.06392e-34-3.19914e-33*ii, 1.19644+1.07947*ii, -.841397-.113209*ii, 1.18824e-32+2.37337e-32*ii, .319584+2.43402*ii
5.35303e-31-1.11316e-31*ii, 4.34105e-35+6.18839e-35*ii, 4.48153-5.84327*ii, 1.87626e-33-1.57118e-33*ii, -1.17557+2.43197*ii, 9.19626+1.69651*ii, 3.44803e-33-1.42954e-33*ii, -10.9629-3.81004*ii
-4.63651e-69+9.27302e-69*ii, 1.81114e-70-1.81114e-71*ii, 8.39064+1.01962*ii, -2.31825e-69-3.1876e-69*ii, 4.62132+1.79296*ii, -7.22025+9.9036*ii, 1.81114e-71+2.53559e-70*ii, 4.41911-10.9503*ii
2.76357e-75-4.97443e-75*ii, 3.73082e-75-5.52715e-75*ii, 1.2445-2.56215*ii, 8.67935e-76-1.17452e-75*ii, 2.95194-.187635*ii, -1.60332+.247949*ii, -2.66912e-76+7.94528e-76*ii, 3.02335+1.01404*ii
-2.03916e-56-8.15663e-56*ii, -6.87021e-58+2.78791e-58*ii, -4.4564+14.5454*ii, 3.24991e-56+2.03916e-56*ii, -19.6513+47.5314*ii, 78.652+17.7439*ii, -9.45898e-59+2.43942e-58*ii, 18.3503+12.46*ii
4.31808e-78+1.72723e-77*ii, 1.37639e-77*ii, .39575+.943868*ii, 1.72723e-77+8.63617e-78*ii, -2.53971+.959579*ii, 1.352+.942757*ii, -8.63617e-78+2.59085e-77*ii, -.271071+1.92251*ii
3.71581e-32+4.99634e-32*ii, 1.20619e-32+7.38159e-32*ii, 1.01858-.545348*ii, -1.16261e-32-4.71891e-32*ii, -.55193+1.72676*ii, -.850361+.674403*ii, -8.34616e-33+2.46357e-32*ii, -.355881-.481302*ii
-2.95586e-46+2.18953e-46*ii, -3.1885e-46+1.97058e-46*ii, -.324819-1.67122*ii, -6.56859e-47+5.5833e-46*ii, 2.346-3.52668*ii, 1.45425-1.82231*ii, 2.73691e-47+2.32637e-47*ii, .226234+.686729*ii
-1.72723e-76-7.25438e-76*ii, -1.38179e-76-6.64985e-76*ii, -1.45768+2.35039*ii, 1.07952e-78+3.91326e-78*ii, 2.13153+.090595*ii, 1.01984+.35633*ii, 9.28388e-77-6.04532e-77*ii, -3.42014+.589283*ii
9.72346e-63+5.83408e-62*ii, -1.94469e-62+4.86173e-62*ii, -.654509+1.01558*ii, 9.72346e-63+2.91704e-62*ii, 1.10557-3.16451*ii, -.361647+1.68123*ii, -2.91704e-62-9.72346e-63*ii, -1.19593-.746888*ii
-5.44514e-61-1.94469e-60*ii, -6.12578e-61-1.8669e-60*ii, .634512+1.12651*ii, 5.75629e-60-4.27832e-61*ii, -1.48523-3.00324*ii, -3.38901+.550433*ii, -1.45852e-61-3.01427e-61*ii, -1.77426+.701004*ii
9.36907e-34-4.83875e-34*ii, -1.84821e-32-1.34527e-33*ii, .0497293-.0868442*ii, 1.09655e-32-5.89034e-32*ii, -1.52318-.991314*ii, -2.19189+1.03518*ii, -2.89372e-32-5.01923e-32*ii, -1.67793+1.70959*ii
1.30003e-47-1.02634e-48*ii, 1.35135e-47, .574917-2.21801*ii, 6.84228e-48+4.31063e-47*ii, 1.94334+.218233*ii, -1.50725-1.97004*ii, -7.69756e-49+2.65138e-48*ii, 1.0964-.01572*ii
-5.70288e-33-4.42585e-33*ii, 5.13425e-33+8.10554e-33*ii, .782682+2.11387*ii, -6.76251e-32-2.33672e-32*ii, -1.7896+.053898*ii, 3.43014-1.25905*ii, -1.35415e-34-7.81883e-34*ii, .371842-.0670726*ii
-5.25487e-46-3.50325e-46*ii, -5.25487e-46-3.64693e-46*ii, -5.42654-9.53177*ii, -2.94004e-50+2.80181e-49*ii, -7.17635-3.34824*ii, .214795-.832949*ii, -2.35203e-49-3.1405e-48*ii, -7.94172-2.10057*ii
-5.28956e-60-3.88938e-60*ii, -5.44514e-60-4.12275e-60*ii, -1.57006+1.49438*ii, -1.45852e-60-7.7788e-62*ii, 3.04487+2.63773*ii, 1.76503-.279887*ii, 3.11151e-61-1.16682e-60*ii, 1.14612-1.68806*ii
2.64213e-31+3.74276e-32*ii, 2.64213e-31+3.74276e-32*ii, .567271+1.03191*ii, -1.31165e-33+1.24077e-33*ii, .780569+1.28388*ii, .208424+.218534*ii, -1.27135e-31-1.55175e-32*ii, -.809325-2.42452*ii
-7.6184e-33+2.02855e-32*ii, -4.95728e-34+2.68139e-34*ii, 1.00312-.605861*ii, -4.69836e-34-1.58014e-34*ii, -4.47494-6.5235*ii, 2.05784-1.65015*ii, 9.14638e-34-1.77246e-33*ii, 5.22603+.980615*ii
2.48921e-60-3.11151e-61*ii, 2.95593e-60-1.55575e-61*ii, -2.60383-.62741*ii, 3.11151e-61-5.95562e-62*ii, -2.32036+.592731*ii, -.664167-.821078*ii, -5.44514e-61-7.77877e-62*ii, 1.06049-.416274*ii
-5.07977e-33-6.65499e-32*ii, -3.63885e-35+2.18251e-35*ii, .693483+4.19998*ii, 3.12051e-35+2.3599e-35*ii, -14.3355+7.02448*ii, -3.58239-1.37329*ii, 1.49817e-34-1.75464e-34*ii, -8.66081+3.55724*ii
-1.22252e-32+2.89102e-32*ii, -1.18243e-31+1.71405e-31*ii, .245626-.984927*ii, -1.27205e-31+5.40293e-31*ii, -1.48748+.698012*ii, .82596+1.92293*ii, -6.3574e-33+1.74153e-32*ii, -.099395-.567569*ii
4.52784e-72, 1.81114e-71+1.24516e-71*ii, 3.17141+1.61744*ii, -2.26392e-71+9.05568e-72*ii, -1.31098-1.74919*ii, 1.03809+.41662*ii, -1.18856e-71*ii, .276809-1.64499*ii
5.60519e-45, -3.61272e-46-9.85288e-47*ii, -.088632+1.67684*ii, -1.13856e-45+7.66335e-46*ii, -8.52717-8.18145*ii, -.127644+6.51334*ii, 1.03346e-44+2.27711e-44*ii, -21.8304-19.1007*ii
5.52715e-76*ii, -2.73119e-76-2.59085e-76*ii, 1.52082+4.00465*ii, 1.07088e-75+1.13997e-75*ii, .149193+4.63226*ii, 2.60071-3.57807*ii, -1.89996e-76-7.59983e-76*ii, -.66639-6.62467*ii
-1.06945e-31-8.76369e-32*ii, -1.06945e-31-8.76369e-32*ii, .377158+3.39104*ii, -3.09148e-32+5.2989e-33*ii, -2.15673+1.87791*ii, -.570058-.569002*ii, 2.22638e-34-4.14723e-33*ii, -.127979+.0706613*ii
-8.21073e-48-2.73691e-48*ii, -3.42114e-48-3.42114e-49*ii, -.927349-.420782*ii, 1.09476e-47-1.5053e-47*ii, -.537061-.787653*ii, 1.80967-.099281*ii, 2.18953e-47+1.09476e-47*ii, -2.08335-1.19512*ii
1.36846e-47*ii, -2.30927e-48+1.09476e-47*ii, -1.03593-.501175*ii, -1.64215e-47+5.61067e-47*ii, -.119929-1.7099*ii, 2.09523-1.50106*ii, -9.57919e-48-8.21073e-48*ii, 1.65375+.606386*ii
2.07268e-76+2.76357e-76*ii, 1.42497e-76+2.41813e-76*ii, .432595-1.3186*ii, -1.38179e-76-3.45447e-76*ii, .859633+.348719*ii, .106293+1.20772*ii, -8.29072e-76, .807803-.908726*ii
-5.82e-36+7.75286e-32*ii, -1.05722e-31+1.84856e-31*ii, .606302+2.58894*ii, -3.29309e-31-1.55604e-32*ii, -.804546-.998606*ii, -1.18224+.766552*ii, 3.58362e-33+7.76375e-33*ii, -.316553-.601274*ii
2.82193e-32+3.10697e-32*ii, 2.82193e-32+3.10697e-32*ii, 1.41249-.842981*ii, 6.3688e-34+8.42924e-33*ii, -1.88072-.35215*ii, .255123-.565929*ii, 1.24098e-33-8.01159e-33*ii, -.236885+.366712*ii
2.43087e-63+2.43087e-63*ii, 3.03858e-64+9.11575e-64*ii, -.575753+1.06404*ii, -6.93176e-64-6.07716e-64*ii, .186867-1.40019*ii, .892174+1.33466*ii, 6.07716e-64-2.43087e-63*ii, -3.5381-1.39312*ii
1.24586e-31-3.32027e-32*ii, 1.54956e-32+4.54687e-33*ii, .731623-1.04937*ii, -4.50606e-32-1.91777e-32*ii, -.705326-.353293*ii, -1.48181-.443256*ii, -3.62762e-32-9.30561e-32*ii, 1.71335+1.41126*ii
5.58099e-103-2.7905e-103*ii, 5.79028e-103-3.28101e-103*ii, -.385106+1.82688*ii, 6.9762e-105+8.45869e-104*ii, .262509+4.26522*ii, -.513081+1.19117*ii, -1.81382e-103+4.22063e-103*ii, 4.49519-.831458*ii
9.11575e-64-3.6463e-63*ii, 1.36736e-63-2.73472e-63*ii, -.942623+.797035*ii, 9.11575e-64+7.59645e-64*ii, 1.17807+.229325*ii, .578414+.837715*ii, -1.21543e-63-4.55787e-64*ii, 1.61526-1.13687*ii
-7.15647e-60+1.12014e-59*ii, -6.22302e-60+1.12014e-59*ii, -2.2147+.047101*ii, 2.48921e-60-4.97841e-59*ii, .326486-.133261*ii, -.833639-.936812*ii, -1.40018e-59+3.11151e-60*ii, 1.84135+.8965*ii
-3.02159e-32+1.41604e-33*ii, -3.02159e-32+1.41604e-33*ii, 1.06601-1.27982*ii, 1.34136e-33+4.41998e-33*ii, .084785-1.82547*ii, .003662+.900028*ii, 5.94304e-33+5.27591e-34*ii, -.57863-.849652*ii
3.53362e-32-1.26995e-32*ii, 7.12556e-33-3.2691e-33*ii, .734627-.930968*ii, -2.05424e-32+1.45841e-32*ii, -1.15988-.584211*ii, -2.023-.284415*ii, -1.12136e-32-1.72308e-32*ii, 1.08584+1.50343*ii
2.30272e-32+2.2393e-32*ii, 2.30272e-32+2.2393e-32*ii, -.484721+1.40952*ii, 3.64173e-32-2.14076e-33*ii, 1.20431-1.30074*ii, -.960704+1.04419*ii, -4.85703e-33-6.55179e-33*ii, .23133-.385091*ii
6.07716e-64+2.43087e-63*ii, 6.07716e-64+2.43087e-63*ii, -1.20238-.780885*ii, 1.45852e-62-3.6463e-63*ii, -1.14709+2.06795*ii, 1.87486-.113905*ii, 1.89911e-64+2.27894e-64*ii, -.101075+.204587*ii
2.87143e-33-3.70743e-33*ii, 2.42064e-32+1.18871e-32*ii, .353145-.328992*ii, -4.48397e-32-5.64665e-32*ii, .338236-.865953*ii, -.581307-1.46553*ii, -4.63761e-33+2.11512e-32*ii, -.86637-.057149*ii
3.61559e-32-3.17048e-32*ii, -2.38397e-32+2.96004e-32*ii, -.380683-.109076*ii, -1.01838e-31-1.15488e-31*ii, .596463+2.0015*ii, -.173719-2.90359*ii, -1.22622e-31-8.07628e-32*ii, -.546418-2.80172*ii
3.77562e-33+1.29689e-33*ii, -4.60804e-34-8.06169e-34*ii, 1.03169-.5027*ii, -1.56622e-33-9.0618e-35*ii, -1.53744-.554527*ii, .528691+1.57538*ii, -1.16509e-33-1.44286e-33*ii, -.16874+1.80777*ii
-1.92042e-32-2.26606e-32*ii, -2.31126e-32+7.07742e-33*ii, .531316+.719883*ii, -9.14123e-32-8.29673e-33*ii, -1.32312+.41431*ii, -.096574+2.29249*ii, 2.04908e-32-1.72147e-32*ii, -1.16852+.429884*ii
-9.69154e-33-6.19356e-33*ii, 1.31709e-32+3.74779e-33*ii, -.825048-.276585*ii, 4.82173e-32+5.8453e-34*ii, -1.70998-.946008*ii, -.314318+2.60437*ii, 6.48624e-33-4.28292e-33*ii, -.187139-1.04173*ii
9.3417e-32-2.7397e-32*ii, 9.3417e-32-2.7397e-32*ii, 3.20498+1.59706*ii, -2.2322e-33-4.80236e-33*ii, -2.33261+1.04512*ii, .327263+.178729*ii, -2.09352e-33+2.1071e-33*ii, .460642-.184532*ii
1.17777e-31+6.47347e-32*ii, 1.91685e-32+1.5652e-32*ii, -.609145-1.35661*ii, 1.01201e-31+3.72234e-32*ii, 1.63262-.246754*ii, -2.60465+.640571*ii, -2.72663e-33-3.67047e-32*ii, -.511719+1.48936*ii
-1.30991e-32-1.36316e-32*ii, -1.30991e-32-1.36316e-32*ii, 1.05344+1.27337*ii, 1.29361e-34+3.77475e-35*ii, -3.48622+.464675*ii, .37397-.353233*ii, 1.34058e-33-1.44091e-33*ii, -.510228+1.90861*ii
5.72315e-33+5.65841e-32*ii, 5.72315e-33+5.65841e-32*ii, 2.50746+2.30915*ii, -1.41297e-34+2.41224e-34*ii, .391541+2.02428*ii, .72615+.270209*ii, 4.07611e-34-2.33869e-33*ii, -.400797+2.23326*ii
1.16199e-32+4.35367e-32*ii, 1.16199e-32+4.35367e-32*ii, 1.26155+.423651*ii, 1.191e-33-1.99185e-33*ii, -.763867-.758819*ii, .67183-.072369*ii, -2.34609e-32+2.83071e-33*ii, .740168-2.03652*ii
1.69798e-32-2.19548e-32*ii, 1.69798e-32-2.19548e-32*ii, .554356-.15911*ii, 4.5329e-33-7.40811e-33*ii, .083637+2.95533*ii, .578957+.222995*ii, -9.01676e-33-2.67437e-32*ii, 1.12122-.078044*ii
-5.59218e-34+8.11695e-34*ii, -6.48976e-33-1.87692e-32*ii, .304343-.163117*ii, -9.93396e-33-2.83864e-32*ii, 1.25888-1.77126*ii, 1.61045-.83499*ii, -2.15248e-33-3.13682e-33*ii, .531178-.37181*ii
-5.34553e-51-5.34553e-51*ii, -5.48126e-53-3.47472e-53*ii, 1.95516+10.7703*ii, -6.68191e-52-6.3687e-52*ii, 7.9944-4.27909*ii, 12.3139+1.43449*ii, 1.47472e-52-2.1925e-52*ii, 5.89256+12.1125*ii
9.72346e-63+7.2926e-63*ii, -9.72346e-63-2.43087e-63*ii, -.015297-.607604*ii, -2.91704e-62+7.2926e-63*ii, 1.22548-1.03559*ii, -.502701+1.69331*ii, -3.40321e-62+7.1471e-63*ii, -1.38646+.441967*ii
3.11151e-61-1.55575e-61*ii, 6.12578e-61+3.50045e-61*ii, 1.38719-2.82398*ii, 8.55665e-61+2.33363e-61*ii, -2.55663-1.65552*ii, 1.60873-3.34761*ii, -1.31267e-61+1.26405e-61*ii, -1.04598+.067341*ii
7.7875e-33+3.826e-33*ii, -5.11738e-33-3.84792e-33*ii, .381428-.882219*ii, 1.00609e-32+2.36744e-32*ii, .114334-.189341*ii, .234742+.912979*ii, -3.33355e-32-2.63045e-32*ii, -1.04568+.552695*ii
3.62227e-71*ii, -4.52784e-72+3.96186e-71*ii, -.739144+1.53362*ii, -2.49031e-71-2.7167e-71*ii, -.849261+.634113*ii, 1.18629-.269251*ii, 3.67887e-72+1.10731e-71*ii, .700795-.973813*ii
1.55575e-61*ii, -2.13916e-61+4.37556e-62*ii, 2.32952-1.85479*ii, -7.5843e-61-2.91704e-61*ii, -2.98193+5.52295*ii, .854649+6.16456*ii, 1.75022e-61-1.55575e-61*ii, 3.04038-2.0896*ii
-9.95682e-60+2.48921e-60*ii, -5.0562e-61-7.77877e-62*ii, -4.68862-1.15622*ii, 8.75112e-62+7.04951e-62*ii, -2.10725-.639772*ii, -1.09989+.293938*ii, -3.26708e-60-1.94469e-60*ii, -2.69663-4.90042*ii
1.21589e-31+4.97241e-32*ii, 1.21589e-31+4.97241e-32*ii, -1.72423-.194123*ii, -1.50622e-31+1.50182e-31*ii, .419803+1.20124*ii, -.044816+1.4347*ii, 1.64447e-32-3.00889e-32*ii, -.541389+.125872*ii
4.61649e-128, 3.78696e-129-2.43448e-129*ii, -3.06147-5.68679*ii, 1.80332e-128+1.83938e-128*ii, -2.63268+2.30706*ii, -.590683+5.07436*ii, 1.11806e-128-1.87545e-128*ii, -.68835+4.50121*ii
-1.71703e-31-4.69836e-32*ii, 8.4205e-34+1.29458e-32*ii, 2.7792-2.40244*ii, -1.53872e-32-1.9009e-31*ii, -1.48026+.13158*ii, 4.66763-.244048*ii, -1.85537e-33+8.67988e-33*ii, -.094548+1.0089*ii
4.31808e-77+6.90893e-77*ii, 3.45447e-77+6.90893e-77*ii, -2.2038+.608102*ii, 4.3181e-78-7.98846e-77*ii, 1.92209-1.81015*ii, .642341+1.46829*ii, -2.40831e-78+5.39761e-79*ii, -.485178+.512578*ii
5.13171e-49-2.22374e-48*ii, 5.13171e-49-2.3948e-48*ii, -.167715-.339858*ii, -2.56585e-48-4.51477e-48*ii, -1.22065+.185418*ii, -.550466-1.24451*ii, 1.02634e-48+4.44748e-48*ii, .543492+.048145*ii
1.49352e-59+4.97841e-60*ii, 1.46241e-59+1.16682e-60*ii, 6.8678+6.57419*ii, 2.10999e-60+1.26405e-60*ii, 1.49547+.620022*ii, -.739296-.464506*ii, 1.5752e-60-2.1975e-60*ii, 6.61246-.778134*ii
-3.61913e-32-4.51837e-32*ii, 1.3841e-31+1.82882e-31*ii, -2.65112+.416922*ii, 1.41698e-31-3.78542e-31*ii, .904702+1.07704*ii, -1.27061+.929744*ii, -5.39623e-33-1.88025e-33*ii, .0579033-.243581*ii
1.36906e-59+6.22302e-60*ii, 1.55575e-59+5.28956e-60*ii, -4.14191+1.564*ii, -1.31928e-58+3.48489e-59*ii, -1.31442+.532365*ii, -2.90925+2.06176*ii, -7.65723e-61-8.55665e-61*ii, -.800978+.473342*ii
-1.68733e-32+4.1616e-32*ii, -5.15383e-33+1.32735e-32*ii, .262144-.0266259*ii, 1.0861e-31-1.5696e-33*ii, -.147139-1.15199*ii, -.753461-2.87952*ii, -4.20657e-31-3.65005e-31*ii, -6.73313-.734387*ii
1.61912e-32+2.488e-34*ii, -1.25791e-32-1.84752e-32*ii, 1.35304+.679724*ii, -4.198e-34-5.42893e-31*ii, -.635757-.285042*ii, 2.00552-3.59181*ii, -2.34652e-33+9.86168e-33*ii, .44692+.461242*ii

component_2:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
-w^2*m2*d2+Fc
Fc-Fg
-1.02*m2*d1^2*d2-2.03*m2*d1*d2^2-1.01*m2*d2^3+1.01*m1*m2*p^2
points:
2.41834-1.57281*ii, 2.41834-1.57281*ii, -.139722-.658819*ii, 1.76219+1.08358*ii, -.766171+4.02741*ii, -.745013-3.15983*ii, .527111+1.45914*ii, -.309509+1.46631*ii
-1.47568-.109705*ii, -1.47568-.109705*ii, -1.37518-1.32821*ii, 2.09227+.332819*ii, 1.52206-1.37828*ii, .69681+1.49331*ii, -.147442+.130884*ii, .377805-.365279*ii
.580421-.596635*ii, .580421-.596635*ii, 1.2681+.21219*ii, -.345397-.751252*ii, .876486+.515608*ii, -.903702+.823898*ii, -.045347-.493078*ii, -.771039+.130873*ii
-.105183+.282005*ii, -.105183+.282005*ii, -.962837-1.89431*ii, 2.21396+1.58888*ii, -.0472123-.0192903*ii, 1.33242-.193251*ii, -1.03153+.802536*ii, .209986-.422788*ii
-.237553-.841336*ii, -.237553-.841336*ii, -.364837-1.4741*ii, 1.12909+.844929*ii, .877281+.045227*ii, .420872+.710787*ii, -.0681364+.426143*ii, -.158228+.641482*ii
-.892399+1.05708*ii, -.892399+1.05708*ii, -.889288+.711716*ii, .807972-1.60369*ii, .186351-2.26352*ii, 1.12095+1.55102*ii, .181991-.432789*ii, -.688418-.552397*ii
-.0118562-.0506808*ii, -.0118562-.0506808*ii, 1.72831-1.42494*ii, -.74526+1.74027*ii, -.00344352+.00526812*ii, .916615+.974808*ii, -1.38745-.889754*ii, .345195+.277834*ii
