variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
3.2386-7.41744*ii, -.0375106+.0736299*ii, 1.60321-11.4193*ii, 1.80282-5.68071*ii, .321386+1.46456*ii, .121771-4.27404*ii, -7.15423+1.81288*ii, .699847+.165604*ii, 1.89219+8.34908*ii, -.00744315-.0578484*ii, 1.06469+5.6126*ii, 1.37228-.383026*ii, 4.74842+4.76711*ii, -.453192-.132139*ii, -10.8688+5.22682*ii
1.40279-.287699*ii, .614141-.220364*ii, .407929-.435197*ii, .426205-.419959*ii, .723483-1.04564*ii, .705207-1.06087*ii, -1.2229-1.44063*ii, .519061+.396903*ii, -.217734+.0689853*ii, -.271528+.701742*ii, -.808202+1.44009*ii, .340119-.240482*ii, -.293669+1.05511*ii, -.179007+1.06251*ii, -1.59318-.288421*ii
-.722575+.249046*ii, -.338798+1.67735*ii, -.647594+.090544*ii, -.630863-.093495*ii, .589362-.733656*ii, .572631-.549617*ii, .370427+.222838*ii, .584313+.374122*ii, .873457-.013729*ii, -.61354-.584171*ii, .0861371-.368437*ii, .839672+.164097*ii, -.404467-2.20801*ii, .588814+.269308*ii, .58526+1.17097*ii
1.15051-.443886*ii, -.557671+.902955*ii, 1.17033+.239008*ii, .589213+.834959*ii, -.715747-.19861*ii, -.134629-.794562*ii, -.26268-.724796*ii, -.870399+1.00612*ii, -.140443+.901537*ii, .899265+.225822*ii, -.673616-.840791*ii, .815664+.522437*ii, -.49447-.279876*ii, 1.13485-.13936*ii, -.157363-.523078*ii
.588983+.230414*ii, 1.00453+1.08965*ii, .180404-.228266*ii, -.134628-.329532*ii, -.0948576-.0640125*ii, .220174+.0372535*ii, -.436828-.0495385*ii, .326661-.152349*ii, .769552-.154745*ii, -.411596+.0513613*ii, -.148326+.0965994*ii, .134151-.44004*ii, -1.65519-.159577*ii, -.254258-.0645867*ii, 1.06921-.246959*ii
.251216+.777362*ii, .417101-.0989406*ii, 1.64747-.474245*ii, 1.66045-.209109*ii, -1.04861-1.38014*ii, -1.0616-1.64527*ii, -1.35685-.833619*ii, .398287+.567542*ii, -1.03618-.128952*ii, 1.14863-.162149*ii, .482238+2.15746*ii, .067741-2.09741*ii, -.488493+1.86718*ii, .414602+.852165*ii, -1.10401-.101166*ii
.33687+.498861*ii, -1.45318+2.05363*ii, -1.33343+4.16385*ii, 1.14827-.517515*ii, 4.79052-5.12244*ii, 2.30882-.441073*ii, -1.09757-5.18575*ii, 3.49891+.109075*ii, -4.52106+.002764*ii, -2.44165+.700705*ii, -.049520+.605774*ii, 4.49294+5.70693*ii, -1.79823-2.40092*ii, -1.17207-.981998*ii, -.161639-.956941*ii
2.96538-1.67541*ii, -4.16335+.406924*ii, 1.94046+1.94033*ii, -4.22553+3.22965*ii, -1.74571-3.18698*ii, 4.42027-4.4763*ii, 2.57226+.069039*ii, -5.68279-1.67202*ii, -.101267-.773759*ii, .204676+2.68251*ii, -1.03668-1.9296*ii, .215796+.77625*ii, -.0272046+.0336597*ii, 5.10125+7.61177*ii, -1.33927-.228623*ii
.462319+.554991*ii, 1.56488-1.28194*ii, -1.3295-.568872*ii, -1.39288-.712406*ii, 1.49025+1.49443*ii, 1.55363+1.63796*ii, -1.15699+1.14928*ii, 2.01666+.234082*ii, 1.00749+.091868*ii, -1.1328-.011523*ii, .0007916-.404509*ii, -1.78316+.91012*ii, 1.73984-2.62814*ii, -.517319-.634021*ii, -.536301-.056697*ii
.417738+.0777495*ii, 4.408-7.10753*ii, -3.53477-1.53651*ii, -2.56204+.977309*ii, .051065+6.16568*ii, -.92166+3.65186*ii, -.695556+3.16652*ii, -.252432+2.76564*ii, 3.49101-4.05345*ii, 1.9502+1.15689*ii, -.0188428+.113652*ii, -8.84005-2.03285*ii, 6.59121+.819202*ii, .724725+.634904*ii, .304136-1.4074*ii
-.0022689+.447983*ii, .0440644-.0739814*ii, 1.0552+1.0674*ii, -1.7858+.989552*ii, -.853605-.269107*ii, 1.98739-.191262*ii, -1.66561+2.53841*ii, 1.88267+.118267*ii, 4.92375+2.31911*ii, .447148+.620539*ii, -3.6426-1.6017*ii, 2.37068-2.36744*ii, -.203653-7.62044*ii, -.279005+.198907*ii, -1.15925+2.94305*ii
-3.3743+2.20384*ii, 1.88762-1.16052*ii, -.969398+1.75265*ii, -.741484+1.24185*ii, 1.76222-1.15905*ii, 1.53431-.648248*ii, -.352117-.0586342*ii, 2.06407+2.02105*ii, -1.50735-1.32439*ii, -.147776-.101574*ii, .273729+.177331*ii, .439185-.232568*ii, 3.2655-2.37601*ii, .722493+.017066*ii, -1.65607-1.343*ii
.342105+.677666*ii, .023025-.220419*ii, -1.23734-1.92758*ii, 1.42795-1.33597*ii, .82387+.201934*ii, -1.84142-.389682*ii, -.442918-.543307*ii, 1.50597+.36386*ii, -1.3023-1.47725*ii, -.201628-1.10606*ii, 2.63041+2.81282*ii, -3.00132+.310738*ii, .040513+1.16382*ii, .680562-.515026*ii, .440699+1.49919*ii
.171016+.935883*ii, .213974-.280063*ii, -.510585-2.96073*ii, .716579-.420463*ii, .313934+1.2179*ii, -.91323-1.32237*ii, .868724+1.12595*ii, .108705-.165955*ii, -.695343-.998307*ii, -.152321-1.12153*ii, 2.51697+1.73178*ii, -3.15781-.031471*ii, -.401509+1.00765*ii, 1.02358-.334356*ii, -.100454+.937615*ii
1.26884-1.24476*ii, .499845+1.02893*ii, 1.27203+.334833*ii, -.879833-1.12988*ii, -.840844-.668315*ii, 1.31102+.796396*ii, -2.54047-.060696*ii, .012756-.721194*ii, -.854791+.787089*ii, -.202777+.506213*ii, .845943+.048614*ii, .378943+.635638*ii, .125047+1.13639*ii, .372821+.894713*ii, .379798-1.60453*ii
.14461+.373011*ii, -.16629-1.35627*ii, -1.77873+1.11956*ii, -1.9002+.750995*ii, 4.53894-1.28274*ii, 4.6604-.914177*ii, -.004091+.565492*ii, 2.05695-1.5159*ii, -1.78826+.249236*ii, -2.25629+1.39411*ii, .54028-.55775*ii, 1.00208+5.15708*ii, .001646-4.18947*ii, -.846302-.640016*ii, -1.80749-.66103*ii
-.59382+.442965*ii, .924107-.586533*ii, -.223433+1.02886*ii, -.207889+.242896*ii, .098874-.72101*ii, .0833292+.064956*ii, -1.19942+.405853*ii, .919352+.732693*ii, 1.06131+.273083*ii, .775505+.458978*ii, -.546805-.270258*ii, 1.07213-.93285*ii, .558827-1.53425*ii, -.663822+.070971*ii, -.144075+.125615*ii
-.483333+.0489471*ii, -.106873+.0821185*ii, -.15129-.337118*ii, -.590946-.849243*ii, -.122165-.135219*ii, .317491+.376906*ii, -.669486+1.41073*ii, -.182167-.124989*ii, -.632982+1.25296*ii, .327474-.586305*ii, 2.1159-1.17575*ii, .239919+.721782*ii, 1.71179+.032826*ii, -.129581+.29941*ii, -.257799-.580906*ii
-.821875-6.05634*ii, .012246+.513003*ii, 3.32084-3.46513*ii, -4.26268-4.81283*ii, -.643585+.430373*ii, 6.93993+1.77807*ii, -7.69482+8.66721*ii, 2.27897-6.47047*ii, 1.1151+2.14618*ii, -.312475-.370892*ii, 4.18822+3.97799*ii, .488739+.614648*ii, -.0414884-.0777436*ii, -1.98943+2.19728*ii, -1.07224-.240413*ii
-.742132+.94049*ii, -.0234152-.0134056*ii, -1.37827+.441188*ii, -1.61232+.351866*ii, -.0234221-.021656*ii, .210631+.0676659*ii, .918036+1.79622*ii, -.872515+.265238*ii, 1.07396+1.89018*ii, .0834119+.0127276*ii, 1.10542-3.57978*ii, 1.00175+.675011*ii, 1.95828-2.43111*ii, -.0738728+.0690026*ii, .102387+.373306*ii
-.0851752-.357236*ii, .150964-.196511*ii, .226676-.373201*ii, .726316-.451681*ii, .335568+1.32955*ii, -.164071+1.40803*ii, -.130996-.239101*ii, -.76626+2.71086*ii, -.282607+1.86454*ii, 1.17144-1.23288*ii, -.324911-2.49939*ii, .845345+.836081*ii, 3.38602+.944341*ii, -.540206-.31347*ii, -1.71781-2.42371*ii
-.542228+.296813*ii, -.539261-.032219*ii, -.249219+.365725*ii, -.0081637-.0327592*ii, -.26016-.28664*ii, -.501215+.111845*ii, .424341+1.02317*ii, -.686528+.497856*ii, .62758+.394739*ii, 1.17862-.58566*ii, .786009-1.28457*ii, .637739-.325391*ii, .542308-.218992*ii, -.465251+.667392*ii, .486374-.104335*ii
.141427-.272611*ii, .0531618-.415137*ii, -.0052468+.228267*ii, .128+.675458*ii, -.0346179+.140198*ii, -.167865-.306993*ii, -.329347+.874854*ii, -.0934945-.0809465*ii, .207284-.967795*ii, 1.10112+.335285*ii, .674037+.508981*ii, -.667636+.327113*ii, -1.11541-.302225*ii, .24713-.252759*ii, 1.23823-.114997*ii
-1.06607+1.38895*ii, 2.59803+.213105*ii, -.0698612+.453152*ii, -.290677+.982276*ii, .651654+.19305*ii, .872469-.336075*ii, .0710776+.0049427*ii, .50976+.665945*ii, -.48021-.80674*ii, -.416141+.389406*ii, -.0683192-.376659*ii, .2296-.125929*ii, -.6044-.317109*ii, -.097227-.993132*ii, .450257-2.12586*ii
-1.52143+1.04196*ii, .228177-.0389077*ii, .399407-4.26929*ii, -2.16279+.505698*ii, -.470493+.914835*ii, 2.0917-3.86016*ii, 1.69403+6.17585*ii, -2.23423-3.93261*ii, -2.10224+1.96292*ii, -.773732-.221372*ii, 6.33647-.976691*ii, -1.4869+1.78779*ii, -.420172+.204071*ii, 1.40784-.469396*ii, -1.13592+.006521*ii
-.213348+.767346*ii, .34564-.171169*ii, 3.58882+.056672*ii, 1.94828-1.44007*ii, -2.24058-1.30291*ii, -.600041+.19384*ii, -4.08425-.354738*ii, 2.93736+.717562*ii, -.793565-1.21734*ii, 1.70754-1.46284*ii, -.105088+4.64177*ii, -1.13848-4.36039*ii, .136512+.796591*ii, .758202+1.62237*ii, -1.04205+.131934*ii
2.62451+1.00991*ii, -.0862109-.219711*ii, .148256+.0096709*ii, .832826+.014701*ii, -.0130842-.019478*ii, -.697655-.024508*ii, .443355-1.93713*ii, -.47892+1.3267*ii, .516726+1.27362*ii, -.00951+.180394*ii, -1.5089-1.53485*ii, .0504384-.0157238*ii, .0900479+.0126238*ii, -.20714+.463842*ii, -.975191-.285881*ii
4.39207+2.08603*ii, -3.11767-2.18457*ii, -1.61298+1.02868*ii, 1.34886-.827185*ii, .904887-3.0537*ii, -2.05696-1.19784*ii, 1.44074-3.21994*ii, -.507163+.003631*ii, -.022309+1.15472*ii, .062461+.695928*ii, -.227099-.863061*ii, -.208887+.333425*ii, .112444+.251987*ii, -1.17739+3.18686*ii, -1.60939+2.75184*ii
-.196052+.315875*ii, -.217205+.337137*ii, -.00323783-.00141264*ii, .0808786+.0799802*ii, .0226814+.0192462*ii, -.061435-.0621466*ii, .371203+.553583*ii, -.265851+.461105*ii, .233258-.137814*ii, .574784-.580198*ii, .523681-.546748*ii, .00136429+.00940358*ii, -.125036-.297458*ii, .0705826+.295309*ii, .508503-.290588*ii
-.317292+.821485*ii, .147974-.676784*ii, -5.507-2.74375*ii, -.282541+1.44903*ii, 5.99244+.041593*ii, .767974-4.15118*ii, 4.73367-.297395*ii, -1.10142-.642088*ii, -2.72686-.279979*ii, -2.77075+1.19066*ii, 3.71194-.957829*ii, -.653274+6.95604*ii, -.846824-.069164*ii, -.098974-2.65391*ii, -1.05636+.800922*ii
.302485-.610742*ii, -.671509+.243708*ii, .648781+.969995*ii, .043714+1.02396*ii, .821659+.743106*ii, 1.42673+.689137*ii, .182444+1.06854*ii, .539247-.46977*ii, .287369-2.23988*ii, .777164-.282231*ii, -.349961+.706958*ii, -.852891+1.4847*ii, -3.041-1.70984*ii, .062710-.560017*ii, 2.42359-1.0052*ii
.744568-.164235*ii, 1.11284+.032641*ii, -.0300989+.204455*ii, -.297844+.194943*ii, .54018-.591654*ii, .807925-.582142*ii, -.452308-.679529*ii, -.212283-.0781701*ii, -.354925-.907999*ii, -.229687+.902201*ii, -.001827+.637587*ii, -.0963084+.253352*ii, -.994295+1.24075*ii, -.022844+.709473*ii, .310938-1.26271*ii
-.007943-.60553*ii, -7.10018-4.90742*ii, .83702-.107781*ii, 11.7797+2.15815*ii, -.560178+2.76796*ii, -11.5028+.50203*ii, .983011+.030553*ii, -.105008+6.57972*ii, -.498882+1.50787*ii, 11.5975-4.05897*ii, .703531+.498276*ii, .159835+1.38439*ii, .0399303-.0317361*ii, -2.54995-6.99038*ii, .16044+3.10871*ii
-.631442-.066855*ii, 1.16532+.327613*ii, -.323561+.33786*ii, -.53581+.174587*ii, .0669674-.0198284*ii, .279216+.143445*ii, -.766576+.687087*ii, .495661+.454954*ii, 1.17206-.311244*ii, .323518+.247691*ii, -.189097-.0996126*ii, .450714-.582781*ii, -.242827-1.01477*ii, -.187724-.178031*ii, .809281-.101404*ii
2.4476-2.03267*ii, .266406+2.59305*ii, 2.29564-2.49413*ii, .424069-1.43993*ii, -1.33599+.659609*ii, .53558-.394589*ii, -1.3104+.653344*ii, -1.22447-1.36303*ii, 1.03699+1.9767*ii, -.137375-.130524*ii, -.038938+.227985*ii, 1.05592-.142094*ii, -3.40115+2.28798*ii, -.601551-.040232*ii, .48287-.686609*ii
-.698526-.588865*ii, .35259+11.3026*ii, -1.86943-.888359*ii, -5.79655-3.91849*ii, .257072-4.51146*ii, 4.18419-1.48132*ii, 1.45082-4.46079*ii, -.400623-.679959*ii, .405647-.642932*ii, -8.63222-1.47823*ii, .554799-.439169*ii, 2.19117-.575413*ii, -.0701369+.0079118*ii, 5.15935+6.1158*ii, 2.00647+2.08748*ii
.446182+.0551949*ii, .220236+.134898*ii, -.217595+.0726248*ii, -.156387+.0298788*ii, -.00257458-.0148444*ii, -.0637823+.0279016*ii, -.281563+.362455*ii, .0315491-.013915*ii, .311658-.377318*ii, .302774+.112367*ii, .560766-.039949*ii, -.4605+.219735*ii, -.645931-.305803*ii, .12889+.0668479*ii, .972147-.045889*ii
-.493515-1.43393*ii, 1.24551+1.75845*ii, -.563087-.220786*ii, -1.59187-.907462*ii, -.183814+.0514325*ii, .844974+.738109*ii, -1.26763+.593049*ii, .0023453+.115973*ii, 1.30866-.424849*ii, -.53073+.104442*ii, .379105+.0344016*ii, .258503-.303719*ii, .201924+.199247*ii, .411686+.709487*ii, 1.47562-.269907*ii
.229484+.458248*ii, .139039+.31111*ii, .00015579-.0176333*ii, -.0601865-.103059*ii, .00046162-.0295373*ii, .0608039+.0558881*ii, -.304585+.258539*ii, .380638+.446932*ii, .373712+.325528*ii, .136676-.299059*ii, .185575-.458377*ii, -.0306284-.0156782*ii, .090214-1.03636*ii, .168408-.0059981*ii, .152534+.105961*ii
.625176+.860871*ii, 1.46407-2.06793*ii, -.098218+.513273*ii, -.288639+.674244*ii, 1.3802-.650957*ii, 1.57062-.811929*ii, -.322027-.314241*ii, .0723971+.186175*ii, -.663917-.042908*ii, .022342+1.28007*ii, -.512099-.163573*ii, .33611+.35818*ii, .542582+.618148*ii, -1.088+.819501*ii, -1.8917-1.99673*ii
-.41615+8.63068*ii, 8.33046-6.95772*ii, -9.65272+.28926*ii, 6.85012-.735153*ii, 7.86813+1.09498*ii, -8.63472+2.11939*ii, 1.85168-5.70637*ii, 6.37314+4.66018*ii, -.056342+.513663*ii, -1.08415+1.2511*ii, -.14827-1.30956*ii, .087239+1.11421*ii, .00712825-.0381627*ii, -10.3467-9.87762*ii, -.322265+.266279*ii
.465598+1.19898*ii, .413691+2.82043*ii, 2.43737-1.0455*ii, .948213-.226919*ii, -2.69526+.519441*ii, -1.20611-.299141*ii, -.368828-.361606*ii, -.265715+1.18532*ii, .075659+1.29485*ii, .229692-1.52743*ii, -.052573-.694952*ii, -.071753-2.06073*ii, -.673489-.173333*ii, 1.93831-.435773*ii, .470827-.225886*ii
.29055-.64398*ii, .37266-1.39048*ii, -.199079+.76659*ii, .471112+1.89301*ii, -1.04577-.24519*ii, -1.71596-1.37161*ii, -1.4107+.280055*ii, -.42365+.690597*ii, -.289546-.95246*ii, 2.31266+1.7696*ii, .980069+1.04014*ii, -1.10495+.18939*ii, -.087702-.238142*ii, 1.81153-.975149*ii, 1.13831+.694156*ii
-.551563-.077723*ii, -.93669-.455257*ii, -.245709-.0845548*ii, .727078+.00337*ii, .380712+.166187*ii, -.592076+.078263*ii, .80241+1.11875*ii, -.725269+.70602*ii, .5297-.000557*ii, 1.64981-.950763*ii, .683375-.755094*ii, .457986+.0887637*ii, .141615+.341025*ii, -.983872+.396178*ii, .255375-.326915*ii
-.397632+1.42748*ii, -4.33627-4.2776*ii, -.017983+7.4718*ii, .790221+1.02393*ii, .412551-7.00894*ii, -.395653-.561077*ii, .111564-.668044*ii, -.88229-.732457*ii, -.502272-.86104*ii, 4.5074+1.49304*ii, -.214812-1.13499*ii, 4.86063-1.34136*ii, .127918+.0612427*ii, -3.92356+5.84052*ii, -.0276137-.260746*ii
-.202387-.0429807*ii, -.0772402+.339312*ii, .0109898+.0921876*ii, .0919656-.0600727*ii, -.038676-.00377542*ii, -.119652+.148485*ii, -.354198+.873414*ii, .480352+.0857552*ii, .960088-.635962*ii, .694209-.411864*ii, .250861+.409135*ii, -.144517-.42481*ii, -1.01967-.9494*ii, -.158201+.0535185*ii, 1.16957+.460143*ii
-.115337+.148832*ii, 4.32301+10.8923*ii, -1.82286+2.5784*ii, 3.52843-2.20432*ii, -.12904-14.1318*ii, -5.48033-9.34907*ii, -4.08131-14.3791*ii, -.35078+2.19735*ii, -4.77471+8.32484*ii, -4.66064+5.59834*ii, -.115537-.0187106*ii, 16.7541-.73576*ii, -3.1002+6.84259*ii, -.295666-1.33935*ii, -2.56031+2.65283*ii
-.204832+.031072*ii, -1.66605-.37126*ii, -.0107332+.168722*ii, .369636-.174699*ii, -.430697-.113119*ii, -.811067+.230302*ii, -.428386+1.78123*ii, .733171+.321107*ii, 1.94919+.493601*ii, 1.67337-.939786*ii, .148148-.179763*ii, .173363-.797409*ii, .029761-2.81649*ii, -.31356+.244494*ii, .449493+2.27407*ii
-.433924-.22665*ii, -.325842+3.7948*ii, -.855657-.471625*ii, -.584314-.521695*ii, .526536-1.59777*ii, .255193-1.5477*ii, 1.07312-.694855*ii, -.195025-.220192*ii, 1.19798+.071035*ii, -1.54902-.437689*ii, .128653-.16203*ii, 1.99526+.044706*ii, -2.52023-.993986*ii, .572952+.541008*ii, 1.55012+1.74337*ii
.224748-1.16067*ii, 2.40047+.574534*ii, -1.46888+.580617*ii, -2.47552+7.77956*ii, -7.27162-2.05515*ii, -6.26498-9.25409*ii, -.324275+.51704*ii, -7.10093+.419665*ii, .159011+1.08284*ii, 3.51568+8.01419*ii, 3.76142-1.84982*ii, -.718364-1.12644*ii, -.0530855-.0465322*ii, 10.092-2.27937*ii, 3.50536+4.80757*ii
.488948-.286503*ii, .409641-.005229*ii, -.161201+.654977*ii, -.821998+.803622*ii, .821939-.555037*ii, 1.48274-.703683*ii, -.011262+.572065*ii, .122119-1.36159*ii, -.037932-2.29182*ii, -.18987+1.00899*ii, .461918+1.34303*ii, -.829732+.853374*ii, -2.9167-.275322*ii, .196243+.547743*ii, 1.92404-.544752*ii
-.285815-.378939*ii, -4.40283+1.4714*ii, .224722+.576939*ii, 3.22513-4.11989*ii, .426028+1.63098*ii, -2.57438+6.32781*ii, .471215+.399089*ii, 1.96593+2.00047*ii, 1.35074-1.64203*ii, 2.45326-6.25251*ii, .685872+.034472*ii, -1.25554-.353959*ii, -.0472887+.15898*ii, -3.0705+.857422*ii, 3.66688+.040888*ii
-.26145-.265242*ii, -.354476+.519958*ii, -.210554+.060349*ii, .249744-.112927*ii, -.0037033-.224409*ii, -.464001-.0511332*ii, -.425107+.918096*ii, .621517+.075308*ii, 1.45718-.425983*ii, .833663-.374303*ii, .122129+.526871*ii, .281467-.516374*ii, -1.33156-1.40751*ii, -.317242-.123261*ii, 1.2959+1.26208*ii
1.50057-1.16392*ii, -.285833+2.41154*ii, -.567357+.081224*ii, -.0557679-.265761*ii, -1.05981+.09568*ii, -1.5714+.442664*ii, .16275-.524174*ii, -.969876-.079156*ii, 2.0219-.828761*ii, .247214+.187865*ii, -.0309635-.240831*ii, -.26228-.14931*ii, -3.05297+.214835*ii, .589624-.005832*ii, 3.84453+1.19312*ii
-4.15117-4.87909*ii, .256193-.479168*ii, 2.37715-5.80211*ii, -2.23634+2.68478*ii, 4.94424+.961766*ii, 9.55773-7.52512*ii, .410263+4.48978*ii, -.0615323-.139275*ii, .11425-3.08767*ii, -.624431+.050666*ii, -2.13952+7.06945*ii, .449368+.869538*ii, .0600361-.306908*ii, 2.83932+2.83633*ii, -8.23443-.90336*ii
1.78764+10.9704*ii, -1.82731-5.54357*ii, 1.56755+18.3753*ii, 2.65308-3.62715*ii, -.95986-11.6473*ii, -2.04538+10.3551*ii, -13.3782-10.7681*ii, 16.1149+3.21194*ii, -10.0959+1.78048*ii, .0163753+.072677*ii, -.0091773-.141568*ii, 1.65434+.126688*ii, 10.7709-13.2091*ii, -.768024+.309565*ii, -.824039-.19553*ii
.505682+.216423*ii, .532488+1.56726*ii, .0753519+.0030545*ii, .29301-.0437379*ii, .0576621-.0611739*ii, -.159996-.0143815*ii, .376288-.511764*ii, -.089783+.125205*ii, .47881-.744156*ii, -.239196-.249648*ii, -.114833+.0036879*ii, .128127-.0487957*ii, -2.31378+.222082*ii, -.0669273-.17801*ii, 1.79256-.472744*ii
-.040379+.727986*ii, -1.4409+.542864*ii, -.432822-.482078*ii, 1.27768+.728868*ii, 1.11303+.458534*ii, -.597464-.752412*ii, 2.39258-1.30343*ii, -.622504+2.5476*ii, -.280387-.844752*ii, .530862-1.63444*ii, -.606499-.54251*ii, -.6273+.629341*ii, .720787-.261587*ii, 1.16841+.452457*ii, -.694308-.079677*ii
